Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ÇÑµ¿Èñ,2019,03-23,Å°¿ò,L 4:7,6,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.500,8,-0.33,-0.034,1,0.250,1.30
ÇÑµ¿Èñ,2019,03-24,Å°¿ò,W 6:2,6,3B,4,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.250,0.375,0.625,10,0.20,0.080,1,,
ÇÑµ¿Èñ,2019,03-26,»ï¼º,W 7:2,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.167,0.250,0.417,11,-1.46,-0.046,1,0.167,0.33
ÇÑµ¿Èñ,2019,03-27,»ï¼º,L 4:23,3,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.231,0.385,5,-0.34,0.000,0,,
ÇÑµ¿Èñ,2019,03-28,»ï¼º,L 7:12,6,3B,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.133,0.200,0.388,16,-0.28,-0.063,1,0.188,0.93
ÇÑµ¿Èñ,2019,03-29,@LG,L 1:2,6,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.167,0.325,9,-0.56,-0.066,1,,
ÇÑµ¿Èñ,2019,03-30,@LG,W 7:1,6,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.136,0.182,0.356,12,-1.20,-0.038,1,0.174,0.67
ÇÑµ¿Èñ,2019,03-31,@LG,L 5:6,6,3B,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.115,0.154,0.332,20,-0.64,-0.034,1,,
ÇÑµ¿Èñ,2019,04-02,@SK,W 5:0,6,3B,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.161,0.194,0.406,16,-0.11,0.029,1,0.212,0.53
ÇÑµ¿Èñ,2019,04-03,@SK,W 3:1,6,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.152,0.182,0.382,8,-0.52,-0.057,1,,
ÇÑµ¿Èñ,2019,04-04,@SK,L 6:7,7,3B,5,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.158,0.184,0.384,16,-1.45,-0.140,1,0.200,1.30
ÇÑµ¿Èñ,2019,04-05,ÇÑÈ­,W 5:2,6,3B,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0.167,0.190,0.390,17,-1.33,-0.054,1,,
ÇÑµ¿Èñ,2019,04-06,ÇÑÈ­,W 9:7,6,3B,2,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.159,0.182,0.406,20,-0.00,0.037,1,0.224,1.06
ÇÑµ¿Èñ,2019,04-07,ÇÑÈ­,L 1:16,6,3B,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.174,0.196,0.431,6,-0.12,-0.019,1,,
ÇÑµ¿Èñ,2019,04-10,µÎ»ê,L 1:3,6,3B,3,1,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.184,0.265,0.520,16,0.61,-0.014,1,0.255,2.32
ÇÑµ¿Èñ,2019,04-11,µÎ»ê,L 1:5,6,3B,4,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.189,0.321,0.575,17,0.37,0.080,1,,
ÇÑµ¿Èñ,2019,04-12,@NC,L 1:2,6,3B,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.196,0.321,0.591,16,0.12,-0.018,1,0.270,1.33
ÇÑµ¿Èñ,2019,04-13,@NC,L 5:7,6,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.317,0.585,14,-0.57,-0.069,1,,
ÇÑµ¿Èñ,2019,04-14,@NC,L 1:8,6,3B,4,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.234,0.344,0.640,19,0.69,0.022,1,0.296,0.88
ÇÑµ¿Èñ,2019,04-16,KIA,W 10:9,6,3B,5,1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.246,0.348,0.650,17,0.69,0.061,1,,
ÇÑµ¿Èñ,2019,04-17,KIA,W 8:6,6,3B,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.233,0.329,0.625,19,-0.87,-0.149,1,0.296,1.60
ÇÑµ¿Èñ,2019,04-18,KIA,W 10:9,6,3B,4,1,3,2,0,0,5,1,0,0,0,0,0,0,0,0,1,0.260,0.377,0.691,18,1.07,-0.016,1,,
ÇÑµ¿Èñ,2019,04-19,KT,L 5:6,6,3B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.263,0.375,0.697,14,0.87,0.034,1,0.322,0.72
ÇÑµ¿Èñ,2019,04-20,KT,W 5:4,6,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.250,0.357,0.666,17,-0.95,-0.099,1,,
ÇÑµ¿Èñ,2019,04-21,KT,L 3:6,7,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0.353,0.658,3,-0.38,-0.043,0,0.305,1.86
ÇÑµ¿Èñ,2019,04-24,@ÇÑÈ­,L 4:5,6,3B,4,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.247,0.348,0.658,22,-0.04,0.046,1,,
ÇÑµ¿Èñ,2019,04-26,@µÎ»ê,L 8:11,7,3B,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.242,0.341,0.651,17,-0.51,-0.048,1,0.311,1.17
ÇÑµ¿Èñ,2019,04-27,@µÎ»ê,L 0:7,7,3B,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.245,0.340,0.652,17,-0.45,-0.040,1,,
ÇÑµ¿Èñ,2019,06-15,KIA,W 7:0,6,3B,4,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.255,0.347,0.665,15,0.54,-0.020,1,0.318,0.49
ÇÑµ¿Èñ,2019,06-16,KIA,W 10:5,6,3B,4,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0.255,0.353,0.675,21,2.04,0.029,1,,
ÇÑµ¿Èñ,2019,06-18,@ÇÑÈ­,W 11:3,6,3B,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.248,0.343,0.662,20,0.48,0.035,1,0.319,0.36
ÇÑµ¿Èñ,2019,06-19,@ÇÑÈ­,W 7:5,6,3B,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.236,0.327,0.634,21,-1.13,-0.099,1,,
ÇÑµ¿Èñ,2019,06-20,@ÇÑÈ­,L 7:10,6,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.232,0.321,0.623,11,-0.50,-0.059,1,0.302,1.03
ÇÑµ¿Èñ,2019,06-21,Å°¿ò,L 4:7,6,PH,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.230,0.319,0.623,9,-0.29,-0.027,0,,
ÇÑµ¿Èñ,2019,06-22,Å°¿ò,W 4:1,7,3B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.233,0.319,0.630,12,-0.21,-0.058,1,0.311,0.70
ÇÑµ¿Èñ,2019,06-23,Å°¿ò,W 2:1,7,3B,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.229,0.314,0.620,11,-0.30,-0.033,1,,
ÇÑµ¿Èñ,2019,06-25,KT,D 8:8,6,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.223,0.306,0.605,13,-0.55,-0.043,1,0.299,0.53
ÇÑµ¿Èñ,2019,06-27,KT,L 2:10,3,1B,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.230,0.320,0.624,3,0.43,0.001,0,,
ÇÑµ¿Èñ,2019,06-28,@µÎ»ê,L 2:3,6,1B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.312,0.610,7,-0.70,-0.075,1,0.298,1.01
