Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
гя╫бец,2018,03-24,KT,L 4:5,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
гя╫бец,2018,03-27,╩О╪╨,W 17:0,8,C,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,2,0.40,0.000,0,,
гя╫бец,2018,05-25,@NC,W 14:2,8,C,4,2,2,0,0,2,8,2,0,0,0,0,0,1,0,1,0,0.600,1.800,2.400,18,1.33,0.063,1,0.600,0.22
гя╫бец,2018,05-27,@NC,W 12:1,8,C,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0.625,1.375,2.000,19,1.08,0.095,1,,
гя╫бец,2018,05-29,Ёь╪╬,L 8:12,3,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.556,1.222,1.778,5,-0.26,-0.011,0,0.556,0.44
гя╫бец,2018,05-30,Ёь╪╬,L 1:6,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,1.222,1.778,0,0.00,0.000,0,,
гя╫бец,2018,05-31,Ёь╪╬,W 5:0,8,C,3,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,1.083,1.622,16,0.75,0.063,1,0.538,0.47
гя╫бец,2018,06-01,╣н╩Й,L 3:5,8,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.462,1.000,1.500,4,-0.18,-0.030,0,,
гя╫бец,2018,06-02,╣н╩Й,L 0:10,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.375,0.813,1.224,23,-1.35,-0.075,1,0.412,0.71
гя╫бец,2018,06-03,╣н╩Й,W 12:11,6,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.333,0.722,1.091,7,-2.25,-0.391,0,,
гя╫бец,2018,06-05,@KT,W 11:2,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.722,1.091,0,0.00,0.000,0,0.368,0.00
гя╫бец,2018,06-06,@KT,W 5:2,8,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.619,0.937,12,-0.84,-0.107,1,,
гя╫бец,2018,06-08,@╥т╣╔,L 6:9,9,C,3,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.292,0.583,0.929,12,0.36,-0.002,1,0.346,0.37
