Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
Çã°æ¹Î,2020,05-05,@LG,L 2:8,2,3B,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.750,16,-0.53,-0.053,1,0.250,0.91
Çã°æ¹Î,2020,05-06,@LG,W 5:2,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.125,0.250,0.375,16,-1.73,-0.046,1,,
Çã°æ¹Î,2020,05-07,@LG,W 9:3,8,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.167,0.250,16,-0.75,-0.027,1,0.083,0.29
Çã°æ¹Î,2020,05-08,KT,L 3:12,8,3B,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125,0.188,0.313,15,-0.48,0.021,1,,
Çã°æ¹Î,2020,05-10,KT,W 13:12,8,3B,6,2,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.227,0.273,0.500,17,0.84,0.082,1,0.227,0.80
Çã°æ¹Î,2020,05-12,@·Ôµ¥,W 11:6,8,3B,5,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.259,0.333,0.593,18,0.49,0.078,1,,
Çã°æ¹Î,2020,05-13,@·Ôµ¥,L 9:10,8,3B,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.267,0.333,0.624,16,0.58,0.085,1,0.290,1.07
Çã°æ¹Î,2020,05-14,@·Ôµ¥,W 7:4,7,3B,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.235,0.294,0.544,10,-1.10,-0.067,1,,
Çã°æ¹Î,2020,05-15,@KIA,W 13:4,8,3B,5,2,2,0,0,1,5,2,0,0,0,0,0,1,1,0,0,0.256,0.385,0.653,14,0.25,-0.091,1,0.268,0.83
Çã°æ¹Î,2020,05-16,@KIA,L 4:13,7,3B,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.256,0.372,0.639,10,0.05,-0.028,1,,
Çã°æ¹Î,2020,05-17,@KIA,W 6:4,7,3B,4,1,4,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0.319,0.447,0.773,21,3.21,0.213,1,0.327,0.79
Çã°æ¹Î,2020,05-19,NC,L 4:5,8,3B,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.308,0.423,0.738,24,-1.11,-0.154,1,,
Çã°æ¹Î,2020,05-20,NC,W 2:1,7,3B,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,0.393,0.686,12,-0.94,-0.139,1,0.293,1.41
Çã°æ¹Î,2020,05-21,NC,L 6:12,8,3B,3,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.288,0.390,0.696,15,0.37,0.095,1,,
Çã°æ¹Î,2020,05-22,@»ï¼º,W 12:7,2,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.390,0.696,0,0.00,0.000,0,0.306,0.00
Çã°æ¹Î,2020,05-23,@»ï¼º,W 10:6,6,3B,4,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.302,0.397,0.725,15,1.09,0.005,1,,
Çã°æ¹Î,2020,05-24,@»ï¼º,L 0:13,6,3B,4,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.313,0.403,0.741,12,-0.16,-0.016,1,0.338,0.76
Çã°æ¹Î,2020,05-26,SK,W 6:4,7,3B,2,2,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0.333,0.449,0.814,11,1.77,0.260,1,,
Çã°æ¹Î,2020,05-27,SK,W 4:2,8,3B,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.319,0.431,0.781,11,-0.01,-0.027,1,0.351,0.51
Çã°æ¹Î,2020,05-28,SK,L 1:6,8,3B,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.311,0.419,0.769,11,-0.37,-0.058,1,,
Çã°æ¹Î,2020,05-29,·Ôµ¥,W 4:2,8,3B,2,2,2,0,0,1,5,1,1,0,1,0,0,0,0,0,0,0.329,0.474,0.847,10,2.31,0.219,1,0.373,1.28
Çã°æ¹Î,2020,05-30,·Ôµ¥,W 5:4,8,3B,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.325,0.463,0.826,14,0.50,0.437,1,,
Çã°æ¹Î,2020,05-31,·Ôµ¥,L 3:8,6,3B,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.318,0.447,0.802,22,0.07,0.015,1,0.355,1.75
Çã°æ¹Î,2020,06-02,@KT,W 11:8,9,3B,5,1,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0.311,0.444,0.791,14,0.06,0.066,1,,
Çã°æ¹Î,2020,06-23,@SK,W 9:2,1,3B,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.305,0.432,0.771,15,-0.96,-0.037,1,0.340,0.32
Çã°æ¹Î,2020,06-25,@SK,W 14:6,6,3B,4,2,2,0,0,2,8,3,0,0,1,0,0,0,0,0,0,0.313,0.495,0.847,16,2.76,0.084,1,,
Çã°æ¹Î,2020,06-25,@SK,L 0:7,5,3B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.480,0.823,6,-1.15,-0.107,1,0.342,1.48
Çã°æ¹Î,2020,06-26,NC,L 3:9,1,3B,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.311,0.481,0.829,14,0.80,0.089,1,,
