Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
허도환,2018,05-23,넥센,W 13:2,9,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,0.000,0.00
허도환,2018,06-06,삼성,W 7:2,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
허도환,2018,06-07,삼성,L 2:6,6,C,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,5,0.13,0.004,0,1.000,0.06
허도환,2018,06-14,@KIA,W 9:2,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,0,0.00,0.000,0,,
허도환,2018,06-15,롯데,L 6:14,3,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1,-0.32,0.000,0,0.500,0.02
허도환,2018,06-16,롯데,L 3:9,9,C,2,1,1,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0.500,1.250,1.750,4,0.43,0.075,1,,
허도환,2018,08-14,@두산,L 3:6,9,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.400,1.000,1.400,4,-0.34,-0.013,0,0.400,0.44
허도환,2018,08-15,@두산,W 12:2,5,PH,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.400,1.000,1.500,1,0.72,0.001,0,,
허도환,2018,08-16,LG,L 3:14,5,C,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.429,0.857,1.357,14,-0.33,0.000,0,0.500,0.01
허도환,2018,09-05,넥센,W 12:11,6,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.750,1.194,7,-0.38,-0.004,0,,
허도환,2018,09-06,@롯데,L 0:10,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.750,1.194,0,0.00,0.000,0,0.444,0.00
허도환,2018,09-11,KT,W 4:3,4,C,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.375,0.750,1.250,7,0.25,0.010,0,,
허도환,2018,09-12,KT,W 8:3,7,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.750,1.250,0,0.00,0.000,0,0.500,0.00
허도환,2018,09-14,@한화,W 7:5,4,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.750,1.250,0,0.00,0.000,0,,
허도환,2018,09-19,@KT,W 18:8,4,PH,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.400,0.700,1.200,8,-0.12,0.000,0,0.500,0.01
허도환,2018,09-20,한화,L 2:8,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.700,1.200,0,0.00,0.000,0,,
허도환,2018,09-27,NC,W 11:4,5,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.364,0.636,1.098,4,-0.12,0.000,0,0.462,0.00
허도환,2018,09-29,@삼성,L 3:9,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.636,1.098,0,0.00,0.000,0,,
허도환,2018,10-06,KIA,W 7:5,8,C,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.533,0.945,14,-1.00,-0.005,1,,
허도환,2018,10-06,KIA,L 4:8,7,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.636,1.098,0,0.00,0.000,0,0.462,0.00
허도환,2018,10-10,@두산,W 12:5,9,C,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.263,0.421,0.754,20,-1.02,-0.024,1,0.333,0.21
허도환,2018,10-11,@두산,L 3:8,8,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.421,0.754,0,0.00,0.000,0,,
허도환,2018,10-13,LG,L 2:3,9,C,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.273,0.409,0.742,9,-0.01,0.032,1,0.333,0.77
허도환,2018,10-31,@넥센,L 2:4,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
허도환,2018,11-02,넥센,W 11:10,9,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,16,-0.48,-0.051,1,0.000,1.21
허도환,2018,11-12,@두산,W 5:4,6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.00,0.000,0,,
