Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
ÇãÁ¤Çù,2017,03-31,LG,L 1:2,3,PH,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,2.000,3.000,4,0.63,0.244,0,1.000,3.47
ÇãÁ¤Çù,2017,04-02,LG,L 2:9,1,PH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.000,2.000,3.000,5,1.05,0.001,0,,
ÇãÁ¤Çù,2017,04-06,@·Ôµ¥,L 3:12,7,LF,4,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.600,1.400,2.067,14,0.77,0.064,1,0.667,0.23
ÇãÁ¤Çù,2017,04-07,@µÎ»ê,W 7:3,7,RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600,1.400,2.067,0,0.00,0.000,0,,
ÇãÁ¤Çù,2017,04-09,@µÎ»ê,W 13:2,7,RF,4,1,3,1,0,0,4,3,0,0,1,0,0,1,0,0,0,0.667,1.222,1.949,19,3.09,0.099,1,0.727,0.48
ÇãÁ¤Çù,2017,04-11,kt,W 12:2,7,RF,4,1,3,1,0,0,4,3,0,0,1,0,0,1,0,0,0,0.692,1.154,1.904,18,2.65,0.149,1,,
ÇãÁ¤Çù,2017,04-12,kt,W 5:3,7,RF,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.563,0.938,1.588,17,-0.98,-0.066,1,0.650,1.79
ÇãÁ¤Çù,2017,04-13,kt,L 6:7,7,RF,4,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.500,0.800,1.383,20,-0.41,-0.017,1,,
ÇãÁ¤Çù,2017,04-14,@KIA,L 2:3,8,LF,4,1,1,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0.458,0.833,1.369,17,-0.27,-0.013,1,0.536,1.66
ÇãÁ¤Çù,2017,04-15,@KIA,L 2:5,2,LF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.429,0.750,1.250,14,-0.32,-0.011,1,,
ÇãÁ¤Çù,2017,04-16,@KIA,L 6:7,5,RF,3,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.387,0.677,1.164,18,-0.02,0.017,1,0.486,1.27
ÇãÁ¤Çù,2017,04-18,@SK,L 4:7,7,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.343,0.600,1.039,10,-0.97,-0.049,1,,
ÇãÁ¤Çù,2017,04-19,@SK,L 3:5,9,PH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.583,1.012,1,-0.12,-0.014,0,0.429,0.53
ÇãÁ¤Çù,2017,04-20,@SK,W 5:3,7,RF,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0.590,1.012,13,-0.15,-0.003,1,,
ÇãÁ¤Çù,2017,04-21,·Ôµ¥,W 4:1,5,RF,3,2,2,0,0,2,8,2,0,0,0,1,0,1,0,0,0,0.357,0.738,1.187,14,1.89,0.141,1,0.449,0.69
ÇãÁ¤Çù,2017,04-22,·Ôµ¥,L 2:3,5,RF,4,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.348,0.696,1.130,16,0.11,-0.002,1,,
