Name,Year,Date,Opposite,Score,Batorder,Position,Atbats,Run,Hit,Double,Triple,HR,TotalHit,RBI,SB,SBFail,BB,HBP,IntentionalBB,SO,DoublePlay,SacriHit,SacriFly,AVG,SLG,OPS,Pitches,RE24,WPA,Started,OBP,avLI
È£À×,2020,05-05,@SK,W 3:0,3,RF,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.250,0.250,0.500,10,-1.00,-0.080,1,0.250,0.69
È£À×,2020,05-06,@SK,L 2:5,3,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.250,15,-0.75,-0.035,1,,
È£À×,2020,05-07,@SK,W 8:4,3,RF,4,1,1,0,0,0,1,2,1,0,1,0,0,1,1,0,0,0.167,0.167,0.397,21,0.93,0.130,1,0.231,1.31
È£À×,2020,05-08,@Å°¿ò,L 3:5,3,RF,4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.188,0.188,0.423,14,-0.61,-0.066,1,,
È£À×,2020,05-09,@Å°¿ò,L 3:5,3,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.150,0.150,0.340,13,-1.55,-0.140,1,0.190,1.04
È£À×,2020,05-10,@Å°¿ò,L 3:6,3,RF,4,2,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.208,0.333,0.573,12,1.64,0.166,1,,
È£À×,2020,05-12,KIA,L 1:2,3,RF,4,0,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.250,0.393,0.669,10,0.69,0.119,1,0.276,1.47
È£À×,2020,05-13,KIA,L 3:4,4,RF,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.250,0.375,0.648,17,-0.43,-0.075,1,,
È£À×,2020,05-14,KIA,W 4:1,3,RF,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.242,0.364,0.649,8,0.16,0.019,1,0.286,0.59
È£À×,2020,05-21,@KT,W 9:4,3,RF,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.211,0.316,0.566,17,-2.43,-0.134,1,,
È£À×,2020,05-22,@NC,W 5:3,3,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.214,0.310,0.560,14,-0.56,-0.025,1,0.250,0.49
È£À×,2020,05-23,@NC,L 0:3,3,RF,4,0,2,1,0,0,3,0,1,1,0,0,0,1,0,0,0,0.239,0.348,0.619,10,0.09,0.000,1,,
È£À×,2020,05-24,@NC,L 5:10,4,RF,4,1,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0.260,0.380,0.668,18,0.78,0.052,1,0.288,0.72
È£À×,2020,05-26,LG,L 0:3,4,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.245,0.358,0.631,13,-0.89,-0.112,1,,
È£À×,2020,05-27,LG,L 4:15,4,RF,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.228,0.333,0.588,13,-1.71,-0.022,1,0.254,0.19
È£À×,2020,05-28,LG,L 0:3,4,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.217,0.317,0.571,15,-0.59,-0.049,1,,
È£À×,2020,05-29,@SK,L 6:8,3,RF,4,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.219,0.313,0.577,21,0.51,-0.040,1,0.265,0.93
È£À×,2020,05-30,@SK,L 3:9,4,RF,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.209,0.299,0.562,19,-0.51,-0.042,1,,
È£À×,2020,05-31,@SK,L 4:6,3,RF,4,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.225,0.352,0.628,11,1.76,0.151,1,0.276,1.26
È£À×,2020,06-02,Å°¿ò,L 3:15,3,RF,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.213,0.333,0.596,11,-1.05,-0.035,1,,
È£À×,2020,06-03,Å°¿ò,L 2:6,3,RF,4,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.215,0.367,0.629,16,0.92,0.094,1,0.262,0.95
È£À×,2020,06-04,Å°¿ò,L 3:7,3,RF,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.217,0.361,0.623,12,0.01,0.016,1,,
È£À×,2020,06-05,NC,L 2:13,3,RF,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.209,0.349,0.602,13,-0.56,-0.032,1,0.253,0.42
È£À×,2020,06-09,@·Ôµ¥,L 3:9,5,RF,4,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.211,0.378,0.630,18,0.38,-0.033,1,,
È£À×,2020,06-10,@·Ôµ¥,L 2:12,5,RF,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.223,0.383,0.646,10,0.32,0.058,1,0.263,0.60
È£À×,2020,06-11,@·Ôµ¥,L 0:5,4,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.216,0.371,0.633,21,-0.51,-0.041,1,,
È£À×,2020,06-12,µÎ»ê,L 2:5,3,RF,4,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.218,0.366,0.628,18,-0.46,-0.024,1,0.262,0.61
È£À×,2020,06-13,µÎ»ê,W 7:6,4,RF,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.208,0.349,0.599,14,-1.76,-0.217,1,,
È£À×,2020,06-14,µÎ»ê,W 3:2,3,RF,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.202,0.339,0.589,16,0.32,0.016,1,0.250,0.98
È£À×,2020,06-16,LG,L 5:9,6,RF,4,0,2,1,0,0,3,0,0,0,0,1,0,2,0,0,0,0.212,0.354,0.618,15,0.10,0.036,1,,
È£À×,2020,06-17,LG,L 1:7,6,RF,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.207,0.345,0.609,16,-0.50,-0.020,1,0.264,1.35
È£À×,2020,06-18,LG,L 7:9,6,RF,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.202,0.336,0.600,16,-0.25,0.001,1,,
