Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
碍辣备,2020,05-05,@伙己,W 4:0,0,0,3,3,0,0,0,0,0,0,0,0,10,0.000,0.000,0.000,0.00,0.56,0.028,,7+老,0,0.00,1.0
碍辣备,2020,05-08,LG,W 13:5,0,0,4,2,0,0,0,0,2,0,0,1,17,0.000,0.500,0.500,0.00,0.09,0.002,,3老,0,1.20,0.2
碍辣备,2020,05-10,LG,L 8:10,0,0,3,2,0,0,0,0,1,0,0,0,14,0.000,0.333,0.333,0.00,0.17,0.017,,2老,0,1.29,0.2
碍辣备,2020,05-12,KT,W 7:6,1,1,5,5,2,1,0,0,0,0,0,1,13,0.167,0.400,1.000,2.70,-0.45,-0.057,,2老,0,1.50,1.0
碍辣备,2020,05-15,@SK,W 6:2,0,0,1,1,0,0,0,0,0,0,0,0,4,0.154,0.000,0.000,2.25,0.73,0.197,,3老,0,1.25,0.2
碍辣备,2020,05-16,@SK,W 2:1,0,0,1,1,0,0,0,0,0,0,0,0,4,0.143,0.000,0.000,2.08,0.47,0.122,,1老,0,1.15,0.1
碍辣备,2020,05-19,@滴魂,W 5:4,2,2,6,6,4,1,0,0,0,0,0,1,25,0.300,0.667,1.500,5.40,-1.98,-0.088,,3老,0,1.80,0.2
碍辣备,2020,05-20,@滴魂,L 1:2,0,0,1,1,1,0,0,0,0,0,0,0,1,0.333,1.000,2.000,5.40,-1.00,-0.292,,1老,0,2.00,0.0
碍辣备,2020,05-22,茄拳,L 3:5,0,0,4,4,0,0,0,0,0,0,0,1,16,0.280,0.000,0.000,4.26,0.67,0.036,,2老,0,1.58,1.1
碍辣备,2020,05-24,茄拳,W 10:5,0,0,4,4,2,0,0,0,0,0,0,1,13,0.310,0.500,1.000,3.86,0.02,0.002,,2老,0,1.71,0.2
碍辣备,2020,05-27,虐框,W 10:3,0,0,4,2,1,0,0,0,2,0,0,0,19,0.323,0.750,1.250,3.68,-0.52,-0.004,,3老,0,2.05,0.1
碍辣备,2020,06-25,@KT,W 3:1,0,0,6,5,1,0,0,0,1,0,0,1,27,0.306,0.333,0.533,3.12,0.94,0.175,,7+老,0,1.96,1.1
碍辣备,2020,06-26,@滴魂,W 9:3,0,0,3,3,1,0,0,0,0,0,0,0,8,0.308,0.333,0.667,2.89,0.57,0.044,W,1老,0,1.93,0.2
碍辣备,2020,06-28,@滴魂,W 5:0,0,0,4,4,1,0,0,0,0,0,0,1,13,0.302,0.250,0.500,2.61,0.56,0.014,,2老,0,1.84,1.0
碍辣备,2020,06-30,吩单,L 8:10,2,2,3,2,2,0,0,1,1,0,0,0,16,0.333,1.000,3.500,4.35,-2.40,-0.437,L,2老,0,2.13,0.0
碍辣备,2020,07-02,吩单,W 9:7,2,2,4,3,2,2,0,0,1,0,0,0,12,0.354,0.750,2.083,5.91,-2.77,-0.425,,2老,0,2.34,0.1
碍辣备,2020,07-08,@SK,L 2:3,0,0,1,1,0,0,0,0,0,0,0,0,2,0.347,0.000,0.000,5.73,0.54,0.023,,6老,0,2.27,0.1
碍辣备,2020,07-10,@LG,W 12:2,1,1,5,5,2,1,0,0,0,0,0,1,17,0.352,0.400,1.000,6.00,-0.45,0.001,,2老,0,2.25,1.0
碍辣备,2020,07-11,@LG,D 6:6,0,0,3,3,0,0,0,0,0,0,0,2,12,0.333,0.000,0.000,5.54,0.56,0.012,,1老,0,2.08,1.0
碍辣备,2020,07-15,@虐框,L 4:7,0,0,4,3,0,0,0,0,1,0,0,1,19,0.317,0.250,0.250,5.14,0.56,0.006,,4老,0,2.00,1.0
碍辣备,2020,07-18,KT,W 6:1,1,1,4,4,1,0,0,1,0,0,0,0,9,0.313,0.250,1.250,5.40,-0.45,0.002,,3老,0,1.93,1.0
碍辣备,2020,07-21,伙己,W 6:5,0,0,6,6,2,0,0,0,0,0,0,2,24,0.314,0.333,0.667,4.96,0.81,0.196,,3老,0,1.90,1.1
碍辣备,2020,07-25,@KT,L 2:6,1,1,3,3,2,2,0,0,0,0,0,0,11,0.329,0.667,2.000,5.40,-1.17,-0.016,,4老,0,1.98,0.1
碍辣备,2020,07-31,滴魂,W 10:7,0,0,5,5,2,0,0,0,0,0,0,0,15,0.333,0.400,0.800,5.09,0.56,0.020,,6老,0,1.98,1.0
碍辣备,2020,08-01,滴魂,L 10:12,0,0,1,1,0,0,0,0,0,0,0,0,3,0.329,0.000,0.000,5.00,0.25,0.004,,1老,0,1.94,0.1
碍辣备,2020,08-02,滴魂,L 4:7,1,1,2,2,1,0,0,0,0,0,0,1,8,0.333,0.500,1.000,5.30,0.23,0.005,,1老,0,1.93,0.2
碍辣备,2020,08-05,@茄拳,L 5:8,3,3,3,3,3,0,0,1,0,0,0,0,16,0.357,1.000,3.000,6.75,-2.02,-0.188,,3老,0,2.09,0.0
碍辣备,2020,10-10,@LG,L 5:9,0,0,5,5,0,0,0,0,0,0,0,1,17,0.341,0.000,0.000,6.10,1.21,0.003,,0老,0,1.94,1.2
碍辣备,2020,10-10,@LG,L 0:5,0,0,2,2,1,0,0,0,0,0,0,0,4,0.360,0.500,1.000,6.63,-0.46,-0.012,,7+老,0,2.11,0.1
碍辣备,2020,10-13,KIA,L 9:11,2,2,3,1,0,0,0,0,2,0,0,0,10,0.337,0.667,0.667,6.86,-0.77,-0.026,,3老,0,2.00,0.1
