Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
고효준,2019,03-23,키움,L 4:7,1,1,5,4,2,0,0,0,0,0,0,1,15,0.500,0.500,1.000,9.00,-0.45,-0.079,,7+일,0,2.00,1.0
고효준,2019,03-24,키움,W 6:2,0,0,4,4,1,0,0,0,0,0,0,2,15,0.375,0.250,0.500,4.50,0.56,0.070,,1일,0,1.50,1.0
고효준,2019,03-28,삼성,L 7:12,2,2,7,5,2,0,0,0,1,0,0,1,23,0.385,0.500,0.900,7.36,0.21,0.001,,4일,0,1.64,1.2
고효준,2019,03-31,@LG,L 5:6,0,0,3,3,1,0,0,0,0,0,0,1,11,0.375,0.333,0.667,6.23,0.27,0.056,,3일,0,1.62,0.2
고효준,2019,04-02,@SK,W 5:0,0,0,3,3,1,0,0,0,0,0,0,1,11,0.368,0.333,0.667,5.40,-0.10,-0.022,,2일,0,1.60,0.2
고효준,2019,04-04,@SK,L 6:7,0,0,6,6,0,0,0,0,0,0,0,4,32,0.280,0.000,0.000,3.86,1.11,0.244,,2일,0,1.14,2.0
고효준,2019,04-05,한화,W 5:2,0,0,2,2,0,0,0,0,0,0,0,1,9,0.259,0.000,0.000,3.52,0.73,0.094,,1일,0,1.04,0.2
고효준,2019,04-10,두산,L 1:3,0,0,2,2,0,0,0,0,0,0,0,0,9,0.241,0.000,0.000,3.24,0.30,0.016,,5일,0,0.96,0.2
고효준,2019,04-12,@NC,L 1:2,0,0,1,1,1,1,0,0,0,0,0,0,3,0.267,1.000,3.000,3.24,-1.24,-0.289,,2일,0,1.08,0.0
고효준,2019,04-13,@NC,L 5:7,0,0,3,2,0,0,0,0,1,0,0,1,10,0.250,0.333,0.333,3.00,1.47,0.078,,1일,0,1.11,0.2
고효준,2019,04-16,KIA,W 10:9,2,2,5,3,0,0,0,0,2,0,0,2,23,0.229,0.400,0.400,4.50,0.56,0.045,,3일,0,1.20,1.0
고효준,2019,04-17,KIA,W 8:6,2,2,5,5,2,0,0,1,0,0,0,0,12,0.250,0.400,1.400,5.73,-1.45,-0.338,,1일,0,1.27,1.0
고효준,2019,04-18,KIA,W 10:9,0,0,4,3,0,0,0,0,1,0,0,2,18,0.233,0.250,0.250,5.25,0.56,0.042,,1일,0,1.25,1.0
고효준,2019,04-20,KT,W 5:4,1,1,5,4,2,0,0,1,1,0,0,1,20,0.255,0.600,1.850,5.54,-0.05,0.012,,2일,0,1.38,1.0
고효준,2019,04-21,KT,L 3:6,2,2,3,3,2,2,0,0,0,0,0,0,7,0.280,0.667,2.000,6.75,-1.17,-0.396,L,1일,0,1.50,0.1
고효준,2019,04-24,@한화,L 4:5,1,1,6,3,0,0,0,0,2,0,0,1,29,0.264,0.400,0.400,6.75,-1.06,-0.098,L,3일,0,1.50,1.1
고효준,2019,04-27,@두산,L 0:7,2,2,5,3,2,2,0,0,1,1,1,1,14,0.286,0.800,2.133,7.80,-2.97,-0.025,,3일,0,1.67,0.1
고효준,2019,04-30,NC,W 6:1,0,0,3,2,0,0,0,0,1,0,0,1,17,0.276,0.333,0.333,7.47,0.85,0.022,,3일,0,1.66,0.2
고효준,2019,05-02,NC,L 6:7,2,2,4,4,2,0,0,1,0,0,0,1,11,0.290,0.500,1.750,8.27,-2.28,-0.189,,2일,0,1.71,0.2
고효준,2019,05-05,SK,L 3:4,0,0,5,4,1,0,0,0,1,1,0,1,17,0.288,0.400,0.650,7.94,-0.26,-0.012,,3일,0,1.76,0.2
고효준,2019,05-07,@KT,L 2:7,0,0,3,2,1,0,0,0,0,0,0,0,11,0.294,0.333,0.833,7.64,-0.43,-0.005,,2일,0,1.75,0.2
고효준,2019,05-10,@삼성,W 12:5,0,0,3,3,0,0,0,0,0,0,0,0,14,0.282,0.000,0.000,7.23,0.56,0.003,,3일,0,1.66,1.0
고효준,2019,05-16,LG,L 2:3,1,1,8,5,1,0,0,0,1,0,1,2,28,0.276,0.375,0.575,7.08,1.02,0.043,,6일,0,1.62,1.2
고효준,2019,05-19,@키움,L 3:9,0,0,4,4,1,0,0,0,0,0,0,0,13,0.275,0.250,0.500,6.75,0.56,0.001,,3일,0,1.59,1.0
고효준,2019,05-21,@KIA,L 6:10,1,1,6,6,3,0,0,0,0,0,0,1,29,0.291,0.500,1.000,6.75,-0.19,-0.006,,2일,0,1.63,1.1
고효준,2019,05-22,@KIA,L 5:6,1,1,5,3,2,1,0,0,2,1,0,1,13,0.303,0.800,1.800,7.04,-2.10,-0.363,L,1일,0,1.78,0.1
고효준,2019,05-24,LG,W 8:5,0,0,4,2,1,0,0,0,1,0,1,1,13,0.308,0.750,1.250,6.94,-0.52,-0.094,,2일,0,1.84,0.1
고효준,2019,05-28,@NC,W 9:4,0,0,3,3,1,1,0,0,0,0,0,2,12,0.309,0.333,1.000,6.75,0.30,0.044,,4일,0,1.83,0.2
고효준,2019,05-30,@NC,W 10:2,0,0,3,3,0,0,0,0,0,0,0,1,11,0.299,0.000,0.000,6.48,0.56,0.001,,2일,0,1.76,1.0
고효준,2019,05-31,삼성,W 6:1,0,0,1,1,0,0,0,0,0,0,0,1,4,0.296,0.000,0.000,6.39,0.54,0.015,,1일,0,1.74,0.1
고효준,2019,06-02,삼성,L 3:8,0,0,4,4,0,0,0,0,0,0,0,0,7,0.284,0.000,0.000,6.08,1.21,0.012,,2일,0,1.65,1.1
고효준,2019,06-04,한화,W 3:2,0,0,2,2,0,0,0,0,0,0,0,1,6,0.279,0.000,0.000,5.93,0.73,0.196,W,2일,0,1.61,0.2
고효준,2019,06-05,한화,L 3:6,0,0,4,2,0,0,0,0,1,1,0,1,9,0.274,0.250,0.250,5.72,0.42,-0.021,,1일,0,1.59,1.0
고효준,2019,06-07,@KT,L 1:2,1,1,4,2,1,0,0,0,1,0,0,0,17,0.278,0.667,1.167,5.90,0.09,0.018,L,2일,0,1.62,0.2
고효준,2019,06-09,@KT,L 0:2,1,1,4,4,2,1,0,0,0,0,0,1,19,0.286,0.500,1.250,6.07,-0.10,0.005,,2일,0,1.65,0.2
고효준,2019,06-11,@LG,D 1:1,0,0,4,3,0,0,0,0,1,0,0,1,18,0.278,0.250,0.250,5.87,0.56,0.137,,2일,0,1.63,1.0
