Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
备铰刮,2019,03-24,虐框,W 6:2,0,0,4,3,0,0,0,0,1,0,0,1,16,0.000,0.250,0.250,0.00,0.56,0.023,,7+老,0,1.00,1.0
备铰刮,2019,03-28,伙己,L 7:12,1,1,6,5,0,0,0,0,1,0,0,1,20,0.000,0.167,0.167,3.86,0.54,0.004,,4老,0,0.86,1.1
备铰刮,2019,03-31,@LG,L 5:6,1,1,2,1,1,0,0,0,1,0,0,0,10,0.111,1.000,2.000,7.71,-1.35,-0.171,,3老,0,1.71,0.0
备铰刮,2019,04-02,@SK,W 5:0,0,0,3,3,0,0,0,0,0,0,0,0,12,0.083,0.000,0.000,5.40,0.95,0.100,,2老,0,1.20,1.0
备铰刮,2019,04-03,@SK,W 3:1,0,0,5,4,0,0,0,0,1,0,0,2,16,0.063,0.200,0.200,3.86,1.02,0.101,,1老,0,1.07,1.1
备铰刮,2019,04-05,茄拳,W 5:2,0,0,4,4,2,0,0,0,0,0,0,1,11,0.150,0.500,1.000,3.18,0.56,0.074,,2老,0,1.24,1.0
备铰刮,2019,04-06,茄拳,W 9:7,0,0,5,5,2,0,0,0,0,0,0,2,21,0.200,0.400,0.800,2.70,0.56,0.074,,1老,0,1.35,1.0
备铰刮,2019,04-11,滴魂,L 1:5,1,1,4,3,2,1,0,0,0,0,0,0,12,0.250,0.500,1.500,3.68,-2.03,-0.198,,5老,0,1.50,0.2
备铰刮,2019,04-13,@NC,L 5:7,2,2,8,6,3,2,0,0,2,0,0,2,27,0.294,0.625,1.458,5.40,-1.45,-0.278,L,2老,0,1.92,1.0
备铰刮,2019,04-16,KIA,W 10:9,0,0,4,3,1,0,0,0,1,0,0,2,18,0.297,0.500,0.833,5.00,0.09,0.004,,3老,0,2.00,0.2
备铰刮,2019,04-17,KIA,W 8:6,0,0,3,3,0,0,0,0,0,0,0,2,13,0.275,0.000,0.000,4.50,0.56,0.137,,1老,0,1.80,1.0
备铰刮,2019,04-19,KT,L 5:6,0,0,2,2,1,0,0,0,0,0,0,0,5,0.286,0.500,1.000,4.35,-0.46,-0.300,,2老,0,1.84,0.1
备铰刮,2019,04-20,KT,W 5:4,0,0,2,2,0,0,0,0,0,0,0,1,9,0.273,0.000,0.000,4.09,0.57,0.127,,1老,0,1.73,0.2
备铰刮,2019,04-21,KT,L 3:6,2,2,3,3,2,0,0,1,0,0,0,1,11,0.298,0.667,2.333,5.56,-2.39,-0.403,,1老,0,1.85,0.1
备铰刮,2019,04-24,@茄拳,L 4:5,1,1,7,7,1,0,0,1,0,0,0,2,25,0.278,0.143,0.714,5.54,-0.14,-0.123,,3老,0,1.69,1.2
