Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
구창모,2019,05-03,KIA,L 4:8,0,0,1,1,0,0,0,0,0,0,0,1,5,0.000,0.000,0.000,0.00,0.12,0.001,,7+일,0,0.00,0.1
구창모,2019,05-04,KIA,W 4:1,0,0,3,3,0,0,0,0,0,0,0,2,11,0.000,0.000,0.000,0.00,0.56,0.074,,1일,0,0.00,1.0
구창모,2019,05-09,@삼성,L 4:6,0,0,5,5,2,0,0,0,0,0,0,0,18,0.222,0.400,0.800,0.00,0.56,0.014,,5일,0,0.86,1.0
구창모,2019,05-10,두산,W 12:11,1,1,15,14,4,0,0,0,1,0,0,3,54,0.261,0.333,0.619,1.50,1.24,0.146,,1일,0,1.17,3.2
구창모,2019,05-17,@LG,W 13:2,1,1,18,17,3,0,0,0,1,0,0,6,76,0.225,0.222,0.399,1.64,1.78,0.123,W,7일,1,1.00,5.0
구창모,2019,05-23,@키움,W 4:2,2,2,24,24,4,0,0,1,0,0,0,9,92,0.203,0.167,0.458,2.00,1.89,0.167,W,6일,1,0.83,7.0
구창모,2019,05-29,롯데,W 8:6,1,1,23,19,5,1,0,0,2,0,2,8,98,0.217,0.391,0.707,1.96,1.78,0.125,W,6일,1,0.96,5.0
구창모,2019,06-04,@삼성,L 1:3,1,1,21,18,3,1,1,0,2,0,0,7,96,0.208,0.238,0.571,1.93,1.78,0.117,L,6일,1,0.96,5.0
구창모,2019,06-15,@SK,L 0:4,1,1,23,18,4,1,0,0,4,0,1,8,100,0.210,0.391,0.669,1.91,1.78,0.123,L,7+일,1,1.06,5.0
구창모,2019,06-21,@KT,L 0:5,3,3,21,17,3,1,0,0,4,0,0,4,88,0.206,0.333,0.569,2.43,-0.64,-0.072,L,6일,1,1.14,4.0
구창모,2019,06-27,한화,W 10:5,2,2,25,20,5,2,0,0,3,0,1,8,99,0.212,0.375,0.725,2.55,1.61,0.177,W,6일,1,1.18,5.1
구창모,2019,07-04,@KIA,W 9:3,1,1,24,21,4,1,0,0,2,0,0,4,97,0.209,0.250,0.488,2.42,2.33,0.206,W,7일,1,1.16,6.0
구창모,2019,07-11,@롯데,W 4:0,0,0,27,25,2,1,0,0,2,0,0,13,111,0.193,0.148,0.268,2.09,4.19,0.367,W,7일,1,1.07,7.2
구창모,2019,07-17,@한화,W 14:1,1,1,24,21,2,0,0,1,3,0,0,4,85,0.184,0.208,0.446,2.02,2.31,0.148,W,6일,1,1.04,6.1
구창모,2019,07-27,@키움,L 1:4,4,4,27,22,6,0,1,0,4,0,1,4,97,0.192,0.407,0.771,2.37,-0.67,-0.194,L,7+일,1,1.10,6.0
구창모,2019,08-03,@KIA,L 1:5,5,5,22,20,9,1,0,1,1,0,0,4,93,0.211,0.476,1.126,2.86,-3.18,-0.288,L,7일,1,1.18,4.0
구창모,2019,08-10,롯데,W 7:4,1,1,27,27,3,1,0,1,0,0,0,8,97,0.202,0.111,0.370,2.69,3.44,0.172,W,7일,1,1.10,8.0
구창모,2019,08-16,@키움,L 4:6,6,6,16,13,7,1,0,2,3,0,0,2,63,0.216,0.625,1.702,3.27,-4.17,-0.447,L,6일,1,1.19,2.1
구창모,2019,08-22,@LG,W 5:2,2,0,25,22,3,0,0,0,1,0,1,3,96,0.211,0.208,0.345,3.05,1.33,0.076,W,6일,1,1.15,6.0
구창모,2019,08-28,KT,L 2:8,5,5,26,24,7,2,0,3,2,0,0,7,86,0.217,0.346,1.096,3.33,-1.67,-0.260,L,6일,1,1.17,6.0
구창모,2019,09-08,@삼성,L 4:9,2,2,25,22,4,1,0,0,3,0,0,5,111,0.214,0.280,0.507,3.31,1.33,0.073,,7+일,1,1.17,6.0
구창모,2019,09-15,삼성,W 6:1,1,1,21,19,3,1,0,1,2,0,0,4,80,0.212,0.238,0.607,3.23,2.03,0.197,W,7일,1,1.16,5.1
구창모,2019,09-26,한화,L 2:4,0,0,6,5,2,0,0,0,1,0,0,0,27,0.214,0.500,0.900,3.20,0.56,0.048,,7+일,1,1.18,1.0
