Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
권오준,2019,03-24,@NC,W 4:3,0,0,3,3,0,0,0,0,0,0,0,1,12,0.000,0.000,0.000,0.00,0.56,0.088,W,7+일,0,0.00,1.0
권오준,2019,03-28,@롯데,W 12:7,2,2,3,2,2,1,0,0,1,0,0,0,9,0.400,1.000,2.500,18.00,-2.63,-0.128,,4일,0,3.00,0.0
권오준,2019,04-05,@SK,L 0:3,0,0,8,8,2,0,0,0,0,0,0,2,26,0.308,0.250,0.500,6.00,1.11,0.019,,7+일,0,1.67,2.0
권오준,2019,04-11,@LG,L 2:5,0,0,4,4,1,0,0,0,0,0,0,1,17,0.294,0.250,0.500,4.50,0.56,0.006,,6일,0,1.50,1.0
권오준,2019,04-16,키움,L 0:4,1,1,4,4,1,0,0,1,0,0,0,0,13,0.286,0.250,1.250,5.40,-0.45,-0.015,,5일,0,1.40,1.0
권오준,2019,04-24,SK,L 8:9,0,0,6,5,2,1,0,0,1,0,0,0,12,0.308,0.500,1.100,4.50,0.34,0.027,,7+일,0,1.67,1.0
권오준,2019,04-27,LG,L 0:8,0,0,3,3,0,0,0,0,0,0,0,0,7,0.276,0.000,0.000,3.86,0.56,0.003,,3일,0,1.43,1.0
권오준,2019,04-30,@KIA,L 0:8,0,0,3,3,0,0,0,0,0,0,0,2,14,0.250,0.000,0.000,3.38,0.56,0.000,,3일,0,1.25,1.0
권오준,2019,05-05,@키움,L 2:12,1,1,5,4,2,1,0,0,0,0,1,0,11,0.278,0.600,1.350,4.00,-0.45,-0.001,,5일,0,1.33,1.0
권오준,2019,05-07,NC,W 6:3,0,0,3,3,0,0,0,0,0,0,0,1,15,0.256,0.000,0.000,3.60,0.95,0.118,,2일,0,1.20,1.0
권오준,2019,05-10,롯데,L 5:12,1,1,7,6,2,0,0,1,0,0,0,1,21,0.267,0.333,1.167,3.86,-0.87,-0.110,,3일,0,1.20,1.2
권오준,2019,05-12,롯데,L 9:10,2,2,5,5,3,0,0,1,0,0,0,0,15,0.300,0.600,1.800,5.11,-1.70,-0.060,,2일,0,1.38,0.2
권오준,2019,05-17,@KT,W 14:3,0,0,4,4,0,0,0,0,0,0,0,2,15,0.278,0.000,0.000,4.50,1.53,0.001,,5일,0,1.21,1.2
권오준,2019,05-22,한화,W 6:5,0,0,1,1,0,0,0,0,0,0,0,1,3,0.273,0.000,0.000,4.40,0.25,0.065,W,5일,0,1.19,0.1
권오준,2019,05-26,키움,W 4:3,0,0,4,3,0,0,0,0,1,0,0,0,18,0.259,0.250,0.250,4.11,0.56,0.055,,4일,0,1.17,1.0
권오준,2019,05-28,@두산,L 1:4,0,0,2,1,1,0,0,0,0,0,0,0,5,0.271,0.500,1.500,4.02,-1.10,-0.063,,2일,0,1.21,0.1
권오준,2019,05-31,@롯데,L 1:6,1,1,7,6,2,1,0,0,1,0,0,2,33,0.277,0.429,0.929,4.24,-0.33,-0.008,,3일,0,1.29,1.1
권오준,2019,06-08,@SK,L 0:8,2,2,5,5,2,0,0,1,0,0,0,1,19,0.286,0.400,1.400,5.00,-1.45,-0.002,,7+일,0,1.33,1.0
권오준,2019,06-09,@SK,W 9:0,0,0,6,6,2,0,0,0,0,0,0,0,15,0.289,0.333,0.667,4.66,0.81,0.001,,1일,0,1.34,1.1
권오준,2019,06-11,@KIA,L 1:7,0,0,6,6,1,0,0,0,0,0,0,0,28,0.280,0.167,0.333,4.22,1.11,0.002,,2일,0,1.27,2.0
권오준,2019,06-15,KT,L 7:10,0,0,1,1,0,0,0,0,0,0,0,0,7,0.277,0.000,0.000,4.09,0.97,0.013,,4일,0,1.23,0.2
권오준,2019,06-16,KT,L 1:3,0,0,6,6,0,0,0,0,0,0,0,1,20,0.258,0.000,0.000,3.75,1.11,0.162,,1일,0,1.13,2.0
권오준,2019,06-18,LG,W 12:5,1,1,2,1,0,0,0,0,1,0,0,0,12,0.256,0.500,0.500,4.07,-0.17,-0.023,,2일,0,1.15,0.1
권오준,2019,06-19,LG,L 6:9,1,1,8,6,2,0,0,1,1,0,1,1,29,0.260,0.500,1.333,4.21,-0.19,-0.008,,1일,0,1.21,1.1
권오준,2019,06-27,두산,L 1:9,1,1,6,5,2,1,0,0,1,0,0,2,24,0.267,0.500,1.100,4.39,-0.45,-0.001,,7+일,0,1.28,1.0
권오준,2019,06-30,SK,L 7:14,0,0,4,4,1,1,0,0,0,0,0,0,14,0.267,0.250,0.750,4.23,0.56,0.000,,3일,0,1.27,1.0
권오준,2019,07-05,@NC,L 3:7,0,0,6,5,1,1,0,0,1,0,0,1,28,0.264,0.333,0.733,4.03,-0.10,-0.023,,5일,0,1.28,1.1
권오준,2019,07-13,@LG,L 3:5,0,0,4,3,0,0,0,0,1,0,0,0,14,0.257,0.250,0.250,3.90,0.56,0.014,,7+일,0,1.27,1.0
권오준,2019,07-17,@키움,L 6:10,0,0,4,3,0,0,0,0,1,0,0,1,11,0.250,0.250,0.250,3.77,0.56,0.002,,4일,0,1.26,1.0
권오준,2019,07-26,한화,W 9:8,0,0,2,1,0,0,0,0,1,0,0,0,12,0.248,0.500,0.500,3.73,-0.02,-0.003,,7+일,0,1.28,0.1
권오준,2019,07-28,한화,W 13:6,0,0,3,3,0,0,0,0,0,0,0,1,18,0.242,0.000,0.000,3.62,0.56,0.003,,2일,0,1.24,1.0
