Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±««ı,2020,05-16,@KIA,L 4:13,0,0,4,4,1,0,0,0,0,0,0,1,18,0.250,0.250,0.500,0.00,0.56,0.000,,7+¿œ,0,1.00,1.0
±««ı,2020,05-19,NC,L 4:5,1,1,3,3,1,0,0,0,0,0,0,0,8,0.286,0.333,0.667,6.75,-0.42,-0.008,,3¿œ,0,1.50,0.1
±««ı,2020,05-21,NC,L 6:12,0,0,2,2,0,0,0,0,0,0,0,1,12,0.222,0.000,0.000,4.50,0.72,0.178,,2¿œ,0,1.00,0.2
±««ı,2020,05-22,@ªÔº∫,W 12:7,0,0,2,2,0,0,0,0,0,0,0,1,9,0.182,0.000,0.000,3.38,0.38,0.024,,1¿œ,0,0.75,0.2
±««ı,2020,05-26,SK,W 6:4,0,0,1,1,0,0,0,0,0,0,0,0,5,0.167,0.000,0.000,3.00,0.25,0.013,W,4¿œ,0,0.67,0.1
±««ı,2020,05-28,SK,L 1:6,2,2,3,2,1,0,0,0,1,0,0,0,12,0.214,0.667,1.167,8.10,-0.42,-0.024,,2¿œ,0,1.20,0.1
±««ı,2020,05-30,∑‘µ•,W 5:4,0,0,1,1,0,0,0,0,0,0,0,0,4,0.200,0.000,0.000,6.75,0.57,0.138,W,2¿œ,0,1.00,0.2
±««ı,2020,05-31,∑‘µ•,L 3:8,3,2,5,4,1,0,0,0,1,0,0,1,20,0.211,0.400,0.650,9.64,-0.84,-0.151,L,1¿œ,0,1.29,0.2
±««ı,2020,06-04,@KT,W 14:8,0,0,3,3,1,0,0,0,0,0,0,1,11,0.227,0.333,0.667,7.94,0.56,0.003,,4¿œ,0,1.24,1.0
±««ı,2020,06-06,KIA,W 4:3,0,0,2,2,0,0,0,0,0,0,0,0,7,0.208,0.000,0.000,7.11,0.30,0.060,,2¿œ,0,1.11,0.2
±««ı,2020,06-07,KIA,W 3:2,0,0,2,1,0,0,0,0,1,0,0,0,10,0.200,0.500,0.500,6.75,-0.02,-0.007,,1¿œ,0,1.20,0.1
±««ı,2020,06-09,@NC,L 8:12,2,2,3,3,2,1,0,0,0,0,0,1,8,0.250,0.667,1.667,9.00,-1.56,-0.069,,2¿œ,0,1.43,0.1
±««ı,2020,06-14,@«—»≠,L 2:3,0,0,2,2,2,0,0,0,0,0,0,0,4,0.300,1.000,2.000,9.00,-1.35,-0.124,,5¿œ,0,1.71,0.0
±««ı,2020,07-02,@≈∞øÚ,L 7:10,1,1,1,1,1,0,1,0,0,0,0,0,4,0.323,1.000,4.000,10.29,-0.93,-0.175,L,7+¿œ,0,1.86,0.0
±««ı,2020,08-18,@∑‘µ•,W 9:2,0,0,4,3,1,0,0,0,1,0,0,1,21,0.324,0.500,0.833,9.39,0.09,0.001,,7+¿œ,0,1.96,0.2
