Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±›πŒ√∂,2017,03-31,LG,L 1:2,0,0,4,4,1,0,0,0,0,0,0,2,19,0.250,0.250,0.500,0.00,0.56,0.052,,7+¿œ,0,1.00,1.0
±›πŒ√∂,2017,04-02,LG,L 2:9,1,1,2,1,0,0,0,0,1,0,0,1,11,0.200,0.500,0.500,6.75,0.26,0.030,,2¿œ,0,1.50,0.1
±›πŒ√∂,2017,04-07,@µŒªÍ,W 7:3,0,0,3,3,2,0,0,0,0,0,0,0,11,0.375,0.667,1.333,5.40,-1.53,-0.006,,5¿œ,0,2.40,0.1
±›πŒ√∂,2017,04-08,@µŒªÍ,W 13:10,0,0,3,3,0,0,0,0,0,0,0,0,17,0.273,0.000,0.000,3.38,0.56,0.055,,1¿œ,0,1.50,1.0
±›πŒ√∂,2017,04-11,kt,W 12:2,2,2,10,9,3,0,0,0,1,0,0,2,34,0.300,0.400,0.733,5.79,-0.89,0.000,,3¿œ,0,1.71,2.0
±›πŒ√∂,2017,04-15,@KIA,L 2:5,0,0,5,4,1,0,0,0,1,0,0,1,23,0.292,0.400,0.650,4.76,0.56,0.006,,4¿œ,0,1.76,1.0
±›πŒ√∂,2017,04-16,@KIA,L 6:7,0,0,1,1,0,0,0,0,0,0,0,1,4,0.280,0.000,0.000,4.50,0.47,0.037,,1¿œ,0,1.67,0.1
±›πŒ√∂,2017,04-21,∑‘µ•,W 4:1,1,1,4,3,1,0,1,0,1,0,0,2,17,0.286,0.500,1.500,5.40,-0.70,0.003,,5¿œ,0,1.80,0.2
±›πŒ√∂,2017,04-23,∑‘µ•,W 6:5,0,0,4,3,0,0,0,0,1,0,0,1,11,0.258,0.250,0.250,4.70,0.56,0.065,,2¿œ,0,1.70,1.0
±›πŒ√∂,2017,04-26,µŒªÍ,L 3:4,0,0,8,7,2,0,0,0,1,0,0,1,32,0.263,0.375,0.661,3.86,0.85,0.026,,3¿œ,0,1.71,1.2
±›πŒ√∂,2017,04-29,@«—»≠,W 7:3,2,2,6,6,3,2,0,0,0,0,0,2,23,0.295,0.500,1.333,5.23,-1.45,-0.049,,3¿œ,0,1.84,1.0
±›πŒ√∂,2017,05-04,KIA,W 9:1,0,0,3,3,1,0,0,0,0,0,0,0,17,0.298,0.333,0.667,4.76,0.56,0.003,,5¿œ,0,1.76,1.0
±›πŒ√∂,2017,05-05,SK,W 5:3,0,0,5,3,1,0,0,0,2,0,0,0,19,0.300,0.600,0.933,4.38,0.56,0.096,,1¿œ,0,1.86,1.0
±›πŒ√∂,2017,05-07,SK,D 6:6,0,0,5,5,2,0,0,0,0,0,0,1,14,0.309,0.400,0.800,4.05,0.56,0.137,,2¿œ,0,1.88,1.0
±›πŒ√∂,2017,05-12,@ªÔº∫,L 1:4,0,0,4,3,0,0,0,0,1,0,0,1,16,0.293,0.250,0.250,3.77,0.56,0.006,,5¿œ,0,1.81,1.0
±›πŒ√∂,2017,05-17,«—»≠,L 4:8,3,3,7,4,2,0,0,0,1,0,2,0,17,0.306,0.714,1.214,5.40,-2.91,-0.117,,5¿œ,0,1.93,0.2
±›πŒ√∂,2017,05-18,«—»≠,W 8:6,0,0,1,1,0,0,0,0,0,0,0,0,2,0.302,0.000,0.000,5.28,0.25,0.008,W,1¿œ,0,1.89,0.1
±›πŒ√∂,2017,05-21,@kt,L 4:13,0,0,5,4,1,0,0,0,1,0,0,2,14,0.299,0.400,0.650,4.96,0.56,0.000,,3¿œ,0,1.90,1.0
±›πŒ√∂,2017,05-23,NC,L 4:15,3,3,6,6,4,1,0,0,0,0,0,0,20,0.329,0.667,1.500,6.23,-2.45,0.000,,2¿œ,0,2.02,1.0
±›πŒ√∂,2017,05-24,NC,L 4:5,0,0,3,3,1,0,0,0,0,0,0,0,8,0.329,0.333,0.667,5.89,0.56,0.038,,1¿œ,0,1.96,1.0
±›πŒ√∂,2017,05-26,ªÔº∫,W 18:3,0,0,6,4,1,1,0,0,2,0,0,0,27,0.325,0.500,1.000,5.59,0.56,0.001,,2¿œ,0,2.02,1.0
±›πŒ√∂,2017,05-28,ªÔº∫,L 2:3,0,0,8,5,2,1,0,0,3,0,0,1,50,0.329,0.625,1.225,5.14,0.80,0.034,,2¿œ,0,2.10,1.2
