Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è°­·ü,2018,03-24,»ï¼º,L 3:6,2,2,7,6,3,1,0,0,1,0,0,1,20,0.500,0.571,1.238,13.50,-0.99,-0.070,,7+ÀÏ,0,3.00,1.1
±è°­·ü,2018,03-25,»ï¼º,W 5:4,0,0,3,3,0,0,0,0,0,0,0,0,11,0.333,0.000,0.000,7.71,0.56,0.162,SV,1ÀÏ,0,1.71,1.0
±è°­·ü,2018,03-28,·Ôµ¥,W 6:5,1,1,5,4,1,1,0,0,1,0,0,1,17,0.308,0.400,0.900,8.10,-0.45,0.074,SV,3ÀÏ,0,1.80,1.0
±è°­·ü,2018,03-29,·Ôµ¥,W 4:1,0,0,3,3,0,0,0,0,0,0,0,1,12,0.250,0.000,0.000,6.23,0.56,0.033,SV,1ÀÏ,0,1.38,1.0
±è°­·ü,2018,04-03,LG,W 5:4,2,2,8,6,4,0,0,1,1,0,1,0,33,0.364,0.750,1.917,8.44,-1.45,-0.289,,5ÀÏ,0,2.06,1.0
±è°­·ü,2018,04-04,LG,W 6:3,0,0,2,2,1,0,0,0,0,0,0,0,6,0.375,0.500,1.000,7.50,-0.03,0.034,SV,1ÀÏ,0,2.00,0.2
±è°­·ü,2018,04-07,NC,W 6:3,0,0,4,4,0,0,0,0,0,0,0,0,12,0.321,0.000,0.000,6.14,1.37,0.209,SV,3ÀÏ,0,1.64,1.1
±è°­·ü,2018,04-08,NC,W 11:10,4,4,8,8,5,1,0,0,0,0,0,2,31,0.389,0.625,1.375,9.72,-3.45,-0.767,W,1ÀÏ,0,2.04,1.0
±è°­·ü,2018,04-11,@»ï¼º,W 7:6,1,1,3,3,2,0,0,1,0,0,0,0,10,0.410,0.667,2.333,10.38,-1.02,-0.118,,3ÀÏ,0,2.19,0.1
±è°­·ü,2018,04-24,@SK,W 10:9,4,4,6,6,4,1,0,0,0,0,0,0,17,0.444,0.667,1.500,13.50,-3.20,-0.073,,7+ÀÏ,0,2.46,0.2
±è°­·ü,2018,04-26,@SK,L 4:5,0,0,3,3,1,0,0,0,0,0,0,0,6,0.438,0.333,0.667,12.60,0.97,0.050,,2ÀÏ,0,2.40,0.2
±è°­·ü,2018,04-27,@NC,W 6:2,0,0,4,3,0,0,0,0,1,0,0,1,22,0.412,0.250,0.250,11.45,0.56,0.018,,1ÀÏ,0,2.27,1.0
±è°­·ü,2018,04-29,@NC,W 7:1,0,0,3,3,1,0,0,0,0,0,0,0,6,0.407,0.333,0.667,10.50,0.56,0.003,,2ÀÏ,0,2.17,1.0
±è°­·ü,2018,05-03,KT,L 2:3,0,0,7,6,0,0,0,0,1,0,0,4,38,0.367,0.143,0.143,9.00,2.13,0.412,,4ÀÏ,0,1.93,2.0
±è°­·ü,2018,05-05,@LG,W 3:0,0,0,4,4,1,0,0,0,0,0,0,1,13,0.359,0.250,0.500,8.40,0.56,0.041,SV,2ÀÏ,0,1.87,1.0
±è°­·ü,2018,05-06,@LG,W 13:5,0,0,3,3,0,0,0,0,0,0,0,1,8,0.343,0.000,0.000,7.88,0.56,0.001,,1ÀÏ,0,1.75,1.0
±è°­·ü,2018,05-11,³Ø¼¾,L 5:10,1,0,4,3,0,0,0,0,1,0,0,1,12,0.329,0.250,0.250,7.56,-1.53,-0.038,,5ÀÏ,0,1.74,0.2
±è°­·ü,2018,05-15,SK,W 6:4,0,0,5,5,1,0,0,0,0,0,0,3,22,0.320,0.200,0.400,7.00,0.81,0.148,,4ÀÏ,0,1.67,1.1
±è°­·ü,2018,05-16,SK,W 5:3,0,0,4,4,1,0,0,0,0,0,0,1,12,0.316,0.250,0.500,6.63,0.56,0.070,,1ÀÏ,0,1.63,1.0
±è°­·ü,2018,05-18,@·Ôµ¥,W 7:1,0,0,3,3,0,0,0,0,0,0,0,2,13,0.305,0.000,0.000,6.30,0.95,0.066,,2ÀÏ,0,1.55,1.0
±è°­·ü,2018,05-20,@·Ôµ¥,W 7:6,0,0,5,5,2,0,0,0,0,0,0,0,17,0.310,0.400,0.800,5.91,0.81,0.164,,2ÀÏ,0,1.55,1.1
±è°­·ü,2018,05-27,»ï¼º,W 8:2,1,0,7,7,2,0,0,0,0,0,0,1,20,0.309,0.286,0.571,5.40,0.11,0.027,,7ÀÏ,0,1.50,2.0
±è°­·ü,2018,05-30,SK,W 11:3,0,0,3,3,0,0,0,0,0,0,0,1,6,0.299,0.000,0.000,5.18,0.56,0.006,,3ÀÏ,0,1.44,1.0
±è°­·ü,2018,05-31,SK,W 6:4,1,1,3,2,0,0,0,0,1,0,0,0,22,0.293,0.333,0.333,5.40,0.30,0.056,,1ÀÏ,0,1.44,0.2
±è°­·ü,2018,06-03,@KIA,L 11:12,2,2,4,3,1,0,0,0,1,0,0,2,20,0.294,0.500,0.833,5.96,-0.29,-0.077,,3ÀÏ,0,1.48,0.2
±è°­·ü,2018,06-06,@³Ø¼¾,W 7:3,0,0,5,4,1,1,0,0,1,0,0,2,24,0.292,0.400,0.900,5.74,0.16,0.019,,3ÀÏ,0,1.50,1.0
±è°­·ü,2018,06-08,NC,W 6:1,0,0,5,4,0,0,0,0,1,0,0,0,14,0.282,0.200,0.200,5.46,0.54,0.089,,2ÀÏ,0,1.46,1.1
±è°­·ü,2018,06-10,NC,W 6:3,1,0,1,0,0,0,0,0,1,0,0,0,6,0.282,1.000,0.000,5.46,-0.40,-0.075,,2ÀÏ,0,1.50,0.0
±è°­·ü,2018,06-13,KT,W 6:4,0,0,4,4,1,0,0,0,0,0,0,3,15,0.281,0.250,0.500,5.28,0.19,0.006,W,3ÀÏ,0,1.48,1.0
±è°­·ü,2018,06-14,KT,W 9:8,2,2,11,9,3,0,0,1,1,0,0,1,33,0.285,0.364,1.030,5.40,-0.26,-0.135,W,1ÀÏ,0,1.48,2.2
±è°­·ü,2018,06-19,³Ø¼¾,L 5:6,0,0,3,2,0,0,0,0,1,0,0,1,16,0.280,0.333,0.333,5.29,0.30,0.056,,5ÀÏ,0,1.48,0.2
±è°­·ü,2018,06-22,@»ï¼º,L 14:16,0,0,5,5,0,0,0,0,0,0,0,2,19,0.269,0.000,0.000,5.03,1.13,0.001,,3ÀÏ,0,1.41,1.2
±è°­·ü,2018,06-23,@»ï¼º,W 11:4,0,0,6,5,1,0,0,0,0,0,1,3,24,0.267,0.333,0.533,4.84,0.90,0.075,W,1ÀÏ,0,1.39,1.1
±è°­·ü,2018,06-26,@NC,L 4:5,0,0,7,6,3,1,0,0,0,0,0,3,29,0.277,0.500,1.167,4.62,0.13,-0.128,,3ÀÏ,0,1.41,1.2
±è°­·ü,2018,06-29,KIA,L 4:7,1,1,5,4,1,0,0,0,1,0,0,2,27,0.276,0.400,0.650,4.74,0.16,0.005,,3ÀÏ,0,1.42,1.0
±è°­·ü,2018,07-08,»ï¼º,L 1:11,2,2,9,8,4,0,0,0,1,0,0,0,27,0.288,0.556,1.056,5.03,-0.98,-0.003,,7+ÀÏ,0,1.50,1.1
±è°­·ü,2018,07-10,@KT,L 1:9,2,2,5,5,2,0,0,1,0,0,0,3,27,0.291,0.400,1.400,5.36,-1.45,-0.005,,2ÀÏ,0,1.51,1.0
±è°­·ü,2018,07-12,@KT,L 4:11,0,0,4,4,1,0,0,0,0,0,0,1,10,0.290,0.250,0.500,5.23,0.56,0.000,,2ÀÏ,0,1.50,1.0
