Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
김건태,2020,05-06,@삼성,W 4:3,0,0,3,3,0,0,0,0,0,0,0,2,12,0.000,0.000,0.000,0.00,0.56,0.081,,7+일,0,0.00,1.0
김건태,2020,05-08,LG,W 13:5,0,0,3,3,1,0,0,0,0,0,0,0,7,0.167,0.333,0.667,0.00,0.56,0.000,,2일,0,0.50,1.0
김건태,2020,05-10,LG,L 8:10,3,3,4,2,2,0,0,1,1,0,0,0,22,0.375,0.750,3.250,11.57,-3.39,-0.621,L,2일,0,1.71,0.1
김건태,2020,05-12,KT,W 7:6,0,0,3,3,0,0,0,0,0,0,0,2,10,0.273,0.000,0.000,8.10,0.56,0.017,,2일,0,1.20,1.0
김건태,2020,05-15,@SK,W 6:2,0,0,3,2,0,0,0,0,1,0,0,2,17,0.231,0.333,0.333,6.75,0.30,0.056,,3일,0,1.25,0.2
김건태,2020,05-17,@SK,W 11:5,0,0,2,2,0,0,0,0,0,0,0,1,5,0.200,0.000,0.000,5.79,1.47,0.009,,2일,0,1.07,0.2
김건태,2020,05-20,@두산,L 1:2,0,0,2,1,0,0,0,0,1,0,0,0,7,0.188,0.500,0.500,5.40,-0.02,0.003,,3일,0,1.20,0.1
김건태,2020,05-22,한화,L 3:5,0,0,6,6,1,1,0,0,0,0,0,1,27,0.182,0.167,0.500,4.05,0.99,0.051,,2일,0,1.05,1.2
김건태,2020,05-27,키움,W 10:3,0,0,1,1,0,0,0,0,0,0,0,0,6,0.174,0.000,0.000,3.68,1.65,0.004,,5일,0,0.95,0.2
김건태,2020,05-30,@삼성,L 1:9,3,3,4,1,1,0,0,1,2,0,0,0,16,0.208,1.000,5.000,7.04,-1.91,-0.074,,3일,0,1.30,0.1
김건태,2020,06-02,SK,L 2:8,0,0,5,4,1,0,0,0,1,0,0,0,21,0.214,0.400,0.650,6.23,0.56,0.001,,3일,0,1.38,1.0
김건태,2020,06-04,SK,W 10:0,0,0,4,3,0,0,0,0,1,0,0,3,21,0.194,0.250,0.250,5.59,0.56,0.001,,2일,0,1.34,1.0
김건태,2020,06-06,@한화,W 14:2,0,0,3,3,0,0,0,0,0,0,0,0,17,0.176,0.000,0.000,5.06,0.56,0.000,,2일,0,1.22,1.0
김건태,2020,06-09,두산,W 12:8,2,2,2,0,0,0,0,0,1,0,1,0,13,0.176,1.000,0.000,6.55,-0.67,-0.004,W,3일,0,1.27,0.1
김건태,2020,06-13,키움,L 5:18,6,6,10,9,5,2,0,2,1,0,0,2,41,0.256,0.600,2.044,10.22,-5.19,-0.240,,4일,0,1.62,1.1
김건태,2020,08-24,@KT,L 1:8,0,0,5,5,0,0,0,0,0,0,0,2,20,0.229,0.000,0.000,9.00,1.53,0.002,,7+일,0,1.43,1.2
김건태,2020,08-28,두산,L 4:11,0,0,14,13,4,0,0,0,0,0,1,3,67,0.246,0.357,0.665,7.41,1.67,0.001,,4일,0,1.41,3.0
김건태,2020,09-02,@키움,L 4:6,0,0,4,3,0,0,0,0,1,0,0,0,15,0.234,0.250,0.250,7.00,0.56,0.001,,5일,0,1.39,1.0
김건태,2020,09-04,@LG,D 5:5,0,0,3,2,0,0,0,0,1,0,0,0,15,0.227,0.333,0.333,6.63,0.56,0.137,,2일,0,1.37,1.0
