Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
辫措快,2020,05-07,NC,L 2:8,0,0,6,3,0,0,0,0,3,0,0,1,21,0.000,0.500,0.500,0.00,0.56,0.000,,7+老,0,3.00,1.0
辫措快,2020,05-09,KIA,W 14:2,0,0,3,3,0,0,0,0,0,0,0,0,20,0.000,0.000,0.000,0.00,0.56,0.070,,2老,0,1.50,1.0
辫措快,2020,05-10,KIA,L 3:12,1,1,7,6,1,0,0,0,1,0,0,1,32,0.083,0.286,0.452,2.70,0.14,0.003,,1老,0,1.50,1.1
辫措快,2020,05-16,@KT,L 4:10,3,2,14,11,3,1,0,0,2,0,0,1,43,0.174,0.385,0.748,4.50,-1.59,-0.051,,6老,0,1.67,2.2
辫措快,2020,05-19,LG,L 6:10,0,0,4,4,1,1,0,0,0,0,0,0,14,0.185,0.250,0.750,3.86,0.56,0.003,,3老,0,1.57,1.0
辫措快,2020,05-23,滴魂,L 6:10,2,2,18,16,5,1,0,2,1,0,1,4,64,0.233,0.389,1.139,4.09,0.22,-0.030,L,4老,1,1.55,4.0
辫措快,2020,05-29,NC,W 5:4,3,3,20,20,6,0,0,1,0,0,0,0,87,0.254,0.300,0.750,4.50,-0.23,-0.113,,6老,1,1.44,5.0
辫措快,2020,06-05,@SK,L 1:4,2,2,22,18,3,1,0,0,4,0,0,1,84,0.235,0.318,0.540,4.29,0.78,-0.009,L,7老,1,1.43,5.0
辫措快,2020,06-11,虐框,W 6:3,1,1,22,20,4,0,1,0,1,0,1,1,79,0.228,0.273,0.573,3.81,1.78,0.157,W,6老,1,1.35,5.0
辫措快,2020,06-17,@滴魂,W 6:3,2,2,22,20,5,1,0,1,1,0,0,1,85,0.231,0.273,0.723,3.66,1.33,0.157,W,6老,1,1.28,6.0
辫措快,2020,06-23,茄拳,W 11:4,1,1,6,6,3,1,0,0,0,0,0,1,33,0.244,0.500,1.167,3.82,-0.45,0.000,,6老,0,1.33,1.0
辫措快,2020,06-28,@吩单,L 3:7,4,4,21,19,7,2,0,0,1,0,1,3,85,0.260,0.429,0.902,4.38,-1.78,-0.239,L,5老,1,1.41,4.0
辫措快,2020,07-04,LG,W 7:6,1,1,8,7,1,0,0,1,1,0,0,3,28,0.255,0.250,0.821,4.38,0.11,-0.163,W,6老,0,1.38,2.0
辫措快,2020,07-10,@KT,L 3:8,3,3,20,18,8,3,0,0,2,0,0,2,72,0.275,0.500,1.111,4.53,-0.32,-0.068,,6老,0,1.47,4.2
辫措快,2020,07-16,KIA,W 8:7,0,0,19,17,2,1,0,0,1,0,1,5,84,0.261,0.211,0.387,4.01,3.43,0.243,,6老,0,1.36,5.2
辫措快,2020,07-29,茄拳,L 7:12,4,0,13,11,6,0,0,0,0,0,1,2,49,0.276,0.539,1.084,3.86,-3.39,-0.363,L,7+老,0,1.42,2.0
辫措快,2020,08-05,@滴魂,D 2:2,0,0,13,12,1,0,0,0,1,0,0,1,51,0.265,0.154,0.237,3.58,2.22,0.247,,7老,0,1.36,4.0
辫措快,2020,08-11,滴魂,L 1:6,0,0,6,6,2,0,0,0,0,0,0,0,21,0.267,0.333,0.667,3.49,0.14,0.010,,6老,0,1.36,1.1
辫措快,2020,08-19,KT,L 4:6,0,0,3,3,0,0,0,0,0,0,0,0,12,0.264,0.000,0.000,3.43,0.56,0.008,,7+老,0,1.34,1.0
辫措快,2020,08-21,@SK,L 6:8,1,1,15,13,3,0,0,0,1,0,1,1,35,0.262,0.333,0.564,3.39,1.01,0.088,,2老,0,1.33,3.1
辫措快,2020,08-23,吩单,L 0:11,0,0,3,3,0,0,0,0,0,0,0,0,13,0.258,0.000,0.000,3.34,0.56,0.011,,2老,0,1.31,1.0
辫措快,2020,08-27,@茄拳,L 0:7,3,3,19,18,6,0,0,0,1,0,0,1,80,0.264,0.368,0.702,3.53,0.80,0.041,L,4老,1,1.33,4.1
辫措快,2020,09-10,@吩单,L 8:13,3,3,22,22,10,1,0,2,0,0,0,2,80,0.279,0.455,1.227,3.71,-1.80,-0.105,,7+老,1,1.39,4.0
辫措快,2020,09-17,KIA,L 2:12,8,8,20,18,9,2,0,1,1,0,0,3,71,0.293,0.500,1.278,4.50,-4.32,-0.435,L,7老,1,1.46,3.2
辫措快,2020,09-23,@NC,L 7:8,4,4,9,7,5,0,0,0,1,0,0,1,37,0.302,0.667,1.381,4.92,-3.45,-0.252,,6老,0,1.52,1.0
辫措快,2020,10-03,@NC,L 2:12,2,2,5,3,1,0,0,0,2,0,0,0,18,0.303,0.600,0.933,5.11,-1.70,-0.041,,7+老,0,1.55,0.2
辫措快,2020,10-11,吩单,W 8:4,0,0,5,4,1,1,0,0,1,0,0,2,21,0.302,0.400,0.900,5.05,0.56,0.032,,7+老,0,1.55,1.0
辫措快,2020,10-13,SK,L 3:7,1,1,5,5,2,1,0,1,0,0,0,0,27,0.304,0.400,1.600,5.10,-0.45,-0.108,L,2老,0,1.56,1.0
