Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
김대현,2020,05-08,@NC,L 5:13,2,2,6,4,1,1,0,0,2,0,0,1,37,0.250,0.500,1.000,18.00,-1.45,-0.044,,7+일,0,3.00,1.0
김대현,2020,05-20,@삼성,L 1:3,0,0,3,3,1,0,0,0,0,0,0,1,18,0.286,0.333,0.667,9.00,0.56,0.014,,7+일,0,2.00,1.0
김대현,2020,05-22,KT,W 6:5,0,0,3,3,1,0,0,0,0,0,0,0,10,0.300,0.333,0.667,6.00,0.95,0.062,W,2일,0,1.67,1.0
김대현,2020,05-24,KT,W 9:7,2,0,3,2,1,0,0,0,0,0,0,0,13,0.333,0.500,1.000,5.40,-1.17,-0.218,,2일,0,1.80,0.1
김대현,2020,05-29,@KIA,W 6:2,1,1,4,2,1,0,0,1,2,0,0,0,15,0.357,0.750,2.750,7.36,-1.42,-0.035,,5일,0,2.45,0.1
김대현,2020,05-31,@KIA,W 13:5,1,1,5,4,1,0,0,1,1,0,0,1,18,0.333,0.400,1.400,7.71,-0.45,0.000,,2일,0,2.36,1.0
김대현,2020,06-03,삼성,L 6:12,2,2,9,7,2,1,0,1,2,0,0,1,37,0.320,0.444,1.302,8.10,-0.89,-0.058,,3일,0,2.25,2.0
김대현,2020,06-05,@키움,L 3:6,0,0,3,2,0,0,0,0,1,0,0,0,9,0.296,0.333,0.333,7.04,0.56,0.006,,2일,0,2.09,1.0
김대현,2020,06-11,SK,W 4:3,0,0,1,1,0,0,0,0,0,0,0,1,3,0.286,0.000,0.000,6.75,0.82,0.121,W,6일,0,2.00,0.1
김대현,2020,06-12,롯데,W 3:2,0,0,3,3,0,0,0,0,0,0,0,2,10,0.258,0.000,0.000,6.00,0.56,0.052,,1일,0,1.78,1.0
김대현,2020,06-14,롯데,W 10:6,2,2,2,2,2,0,0,0,0,0,0,0,5,0.303,1.000,2.000,8.00,-1.02,-0.027,,2일,0,2.00,0.0
김대현,2020,06-17,@한화,W 7:1,0,0,9,7,0,0,0,0,2,0,0,3,39,0.250,0.222,0.222,6.35,1.23,0.012,,3일,0,1.76,2.1
