Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±ËπŒ±‘,2020,05-24,@ªÔº∫,L 0:13,7,7,7,5,5,4,0,0,1,0,1,0,37,1.000,1.000,2.800,99.99,-6.50,-0.002,,7+¿œ,0,99.99,0.0
±ËπŒ±‘,2020,06-26,NC,L 3:9,0,0,2,2,0,0,0,0,0,0,0,0,11,0.714,0.000,0.000,94.50,0.30,0.000,,7+¿œ,0,9.00,0.2
±ËπŒ±‘,2020,06-27,NC,W 12:3,0,0,3,3,0,0,0,0,0,0,0,0,5,0.500,0.000,0.000,37.80,0.56,0.000,,1¿œ,0,3.60,1.0
±ËπŒ±‘,2020,06-30,@≈∞øÚ,L 2:11,3,3,13,12,6,3,0,0,1,0,0,4,47,0.500,0.539,1.289,24.55,-3.03,-0.011,,3¿œ,0,3.55,2.0
±ËπŒ±‘,2020,07-04,«—»≠,L 2:6,0,0,3,3,0,0,0,0,0,0,0,0,9,0.440,0.000,0.000,19.29,0.56,0.002,,4¿œ,0,2.79,1.0
±ËπŒ±‘,2020,07-24,LG,L 1:8,1,1,7,6,2,1,0,0,1,0,0,0,17,0.419,0.429,0.929,16.50,-0.06,0.000,,7+¿œ,0,2.67,1.1
±ËπŒ±‘,2020,08-02,@NC,W 7:4,0,0,2,2,0,0,0,0,0,0,0,1,9,0.394,0.000,0.000,14.85,0.97,0.101,SV,7+¿œ,0,2.40,0.2
±ËπŒ±‘,2020,08-04,ªÔº∫,L 3:6,1,1,3,2,1,0,0,0,0,0,1,0,10,0.400,0.667,1.167,15.43,-0.42,-0.011,,2¿œ,0,2.43,0.1
±ËπŒ±‘,2020,08-12,@ªÔº∫,W 15:8,0,0,4,4,0,0,0,0,0,0,0,1,19,0.359,0.000,0.000,13.50,0.56,0.001,,7+¿œ,0,2.13,1.0
±ËπŒ±‘,2020,08-14,KT,L 3:5,0,0,2,2,0,0,0,0,0,0,0,1,12,0.341,0.000,0.000,12.46,0.57,0.053,,2¿œ,0,1.96,0.2
±ËπŒ±‘,2020,08-15,KT,W 7:5,1,1,3,3,1,0,0,1,0,0,0,0,15,0.341,0.333,1.667,12.54,-1.43,-0.203,,1¿œ,0,1.93,0.2
±ËπŒ±‘,2020,08-16,KT,L 1:4,0,0,4,3,0,0,0,0,1,0,0,2,21,0.319,0.250,0.250,11.32,0.56,0.015,,1¿œ,0,1.84,1.0
