Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è¹Î¼ö,2020,05-05,·Ôµ¥,L 2:7,0,0,3,2,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000,0.00,0.57,-0.002,,7+ÀÏ,0,0.00,1.0
±è¹Î¼ö,2020,05-07,·Ôµ¥,L 3:7,2,2,5,5,3,1,0,1,0,0,0,1,14,0.429,0.600,2.000,10.80,-2.43,-0.453,L,2ÀÏ,0,1.80,0.2
±è¹Î¼ö,2020,05-10,@µÎ»ê,L 12:13,2,2,4,3,2,0,0,0,1,0,0,0,20,0.500,0.750,1.417,18.00,-2.02,-0.046,,3ÀÏ,0,3.00,0.1
±è¹Î¼ö,2020,05-21,ÇÑÈ­,L 4:9,0,0,6,6,1,0,0,0,0,0,0,4,19,0.375,0.167,0.333,9.82,1.53,0.015,,7+ÀÏ,0,1.91,1.2
±è¹Î¼ö,2020,05-23,@LG,W 6:2,1,1,4,4,3,0,0,0,0,0,0,0,19,0.450,0.750,1.500,11.25,-1.75,-0.108,,2ÀÏ,0,2.50,0.1
±è¹Î¼ö,2020,05-24,@LG,L 7:9,3,3,4,4,3,0,0,1,0,0,0,0,11,0.500,0.750,2.250,16.62,-3.72,-0.819,L,1ÀÏ,0,3.00,0.1
±è¹Î¼ö,2020,05-26,KIA,L 1:4,2,2,7,7,4,0,0,0,0,0,0,1,17,0.516,0.571,1.143,16.88,-0.79,-0.078,,2ÀÏ,0,3.19,1.0
±è¹Î¼ö,2020,05-29,@Å°¿ò,L 1:5,0,0,3,3,2,0,0,0,0,0,0,0,23,0.529,0.667,1.333,15.00,-1.03,-0.060,,3ÀÏ,0,3.17,0.2
±è¹Î¼ö,2020,06-02,µÎ»ê,L 8:11,1,1,5,4,2,0,0,0,1,0,0,0,16,0.526,0.600,1.100,14.14,-0.45,-0.006,,4ÀÏ,0,3.14,1.0
±è¹Î¼ö,2020,06-05,@·Ôµ¥,L 4:6,3,3,17,15,5,1,0,1,2,0,0,2,59,0.472,0.412,1.012,12.19,-1.35,-0.169,,3ÀÏ,1,2.81,3.1
±è¹Î¼ö,2020,06-11,KIA,W 13:8,3,3,21,20,6,1,0,0,1,0,0,6,85,0.425,0.333,0.683,9.98,-0.23,0.167,W,6ÀÏ,1,2.35,5.0
±è¹Î¼ö,2020,06-16,@SK,W 6:5,1,1,19,18,5,1,0,0,0,0,1,2,63,0.396,0.316,0.649,7.97,1.78,0.159,,5ÀÏ,1,2.02,5.0
±è¹Î¼ö,2020,06-25,NC,W 19:6,3,1,27,26,7,0,0,0,1,0,0,1,95,0.368,0.296,0.566,6.41,1.91,0.163,,7+ÀÏ,1,1.84,6.1
±è¹Î¼ö,2020,06-30,@LG,L 3:4,2,2,26,23,7,1,0,0,2,0,0,2,98,0.357,0.346,0.694,5.79,1.33,0.057,,5ÀÏ,1,1.78,6.0
±è¹Î¼ö,2020,07-05,Å°¿ò,W 10:5,3,3,24,20,7,0,0,1,4,0,0,1,87,0.356,0.458,0.958,5.73,-0.23,0.111,W,5ÀÏ,1,1.83,5.0
±è¹Î¼ö,2020,07-15,ÇÑÈ­,L 3:7,6,6,27,24,9,1,0,0,3,0,0,3,99,0.359,0.444,0.861,6.33,-3.23,-0.297,L,7+ÀÏ,1,1.90,5.0
±è¹Î¼ö,2020,07-26,NC,W 5:4,4,4,28,26,7,1,0,2,1,0,0,6,99,0.348,0.286,0.824,6.16,-0.12,-0.211,,7+ÀÏ,1,1.79,7.0
±è¹Î¼ö,2020,08-05,@Å°¿ò,L 3:12,7,2,23,20,6,0,0,1,2,0,1,3,90,0.343,0.391,0.841,6.04,-4.78,-0.280,L,7+ÀÏ,1,1.81,4.0
±è¹Î¼ö,2020,08-15,@µÎ»ê,L 5:7,3,3,27,26,10,0,0,0,1,0,0,2,92,0.348,0.407,0.792,5.88,0.33,-0.030,,7+ÀÏ,1,1.81,6.0
±è¹Î¼ö,2020,08-21,@ÇÑÈ­,L 1:5,4,4,15,15,6,2,0,1,0,0,0,1,55,0.351,0.400,1.133,6.18,-2.34,-0.225,L,6ÀÏ,1,1.82,3.0
±è¹Î¼ö,2020,08-27,@LG,L 0:2,2,1,21,20,5,0,1,0,1,0,0,6,87,0.344,0.286,0.636,5.85,0.78,-0.014,L,6ÀÏ,1,1.77,5.0
±è¹Î¼ö,2020,09-04,SK,W 7:5,5,5,22,22,6,2,0,2,0,0,0,5,78,0.339,0.273,0.909,6.04,-1.91,-0.316,,7+ÀÏ,1,1.73,5.1
±è¹Î¼ö,2020,09-10,@NC,L 8:13,5,5,20,17,6,0,0,1,2,0,1,2,66,0.339,0.450,0.979,6.34,-3.25,-0.397,,6ÀÏ,1,1.75,3.2
±è¹Î¼ö,2020,09-16,»ï¼º,W 11:6,1,1,24,20,7,1,0,0,4,0,0,1,78,0.340,0.458,0.858,6.06,1.78,0.155,W,6ÀÏ,1,1.78,5.0
±è¹Î¼ö,2020,09-22,@·Ôµ¥,L 0:8,3,3,21,20,6,0,0,2,1,0,0,3,83,0.338,0.333,0.933,6.00,-0.05,-0.074,L,6ÀÏ,1,1.75,5.1
±è¹Î¼ö,2020,09-27,LG,W 5:4,3,3,19,18,5,1,0,1,0,0,1,3,69,0.335,0.316,0.816,6.01,-1.20,-0.182,,5ÀÏ,1,1.72,4.1
±è¹Î¼ö,2020,10-03,LG,L 2:7,5,4,22,21,6,4,0,0,1,0,0,2,82,0.333,0.318,0.794,6.07,-2.23,-0.359,L,6ÀÏ,1,1.70,5.0
±è¹Î¼ö,2020,10-07,@·Ôµ¥,W 9:6,2,2,9,7,5,1,0,0,1,0,0,1,28,0.339,0.667,1.524,6.20,-2.72,-0.169,,4ÀÏ,0,1.75,1.0
±è¹Î¼ö,2020,10-10,µÎ»ê,L 8:13,2,2,5,5,3,1,0,0,0,0,0,0,9,0.342,0.600,1.400,6.34,-2.28,-0.116,,3ÀÏ,0,1.77,0.2
±è¹Î¼ö,2020,10-14,Å°¿ò,L 3:5,0,0,9,9,2,1,0,0,0,0,0,1,28,0.340,0.222,0.556,6.19,1.09,0.048,,4ÀÏ,0,1.74,2.1
±è¹Î¼ö,2020,10-16,@SK,L 1:7,1,0,5,5,2,0,0,0,0,0,0,1,16,0.340,0.400,0.800,6.13,-1.43,-0.015,,2ÀÏ,0,1.75,1.0
±è¹Î¼ö,2020,10-22,@µÎ»ê,W 17:5,1,1,6,5,2,1,0,0,1,0,0,1,19,0.341,0.500,1.100,6.16,-0.45,0.000,,6ÀÏ,0,1.76,1.0
±è¹Î¼ö,2020,10-29,@ÇÑÈ­,W 12:1,0,0,4,4,1,1,0,0,0,0,0,2,15,0.340,0.250,0.750,6.10,0.56,0.000,,7ÀÏ,0,1.75,1.0
