Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
梯團辦,2019,03-31,NC,L 3:6,3,3,23,18,3,0,0,2,4,0,1,2,88,0.167,0.348,0.848,5.40,-0.23,-0.100,L,7+橾,1,1.40,5.0
梯團辦,2019,04-06,@煜等,L 7:9,6,6,20,19,7,1,1,0,1,0,0,1,81,0.270,0.400,0.926,9.00,-4.18,-0.473,,6橾,1,1.67,4.0
梯團辦,2019,04-13,@酈遺,L 3:5,5,4,27,23,9,3,0,0,4,0,0,3,103,0.317,0.482,1.003,8.56,-2.57,-0.296,L,7橾,1,2.05,4.2
梯團辦,2019,05-02,舒骯,L 4:5,1,1,25,23,7,1,0,0,2,0,0,3,82,0.313,0.360,0.708,6.41,2.33,0.253,,7+橾,1,1.88,6.0
梯團辦,2019,05-08,@SK,L 2:17,12,7,23,20,11,3,0,1,1,0,2,3,71,0.359,0.609,1.459,8.59,-11.31,-0.443,L,6橾,1,2.23,2.1
梯團辦,2019,05-14,酈遺,W 7:3,2,2,23,20,5,0,0,0,2,0,0,3,90,0.341,0.304,0.554,7.48,1.08,0.068,W,6橾,1,2.02,5.2
梯團辦,2019,05-19,KIA,L 0:5,5,4,26,24,9,1,0,0,1,0,0,5,90,0.347,0.400,0.817,7.36,-0.64,-0.097,L,5橾,1,2.00,5.1
梯團辦,2019,05-25,@舒骯,L 4:7,3,3,24,21,5,0,0,1,3,0,0,1,88,0.333,0.333,0.714,6.98,0.08,-0.051,,6橾,1,1.91,5.2
梯團辦,2019,05-31,@SK,L 1:2,2,2,30,29,5,0,0,1,0,0,1,5,98,0.310,0.200,0.476,6.17,2.44,0.105,L CG,6橾,1,1.69,8.0
梯團辦,2019,06-06,@煜等,W 4:3,2,2,23,21,4,0,0,0,1,0,0,5,96,0.298,0.227,0.418,5.81,1.33,0.093,W,6橾,1,1.59,6.0
梯團辦,2019,06-12,舒骯,L 6:9,6,6,10,5,3,1,0,0,3,0,1,1,45,0.305,0.700,1.500,6.67,-3.54,-0.337,L,6橾,1,1.67,1.1
梯團辦,2019,06-18,煜等,L 3:11,8,7,18,14,5,0,0,1,2,0,1,3,68,0.308,0.471,1.042,7.38,-5.02,-0.317,L,6橾,1,1.69,3.1
梯團辦,2019,07-02,@LG,L 2:9,0,0,6,6,1,0,0,0,0,0,0,3,27,0.305,0.167,0.333,7.17,0.80,0.000,,7+橾,0,1.66,1.2
梯團辦,2019,07-05,KT,L 3:10,2,2,16,13,1,1,0,0,2,0,0,2,54,0.293,0.200,0.354,7.00,-0.31,-0.023,,3橾,0,1.60,4.0
梯團辦,2019,07-12,@KIA,L 0:5,0,0,7,7,1,0,0,0,0,0,0,1,28,0.289,0.143,0.286,6.72,2.08,0.021,,7橾,0,1.55,2.2
梯團辦,2019,07-17,NC,L 1:14,2,2,15,11,4,1,0,0,4,0,0,5,62,0.292,0.533,0.988,6.75,-0.42,-0.013,,5橾,0,1.62,2.1
