Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è¹ü¼ö,2019,03-23,@µÎ»ê,L 4:5,2,2,2,0,0,0,0,0,2,0,0,0,8,0.000,1.000,0.000,99.99,-0.35,-0.063,L,7+ÀÏ,0,99.99,0.0
±è¹ü¼ö,2019,03-26,@KIA,W 13:7,1,1,4,2,1,0,1,0,2,0,0,1,16,0.500,0.750,2.250,81.00,-1.89,-0.014,,3ÀÏ,0,15.00,0.1
±è¹ü¼ö,2019,03-29,NC,W 9:0,0,0,3,3,0,0,0,0,0,0,0,1,12,0.200,0.000,0.000,20.25,0.56,0.000,,3ÀÏ,0,3.75,1.0
±è¹ü¼ö,2019,04-03,LG,L 0:7,0,0,5,5,1,0,0,0,0,0,0,2,22,0.200,0.200,0.400,10.13,1.37,0.010,,5ÀÏ,0,2.25,1.1
±è¹ü¼ö,2019,04-05,@·Ôµ¥,L 2:5,0,0,4,3,1,0,0,0,1,0,0,1,24,0.231,0.500,0.833,8.10,0.09,0.004,,2ÀÏ,0,2.40,0.2
±è¹ü¼ö,2019,04-10,SK,L 3:8,0,0,7,6,1,0,0,0,1,0,0,1,29,0.211,0.286,0.452,5.06,1.11,0.027,,5ÀÏ,0,1.88,2.0
±è¹ü¼ö,2019,04-13,@Å°¿ò,L 3:5,0,0,5,4,0,0,0,0,1,0,0,0,24,0.174,0.200,0.200,4.05,0.90,0.011,,3ÀÏ,0,1.65,1.1
±è¹ü¼ö,2019,04-14,@Å°¿ò,W 3:2,0,0,2,2,1,1,0,0,0,0,0,0,11,0.200,0.500,1.500,3.86,-0.17,-0.045,,1ÀÏ,0,1.71,0.1
±è¹ü¼ö,2019,04-19,»ï¼º,W 4:3,1,1,24,21,6,1,0,1,3,0,0,4,96,0.239,0.375,0.851,3.00,1.78,0.167,,5ÀÏ,1,1.75,5.0
±è¹ü¼ö,2019,05-01,µÎ»ê,W 4:1,1,1,21,16,3,0,0,0,5,0,0,3,100,0.226,0.381,0.569,2.65,1.78,0.170,W,7+ÀÏ,1,1.71,5.0
±è¹ü¼ö,2019,05-07,@SK,L 2:11,7,7,21,19,7,3,0,2,2,0,0,7,81,0.259,0.429,1.271,5.14,-4.41,-0.376,L,6ÀÏ,1,1.81,4.0
±è¹ü¼ö,2019,05-12,@LG,L 0:2,2,2,25,22,9,2,0,0,1,0,2,3,91,0.291,0.480,0.980,4.85,0.78,-0.005,L,5ÀÏ,1,1.85,5.0
±è¹ü¼ö,2019,05-18,KIA,W 5:2,2,2,24,23,6,1,0,1,0,0,1,7,100,0.286,0.292,0.726,4.55,1.08,0.104,W,6ÀÏ,1,1.71,5.2
