Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è»ó¼ö,2019,03-23,@·Ôµ¥,W 7:4,0,0,4,4,1,0,0,0,0,0,0,1,12,0.250,0.250,0.500,0.00,0.56,0.088,,7+ÀÏ,0,1.00,1.0
±è»ó¼ö,2019,03-26,@µÎ»ê,L 2:7,2,2,4,4,3,0,0,1,0,0,0,1,12,0.500,0.750,2.250,13.50,-3.60,-0.128,,3ÀÏ,0,3.00,0.1
±è»ó¼ö,2019,03-27,@µÎ»ê,L 2:3,0,0,4,3,2,0,0,0,0,0,1,0,13,0.545,0.750,1.417,9.00,0.09,0.026,,1ÀÏ,0,3.00,0.2
±è»ó¼ö,2019,03-30,SK,W 3:1,0,0,3,3,0,0,0,0,0,0,0,2,16,0.429,0.000,0.000,6.00,0.56,0.074,,3ÀÏ,0,2.00,1.0
±è»ó¼ö,2019,03-31,SK,L 7:8,0,0,3,3,0,0,0,0,0,0,0,1,12,0.353,0.000,0.000,4.50,0.56,0.028,,1ÀÏ,0,1.50,1.0
±è»ó¼ö,2019,04-04,@NC,W 6:5,1,1,4,2,1,0,0,1,2,0,0,1,18,0.368,0.750,2.750,6.23,-1.78,-0.255,,4ÀÏ,0,2.08,0.1
±è»ó¼ö,2019,04-10,KT,W 4:2,2,2,5,5,3,0,0,0,0,0,0,2,20,0.417,0.600,1.200,9.00,-0.91,-0.032,,6ÀÏ,0,2.40,0.2
±è»ó¼ö,2019,04-12,ÇÑÈ­,W 5:3,0,0,3,3,0,0,0,0,0,0,0,2,14,0.370,0.000,0.000,7.50,0.56,0.120,,2ÀÏ,0,2.00,1.0
±è»ó¼ö,2019,04-16,@»ï¼º,W 4:0,0,0,5,4,2,0,0,0,1,0,0,0,18,0.387,0.600,1.100,6.75,-0.26,-0.049,,4ÀÏ,0,2.25,0.2
±è»ó¼ö,2019,04-18,@»ï¼º,L 4:5,0,0,7,7,3,1,0,0,0,0,0,0,25,0.395,0.429,1.000,5.63,-0.36,-0.069,,2ÀÏ,0,2.25,1.1
±è»ó¼ö,2019,04-21,@LG,L 3:5,0,0,3,3,0,0,0,0,0,0,0,1,14,0.366,0.000,0.000,5.00,0.56,0.043,,3ÀÏ,0,2.00,1.0
±è»ó¼ö,2019,04-24,µÎ»ê,W 8:3,0,0,3,3,1,0,0,0,0,0,0,0,9,0.364,0.333,0.667,4.50,0.56,0.023,,3ÀÏ,0,1.90,1.0
±è»ó¼ö,2019,04-25,µÎ»ê,W 9:6,0,0,3,3,1,0,0,0,0,0,0,0,8,0.362,0.333,0.667,4.09,0.56,0.047,,1ÀÏ,0,1.82,1.0
±è»ó¼ö,2019,04-27,KIA,L 4:6,0,0,3,3,0,0,0,0,0,0,0,2,18,0.340,0.000,0.000,3.75,0.56,0.107,,2ÀÏ,0,1.67,1.0
±è»ó¼ö,2019,04-28,KIA,W 13:5,0,0,3,3,1,0,0,0,0,0,0,2,14,0.340,0.333,0.667,3.46,0.56,0.046,,1ÀÏ,0,1.62,1.0
±è»ó¼ö,2019,05-01,@SK,L 0:2,2,2,3,2,2,1,0,0,1,0,0,0,20,0.364,1.000,2.500,4.85,-2.40,-0.343,L,3ÀÏ,0,1.85,0.0
±è»ó¼ö,2019,05-02,@SK,W 10:8,1,1,4,4,3,0,0,0,0,0,0,0,15,0.390,0.750,1.500,5.40,-1.42,-0.167,,1ÀÏ,0,2.03,0.1
±è»ó¼ö,2019,05-07,LG,L 10:12,0,0,4,3,1,0,0,0,1,0,0,2,20,0.387,0.500,0.833,5.14,-1.03,-0.057,,5ÀÏ,0,2.07,0.2
±è»ó¼ö,2019,05-10,@KT,L 6:7,0,0,3,3,0,0,0,0,0,0,0,1,9,0.369,0.000,0.000,4.80,0.56,0.081,,3ÀÏ,0,1.93,1.0
±è»ó¼ö,2019,05-11,@KT,W 6:2,0,0,1,1,0,0,0,0,0,0,0,1,3,0.364,0.000,0.000,4.70,0.34,0.052,,1ÀÏ,0,1.89,0.1
±è»ó¼ö,2019,05-17,·Ôµ¥,W 7:0,0,0,3,3,0,0,0,0,0,0,0,2,10,0.348,0.000,0.000,4.41,0.56,0.003,,6ÀÏ,0,1.78,1.0
±è»ó¼ö,2019,05-24,@»ï¼º,W 10:5,0,0,2,2,0,0,0,0,0,0,0,0,6,0.338,0.000,0.000,4.24,0.57,0.055,,7ÀÏ,0,1.71,0.2
±è»ó¼ö,2019,05-26,@»ï¼º,L 3:4,0,0,3,3,0,0,0,0,0,0,0,2,15,0.324,0.000,0.000,4.00,0.56,0.141,,2ÀÏ,0,1.61,1.0
±è»ó¼ö,2019,05-30,LG,L 3:6,1,1,3,2,1,0,0,1,1,0,0,0,18,0.329,0.667,2.667,4.34,-1.43,-0.336,,4ÀÏ,0,1.66,0.2
±è»ó¼ö,2019,06-01,@KIA,W 4:0,0,0,4,3,0,0,0,0,1,0,0,2,23,0.316,0.250,0.250,4.12,0.56,0.081,,2ÀÏ,0,1.63,1.0
±è»ó¼ö,2019,06-02,@KIA,W 6:5,0,0,3,3,0,0,0,0,0,0,0,0,15,0.305,0.000,0.000,3.92,0.56,0.051,,1ÀÏ,0,1.55,1.0
±è»ó¼ö,2019,06-04,SK,L 1:2,0,0,2,2,0,0,0,0,0,0,0,1,8,0.298,0.000,0.000,3.80,1.47,0.266,,2ÀÏ,0,1.50,0.2
±è»ó¼ö,2019,06-06,SK,W 6:2,0,0,3,3,0,0,0,0,0,0,0,0,8,0.287,0.000,0.000,3.63,0.56,0.074,,2ÀÏ,0,1.43,1.0
±è»ó¼ö,2019,06-11,@NC,W 9:8,0,0,5,4,1,1,0,0,1,0,0,2,22,0.286,0.400,0.900,3.47,0.56,0.137,W,5ÀÏ,0,1.46,1.0
±è»ó¼ö,2019,06-12,@NC,W 5:4,0,0,5,3,0,0,0,0,2,0,0,0,19,0.277,0.400,0.400,3.33,0.56,0.137,,1ÀÏ,0,1.48,1.0
±è»ó¼ö,2019,06-14,ÇÑÈ­,W 8:7,0,0,5,4,1,0,0,0,0,0,1,1,31,0.276,0.400,0.650,3.20,0.56,0.121,,2ÀÏ,0,1.46,1.0
±è»ó¼ö,2019,06-16,ÇÑÈ­,W 9:6,0,0,3,2,0,0,0,0,1,0,0,0,12,0.270,0.333,0.333,3.08,0.56,0.043,,2ÀÏ,0,1.44,1.0
±è»ó¼ö,2019,06-20,KT,W 3:1,0,0,4,4,1,0,0,0,0,0,0,1,13,0.269,0.250,0.500,2.96,0.56,0.074,,4ÀÏ,0,1.43,1.0
±è»ó¼ö,2019,06-21,@·Ôµ¥,W 7:4,0,0,1,1,0,0,0,0,0,0,0,1,7,0.267,0.000,0.000,2.93,0.34,0.026,,1ÀÏ,0,1.41,0.1
±è»ó¼ö,2019,06-23,@·Ôµ¥,L 1:2,1,1,4,4,2,0,0,0,0,0,0,1,22,0.275,0.500,1.000,3.18,-0.70,-0.064,,2ÀÏ,0,1.45,0.2
±è»ó¼ö,2019,06-27,KIA,W 8:2,0,0,4,4,1,0,0,0,0,0,0,2,19,0.274,0.250,0.500,3.07,0.56,0.042,,4ÀÏ,0,1.43,1.0
±è»ó¼ö,2019,06-28,@ÇÑÈ­,W 6:5,1,1,5,3,1,0,0,0,2,0,0,1,25,0.276,0.600,0.933,3.30,-0.91,-0.130,,1ÀÏ,0,1.50,0.2
±è»ó¼ö,2019,06-30,@ÇÑÈ­,W 6:4,0,0,4,4,2,0,0,0,0,0,0,0,14,0.283,0.500,1.000,3.19,0.56,0.108,,2ÀÏ,0,1.52,1.0
±è»ó¼ö,2019,07-02,µÎ»ê,W 6:3,0,0,3,3,1,0,0,0,0,0,0,0,6,0.285,0.333,0.667,3.09,0.56,0.046,,2ÀÏ,0,1.50,1.0
±è»ó¼ö,2019,07-06,·Ôµ¥,W 6:4,0,0,4,3,0,0,0,0,1,0,0,1,18,0.278,0.250,0.250,3.00,0.56,0.074,,4ÀÏ,0,1.48,1.0
±è»ó¼ö,2019,07-07,·Ôµ¥,W 5:2,0,0,4,3,0,0,0,0,1,0,0,2,20,0.271,0.250,0.250,2.91,0.56,0.107,W,1ÀÏ,0,1.47,1.0
±è»ó¼ö,2019,07-11,@KT,W 4:2,0,0,3,3,0,0,0,0,0,0,0,1,20,0.265,0.000,0.000,2.83,0.56,0.089,,4ÀÏ,0,1.43,1.0
±è»ó¼ö,2019,07-12,@SK,W 6:2,0,0,2,1,0,0,0,0,1,0,0,0,14,0.263,0.500,0.500,2.80,0.54,0.026,,1ÀÏ,0,1.44,0.1
±è»ó¼ö,2019,07-18,»ï¼º,W 5:1,0,0,4,3,0,0,0,0,1,0,0,1,10,0.257,0.250,0.250,2.72,0.56,0.120,,6ÀÏ,0,1.43,1.0
±è»ó¼ö,2019,07-26,NC,W 5:4,0,0,4,3,0,0,0,0,1,0,0,1,14,0.252,0.250,0.250,2.65,0.56,0.043,,7+ÀÏ,0,1.42,1.0
±è»ó¼ö,2019,07-27,NC,W 4:1,0,0,3,3,1,0,0,0,0,0,0,1,8,0.254,0.333,0.667,2.58,0.56,0.042,,1ÀÏ,0,1.41,1.0
±è»ó¼ö,2019,07-30,@LG,W 4:2,0,0,5,4,1,0,0,0,1,0,0,2,22,0.253,0.400,0.650,2.52,0.56,0.081,,3ÀÏ,0,1.42,1.0
±è»ó¼ö,2019,08-01,@LG,L 5:11,4,4,6,5,3,1,0,0,1,0,0,1,21,0.265,0.667,1.467,3.38,-2.08,-0.383,L,2ÀÏ,0,1.50,0.2
±è»ó¼ö,2019,08-04,KT,L 3:5,0,0,3,3,0,0,0,0,0,0,0,1,15,0.260,0.000,0.000,3.29,0.56,0.028,,3ÀÏ,0,1.46,1.0
±è»ó¼ö,2019,08-11,µÎ»ê,L 7:12,0,0,5,4,2,0,0,0,1,0,0,1,16,0.266,0.600,1.100,3.21,0.56,0.008,,7ÀÏ,0,1.50,1.0
±è»ó¼ö,2019,08-13,@LG,L 7:8,0,0,3,3,0,0,0,0,0,0,0,2,16,0.261,0.000,0.000,3.14,0.56,0.107,,2ÀÏ,0,1.47,1.0
±è»ó¼ö,2019,08-15,NC,W 4:3,0,0,3,3,0,0,0,0,0,0,0,0,12,0.256,0.000,0.000,3.07,0.56,0.107,W,2ÀÏ,0,1.43,1.0
±è»ó¼ö,2019,08-16,NC,W 6:4,0,0,3,3,0,0,0,0,0,0,0,1,14,0.251,0.000,0.000,3.00,0.56,0.074,,1ÀÏ,0,1.40,1.0
±è»ó¼ö,2019,08-18,ÇÑÈ­,L 4:5,1,1,4,4,3,0,0,0,0,0,0,0,16,0.263,0.750,1.500,3.18,-1.42,-0.283,L,2ÀÏ,0,1.46,0.1
±è»ó¼ö,2019,08-21,@KT,W 8:1,0,0,1,1,0,0,0,0,0,0,0,1,4,0.262,0.000,0.000,3.15,0.47,0.025,,3ÀÏ,0,1.45,0.1
±è»ó¼ö,2019,08-22,KIA,D 5:5,0,0,4,2,0,0,0,0,2,0,0,0,26,0.259,0.500,0.500,3.09,0.16,0.056,,1ÀÏ,0,1.46,1.0
±è»ó¼ö,2019,08-29,·Ôµ¥,W 4:0,0,0,3,3,1,0,0,0,0,0,0,1,9,0.260,0.333,0.667,3.02,0.56,0.074,,7ÀÏ,0,1.45,1.0
±è»ó¼ö,2019,08-30,·Ôµ¥,W 5:2,0,0,3,3,0,0,0,0,0,0,0,0,8,0.256,0.000,0.000,2.96,0.56,0.046,,1ÀÏ,0,1.42,1.0
±è»ó¼ö,2019,09-01,@NC,L 2:4,2,2,6,5,2,2,0,0,1,1,0,1,22,0.259,0.500,1.300,3.26,-1.45,-0.320,L,2ÀÏ,0,1.45,1.0
±è»ó¼ö,2019,09-03,@µÎ»ê,W 5:2,0,0,4,3,0,0,0,0,1,0,0,1,17,0.255,0.250,0.250,3.20,0.56,0.108,,2ÀÏ,0,1.44,1.0
±è»ó¼ö,2019,09-11,@SK,W 4:2,0,0,3,3,0,0,0,0,0,0,0,2,14,0.251,0.000,0.000,3.14,0.56,0.108,,7+ÀÏ,0,1.41,1.0
±è»ó¼ö,2019,09-13,LG,L 1:4,0,0,3,3,0,0,0,0,0,0,0,0,14,0.247,0.000,0.000,3.08,0.56,0.107,,2ÀÏ,0,1.39,1.0
±è»ó¼ö,2019,09-14,@KT,L 2:3,1,1,3,2,2,0,0,0,1,0,0,0,13,0.255,1.000,2.000,3.25,-1.86,-0.264,L,1ÀÏ,0,1.44,0.0
