Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è¼º¹Î,2020,05-05,@KIA,W 11:2,0,0,3,3,0,0,0,0,0,0,0,1,15,0.000,0.000,0.000,0.00,0.56,0.003,,7+ÀÏ,0,0.00,1.0
±è¼º¹Î,2020,05-07,@KIA,L 5:8,2,2,4,4,2,0,0,1,0,0,0,0,19,0.286,0.500,1.750,10.80,-3.03,-0.316,,2ÀÏ,0,1.20,0.2
±è¼º¹Î,2020,05-22,@·Ôµ¥,L 7:9,0,0,5,4,1,0,0,0,1,0,0,0,18,0.273,0.400,0.650,6.75,0.48,0.009,,7+ÀÏ,0,1.50,1.0
±è¼º¹Î,2020,05-23,@·Ôµ¥,W 12:4,1,1,5,2,0,0,0,0,2,0,0,1,18,0.231,0.400,0.400,7.36,-0.45,0.000,,1ÀÏ,0,1.64,1.0
±è¼º¹Î,2020,05-26,@NC,L 2:7,3,3,6,3,1,0,0,1,1,0,1,1,23,0.250,0.600,1.933,11.57,-2.45,-0.054,,3ÀÏ,0,1.71,1.0
±è¼º¹Î,2020,05-27,@NC,L 3:10,0,0,3,3,0,0,0,0,0,0,0,2,13,0.211,0.000,0.000,9.53,0.56,0.000,,1ÀÏ,0,1.41,1.0
±è¼º¹Î,2020,05-30,KT,W 14:3,1,1,4,4,1,0,0,1,0,0,0,0,16,0.217,0.250,1.250,9.45,-0.45,0.000,,3ÀÏ,0,1.35,1.0
±è¼º¹Î,2020,06-02,@ÇÑÈ­,W 15:3,0,0,4,4,1,1,0,0,0,0,0,1,16,0.222,0.250,0.750,8.22,0.56,0.001,,3ÀÏ,0,1.30,1.0
±è¼º¹Î,2020,06-07,LG,L 1:8,5,3,8,8,5,0,0,0,0,0,0,0,30,0.314,0.625,1.250,10.80,-4.22,-0.049,,5ÀÏ,0,1.80,0.2
±è¼º¹Î,2020,08-14,@·Ôµ¥,L 1:5,2,2,7,4,2,1,0,0,2,1,0,2,25,0.333,0.571,1.321,11.57,-1.45,-0.068,,7+ÀÏ,0,2.04,1.0
±è¼º¹Î,2020,08-21,LG,L 3:7,1,1,4,4,2,1,0,0,0,0,0,2,15,0.349,0.500,1.250,11.32,-0.45,-0.003,,7ÀÏ,0,2.03,1.0
±è¼º¹Î,2020,09-11,@LG,W 8:2,0,0,5,4,1,1,0,0,1,0,0,2,19,0.340,0.400,0.900,10.32,0.56,0.007,,7+ÀÏ,0,2.03,1.0
±è¼º¹Î,2020,09-13,µÎ»ê,D 6:6,0,0,3,2,1,0,0,0,1,0,0,0,12,0.347,0.667,1.167,10.03,-0.69,-0.185,,2ÀÏ,0,2.14,0.1
±è¼º¹Î,2020,09-15,·Ôµ¥,L 5:8,0,0,2,2,0,0,0,0,0,0,0,1,11,0.333,0.000,0.000,9.49,0.97,0.013,,2ÀÏ,0,2.03,0.2
±è¼º¹Î,2020,09-20,@»ï¼º,L 6:14,3,3,6,6,4,0,0,0,0,0,0,0,18,0.368,0.667,1.333,11.08,-2.11,-0.023,,5ÀÏ,0,2.23,0.2
±è¼º¹Î,2020,09-23,@KIA,W 13:1,0,0,4,3,0,0,0,0,0,0,1,1,11,0.350,0.250,0.250,10.29,0.56,0.000,,3ÀÏ,0,2.07,1.0
±è¼º¹Î,2020,09-26,@µÎ»ê,L 0:4,0,0,3,3,1,0,0,0,0,0,0,1,14,0.349,0.333,0.667,9.82,-0.43,-0.022,,3ÀÏ,0,2.05,0.2
±è¼º¹Î,2020,09-27,@µÎ»ê,L 1:6,0,0,3,3,1,1,0,0,0,0,0,2,13,0.348,0.333,1.000,9.39,-1.03,-0.122,,1ÀÏ,0,2.02,0.2
±è¼º¹Î,2020,09-29,KIA,L 6:10,0,0,6,6,2,0,0,0,0,0,0,1,20,0.347,0.333,0.667,8.64,0.14,-0.004,,2ÀÏ,0,1.98,1.1
±è¼º¹Î,2020,10-01,KIA,L 1:3,0,0,2,1,1,0,0,0,0,0,0,0,7,0.356,1.000,2.000,8.47,-0.17,-0.012,,2ÀÏ,0,2.00,0.1
±è¼º¹Î,2020,10-03,@SK,L 3:9,0,0,5,3,1,0,0,0,1,1,0,0,9,0.355,0.500,0.833,8.00,-0.43,-0.010,,2ÀÏ,0,2.00,1.0
±è¼º¹Î,2020,10-11,@ÇÑÈ­,L 3:9,1,1,8,6,1,1,0,0,2,0,0,2,30,0.341,0.375,0.708,7.65,0.11,0.000,,7+ÀÏ,0,1.95,2.0
±è¼º¹Î,2020,10-16,µÎ»ê,W 7:4,0,0,3,3,0,0,0,0,0,0,0,0,13,0.329,0.000,0.000,7.29,0.56,0.041,W,5ÀÏ,0,1.86,1.0
±è¼º¹Î,2020,10-18,µÎ»ê,L 2:8,0,0,6,4,0,0,0,0,1,0,1,0,25,0.315,0.333,0.333,6.75,0.85,0.002,,2ÀÏ,0,1.76,1.2
±è¼º¹Î,2020,10-30,@µÎ»ê,L 0:2,0,0,3,3,0,0,0,0,0,0,0,1,13,0.304,0.000,0.000,6.46,0.56,0.014,,7+ÀÏ,0,1.69,1.0
±è¼º¹Î,2020,11-02,@LG,L 3:4,0,0,3,3,1,0,0,0,0,0,0,1,15,0.333,0.333,0.667,0.00,0.56,0.137,,3ÀÏ,0,1.00,1.0
