Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è¼¼Çö,2018,03-24,KT,L 4:5,0,0,4,4,1,0,0,0,0,0,0,1,11,0.250,0.250,0.500,0.00,0.56,0.038,,7+ÀÏ,0,1.00,1.0
±è¼¼Çö,2018,03-30,@LG,W 4:3,0,0,5,5,1,0,0,0,0,0,0,1,14,0.222,0.200,0.400,0.00,1.37,0.398,SV,6ÀÏ,0,0.86,1.1
±è¼¼Çö,2018,04-01,@LG,L 5:6,1,1,5,2,1,0,0,0,2,1,0,0,11,0.273,0.750,1.250,3.00,-0.91,-0.363,L,2ÀÏ,0,1.67,0.2
±è¼¼Çö,2018,04-04,@SK,W 9:6,0,0,5,4,1,0,0,0,1,0,0,2,20,0.267,0.400,0.650,2.25,0.56,0.041,SV,3ÀÏ,0,1.75,1.0
±è¼¼Çö,2018,04-07,³Ø¼¾,W 5:1,0,0,4,4,1,0,0,0,0,0,0,0,21,0.263,0.250,0.500,1.80,0.56,0.014,,3ÀÏ,0,1.60,1.0
±è¼¼Çö,2018,04-08,³Ø¼¾,W 4:3,0,0,4,4,1,0,1,0,0,0,0,2,20,0.261,0.250,1.000,1.50,0.56,0.162,SV,1ÀÏ,0,1.50,1.0
±è¼¼Çö,2018,04-13,·Ôµ¥,L 4:8,5,5,7,6,4,2,0,0,1,0,0,2,24,0.345,0.714,1.714,8.10,-2.87,-0.568,L,5ÀÏ,0,2.10,0.2
±è¼¼Çö,2018,04-17,LG,W 5:4,1,0,6,6,2,0,0,0,0,0,0,1,14,0.343,0.333,0.667,7.04,-0.45,-0.200,W,4ÀÏ,0,2.09,1.0
±è¼¼Çö,2018,04-18,LG,W 4:3,0,0,3,3,0,0,0,0,0,0,0,1,8,0.316,0.000,0.000,6.23,0.56,0.162,SV,1ÀÏ,0,1.85,1.0
±è¼¼Çö,2018,04-25,ÇÑÈ­,L 2:3,1,1,6,5,2,1,0,0,1,0,0,3,27,0.326,0.500,1.100,6.52,-0.45,-0.300,L,7ÀÏ,0,1.97,1.0
