Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è½ÂÈ¸,2019,03-23,ÇÑÈ­,W 5:4,0,0,3,2,0,0,0,0,1,0,0,0,17,0.000,0.333,0.333,0.00,0.23,0.030,,7+ÀÏ,0,1.50,0.2
±è½ÂÈ¸,2019,03-26,Å°¿ò,W 7:2,0,0,4,4,1,0,0,0,0,0,0,0,18,0.167,0.250,0.500,0.00,-0.05,0.009,,3ÀÏ,0,1.20,1.0
±è½ÂÈ¸,2019,03-27,Å°¿ò,W 3:2,0,0,5,4,0,0,0,0,1,0,0,2,21,0.100,0.200,0.200,0.00,0.54,0.106,,1ÀÏ,0,1.00,1.1
±è½ÂÈ¸,2019,03-29,@»ï¼º,W 3:2,0,0,3,3,2,0,0,0,0,0,0,1,12,0.231,0.667,1.333,0.00,-0.42,-0.063,,2ÀÏ,0,1.50,0.1
±è½ÂÈ¸,2019,03-30,@»ï¼º,W 4:2,0,0,2,1,1,0,0,0,0,0,0,0,10,0.286,0.500,1.500,0.00,-0.62,-0.208,,1ÀÏ,0,1.64,0.1
±è½ÂÈ¸,2019,04-06,NC,L 5:6,0,0,3,3,0,0,0,0,0,0,0,0,6,0.235,0.000,0.000,0.00,0.56,0.038,,7ÀÏ,0,1.29,1.0
±è½ÂÈ¸,2019,04-07,NC,L 3:5,1,1,6,3,1,0,0,0,2,0,0,1,34,0.250,0.600,0.933,1.59,-0.45,-0.071,,1ÀÏ,0,1.59,1.0
±è½ÂÈ¸,2019,04-11,@·Ôµ¥,W 5:1,0,0,4,4,2,1,0,0,0,0,0,0,9,0.292,0.500,1.250,1.42,-0.08,-0.002,,4ÀÏ,0,1.74,0.2
±è½ÂÈ¸,2019,04-12,@LG,L 0:3,0,0,3,3,0,0,0,0,0,0,0,0,12,0.259,0.000,0.000,1.23,0.56,0.006,,1ÀÏ,0,1.50,1.0
±è½ÂÈ¸,2019,04-13,@LG,L 2:5,0,0,3,3,1,0,0,0,0,0,0,0,11,0.267,0.333,0.667,1.13,-0.43,-0.026,,1ÀÏ,0,1.50,0.2
