Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è½ÃÇö,2017,04-20,@µÎ»ê,L 2:4,0,0,2,1,0,0,0,0,1,0,0,1,13,0.000,0.500,0.500,0.00,0.47,0.012,,7+ÀÏ,0,3.00,0.1
±è½ÃÇö,2017,04-21,NC,D 4:4,0,0,7,7,1,0,0,0,0,0,0,2,23,0.125,0.143,0.286,0.00,1.11,0.275,,1ÀÏ,0,0.86,2.0
±è½ÃÇö,2017,04-22,NC,L 6:14,3,3,6,6,4,2,1,0,0,0,0,0,17,0.357,0.667,2.000,8.10,-2.45,-0.025,,1ÀÏ,0,1.80,1.0
±è½ÃÇö,2017,04-25,@KIA,L 3:11,4,4,8,5,3,1,0,1,2,0,1,1,38,0.421,0.750,2.150,15.75,-3.91,-0.054,,3ÀÏ,0,2.75,0.2
±è½ÃÇö,2017,05-06,@NC,W 12:1,0,0,3,3,1,0,0,0,0,0,0,0,7,0.409,0.333,0.667,12.60,0.56,0.000,,7+ÀÏ,0,2.40,1.0
±è½ÃÇö,2017,05-13,³Ø¼¾,L 4:5,0,0,4,4,2,0,0,0,0,0,0,1,13,0.423,0.500,1.000,10.50,0.56,0.055,,7ÀÏ,0,2.33,1.0
±è½ÃÇö,2017,05-23,kt,L 3:12,2,2,11,8,3,1,0,0,1,0,1,1,35,0.412,0.455,0.955,10.13,-0.89,0.000,,7+ÀÏ,0,2.25,2.0
±è½ÃÇö,2017,05-26,@³Ø¼¾,L 3:18,3,3,11,8,3,1,0,0,2,0,0,0,34,0.405,0.455,0.955,10.80,-2.26,0.000,,3ÀÏ,0,2.30,2.0
±è½ÃÇö,2017,08-11,@ÇÑÈ­,L 3:8,1,1,6,4,2,0,0,0,1,0,0,0,25,0.413,0.500,1.000,10.64,-0.45,-0.006,,7+ÀÏ,0,2.36,1.0
±è½ÃÇö,2017,08-13,·Ôµ¥,L 7:9,0,0,4,1,0,0,0,0,3,0,0,0,16,0.404,0.750,0.750,10.03,0.09,0.001,,2ÀÏ,0,2.49,0.2
±è½ÃÇö,2017,09-03,@µÎ»ê,L 1:7,0,0,4,4,1,0,0,0,0,0,0,1,17,0.392,0.250,0.500,9.24,0.56,0.001,,7+ÀÏ,0,2.37,1.0
±è½ÃÇö,2017,09-13,ÇÑÈ­,W 13:5,1,1,5,4,1,0,0,1,1,0,0,0,20,0.382,0.400,1.400,9.00,-0.33,0.000,,7+ÀÏ,0,2.29,1.1
±è½ÃÇö,2017,09-16,µÎ»ê,L 5:9,0,0,4,4,1,0,0,0,0,0,0,2,13,0.373,0.250,0.500,8.40,0.56,0.002,,3ÀÏ,0,2.20,1.0
±è½ÃÇö,2017,09-17,µÎ»ê,L 8:21,4,4,15,14,5,0,0,2,1,0,0,4,48,0.370,0.400,1.186,8.84,-2.08,0.000,,1ÀÏ,0,2.13,3.1
±è½ÃÇö,2017,09-22,LG,L 4:8,0,0,6,5,2,0,0,0,1,0,0,0,26,0.372,0.500,0.900,8.38,-0.17,-0.028,,5ÀÏ,0,2.17,1.0
±è½ÃÇö,2017,09-27,NC,L 1:11,0,0,5,2,0,0,0,0,2,0,0,2,23,0.363,0.500,0.500,7.97,0.56,0.024,,5ÀÏ,0,2.16,1.0
±è½ÃÇö,2017,09-30,@LG,L 3:4,0,0,3,3,0,0,0,0,0,0,0,1,12,0.349,0.000,0.000,7.59,0.56,0.043,,3ÀÏ,0,2.06,1.0
