Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±è¿µ±Ô,2020,05-10,LG,L 8:10,3,3,22,22,8,2,0,2,0,0,0,4,83,0.364,0.364,1.091,5.40,-0.23,0.038,,7+ÀÏ,1,1.60,5.0
±è¿µ±Ô,2020,05-16,@SK,W 2:1,1,1,20,20,4,0,0,1,0,0,0,5,97,0.286,0.200,0.550,3.27,2.33,0.172,,6ÀÏ,1,1.09,6.0
±è¿µ±Ô,2020,05-22,ÇÑÈ­,L 3:5,5,3,22,21,6,1,0,3,1,0,0,3,88,0.286,0.318,1.080,3.94,-2.23,-0.311,L,6ÀÏ,1,1.19,5.0
±è¿µ±Ô,2020,05-28,Å°¿ò,W 9:6,4,4,13,13,7,0,0,1,0,0,0,2,58,0.329,0.539,1.308,5.50,-2.89,-0.314,,6ÀÏ,1,1.44,2.0
±è¿µ±Ô,2020,06-21,ÇÑÈ­,W 9:7,0,0,10,9,0,0,0,0,1,0,0,1,37,0.294,0.100,0.100,4.71,3.01,0.314,,7+ÀÏ,0,1.29,3.0
±è¿µ±Ô,2020,06-25,@KT,L 6:19,0,0,4,4,1,0,0,0,0,0,0,0,14,0.292,0.250,0.500,4.57,-1.35,-0.100,,4ÀÏ,0,1.29,0.2
±è¿µ±Ô,2020,06-27,@µÎ»ê,L 3:12,7,7,10,6,5,0,0,1,2,0,0,0,32,0.326,0.700,2.033,7.15,-6.81,-0.093,,2ÀÏ,0,1.54,1.0
±è¿µ±Ô,2020,07-03,KIA,L 2:8,1,1,5,5,2,1,0,0,0,0,0,1,19,0.330,0.400,1.000,7.23,-0.45,-0.003,,6ÀÏ,0,1.56,1.0
±è¿µ±Ô,2020,07-09,@SK,W 8:2,0,0,4,4,1,0,0,0,0,0,0,1,13,0.327,0.250,0.500,6.93,0.56,0.003,,6ÀÏ,0,1.54,1.0
±è¿µ±Ô,2020,07-11,@LG,D 6:6,2,2,6,6,4,1,0,0,0,0,0,1,23,0.345,0.667,1.500,7.46,-2.72,-0.257,,2ÀÏ,0,1.66,0.2
±è¿µ±Ô,2020,08-29,SK,W 9:5,0,0,5,5,2,0,0,0,0,0,0,0,15,0.348,0.400,0.800,7.18,0.56,0.003,,7+ÀÏ,0,1.67,1.0
±è¿µ±Ô,2020,09-03,@LG,L 5:6,3,2,20,19,6,1,0,0,1,0,0,5,79,0.343,0.350,0.718,6.61,0.28,0.003,,5ÀÏ,1,1.63,5.0
±è¿µ±Ô,2020,09-10,KT,W 13:8,3,3,10,8,3,0,1,1,1,0,0,0,33,0.345,0.400,1.400,7.02,-2.29,-0.223,,7ÀÏ,1,1.65,2.0
±è¿µ±Ô,2020,09-16,@µÎ»ê,W 5:3,3,3,20,19,5,1,0,0,0,0,1,2,80,0.335,0.300,0.616,6.81,-0.23,-0.118,W,6ÀÏ,1,1.57,5.0
±è¿µ±Ô,2020,09-22,»ï¼º,W 3:2,1,1,21,21,3,0,0,0,0,0,0,5,87,0.313,0.143,0.286,6.09,2.33,0.197,,6ÀÏ,1,1.42,6.0
±è¿µ±Ô,2020,09-30,SK,W 12:3,2,0,23,22,5,1,0,0,0,0,1,9,76,0.304,0.261,0.534,5.36,1.33,-0.075,W,7+ÀÏ,1,1.35,6.0
±è¿µ±Ô,2020,10-06,@Å°¿ò,L 1:2,1,1,22,21,4,0,0,0,1,0,0,5,82,0.293,0.227,0.418,4.95,2.33,0.201,,6ÀÏ,1,1.30,6.0
±è¿µ±Ô,2020,10-11,@LG,L 3:7,1,1,20,17,5,0,0,1,3,0,0,4,99,0.293,0.400,0.871,4.77,0.20,-0.044,,5ÀÏ,1,1.34,4.0
±è¿µ±Ô,2020,10-17,·Ôµ¥,W 4:3,3,3,20,17,4,0,1,1,2,0,0,4,86,0.290,0.316,0.845,4.85,-0.48,-0.150,,6ÀÏ,1,1.34,4.2
±è¿µ±Ô,2020,10-27,»ï¼º,L 2:12,7,6,19,16,8,1,0,1,2,0,0,3,76,0.302,0.526,1.276,5.45,-5.72,-0.459,L,7+ÀÏ,1,1.43,2.2
±è¿µ±Ô,2020,11-20,@µÎ»ê,L 6:7,1,0,10,10,2,0,0,0,0,0,0,1,36,0.200,0.200,0.400,0.00,-0.09,-0.079,,7+ÀÏ,0,0.75,2.2
