Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
김원중,2018,03-28,@두산,L 5:6,3,3,23,18,2,0,0,1,4,0,1,5,96,0.111,0.304,0.582,5.40,-0.23,-0.003,,7+일,1,1.20,5.0
김원중,2018,04-03,@한화,L 11:17,7,7,16,12,7,2,0,1,3,0,0,1,65,0.300,0.625,1.625,12.86,-5.29,-0.371,L,6일,1,2.29,2.0
김원중,2018,04-10,넥센,W 4:3,2,2,21,16,3,0,0,1,5,0,0,6,96,0.261,0.381,0.756,9.00,0.78,0.060,,7일,1,2.00,5.0
김원중,2018,04-18,삼성,W 9:7,5,5,18,17,9,2,0,2,1,0,0,5,86,0.333,0.556,1.556,9.98,-4.02,-0.309,,7+일,1,2.22,3.1
김원중,2018,04-24,@KT,W 14:8,5,5,27,24,5,1,0,2,3,0,0,10,105,0.299,0.296,0.796,9.28,-1.67,0.133,W,6일,1,1.97,6.0
김원중,2018,04-29,한화,W 4:3,2,2,21,18,8,2,0,0,3,0,0,5,90,0.324,0.524,1.079,8.53,-1.28,-0.208,,5일,1,2.09,4.0
김원중,2018,05-05,@SK,W 8:1,1,1,25,22,5,2,0,0,2,0,0,9,95,0.307,0.292,0.610,7.18,2.33,0.164,,6일,1,1.91,6.0
김원중,2018,05-13,KT,W 3:1,1,1,21,18,3,0,0,1,3,0,0,6,96,0.290,0.286,0.619,6.32,2.21,0.244,W,7+일,1,1.78,5.2
김원중,2018,05-19,두산,W 15:2,2,2,27,24,7,1,0,0,2,0,1,5,103,0.290,0.370,0.704,5.86,1.33,0.109,W,6일,1,1.74,6.0
김원중,2018,05-25,@넥센,L 2:13,7,7,23,19,9,1,1,3,2,1,2,3,89,0.309,0.565,1.671,6.75,-5.60,-0.412,L,6일,1,1.84,3.2
김원중,2018,05-31,LG,L 10:11,5,5,16,12,5,1,0,1,4,0,0,3,58,0.315,0.563,1.313,7.25,-3.34,-0.258,,6일,1,1.91,3.0
김원중,2018,06-06,@NC,W 10:5,2,2,24,19,5,2,0,0,4,0,1,4,88,0.311,0.417,0.785,6.91,0.78,0.050,W,6일,1,1.90,5.0
김원중,2018,06-13,삼성,W 10:9,4,4,24,22,4,1,0,1,2,0,0,5,96,0.299,0.250,0.614,6.82,-0.67,-0.094,,7일,1,1.81,6.0
김원중,2018,06-19,@KT,W 9:7,6,6,26,24,8,1,0,1,2,0,0,5,103,0.302,0.385,0.885,7.06,-2.79,-0.165,,6일,1,1.81,5.2
김원중,2018,06-24,@LG,D 2:2,2,1,25,24,5,0,0,0,1,0,0,8,101,0.294,0.240,0.448,6.56,1.64,0.056,,5일,1,1.73,6.1
김원중,2018,06-30,@한화,L 5:6,2,2,21,19,5,1,0,0,2,0,0,6,96,0.292,0.333,0.649,6.37,0.78,0.093,,6일,1,1.71,5.0
김원중,2018,07-06,KT,W 11:9,5,5,17,11,6,0,1,0,4,0,0,3,67,0.301,0.625,1.352,6.75,-4.32,-0.418,,6일,1,1.79,2.1
김원중,2018,07-12,@삼성,L 4:8,5,4,21,18,7,0,0,0,2,0,0,2,86,0.306,0.450,0.839,6.86,-2.18,-0.310,L,6일,1,1.81,4.0
김원중,2018,07-19,@두산,L 1:7,3,3,28,26,9,2,0,1,1,0,0,6,106,0.309,0.357,0.896,6.63,0.89,-0.048,L,7일,1,1.78,7.0
김원중,2018,07-25,NC,L 6:9,8,8,18,17,8,3,0,1,0,0,1,3,58,0.316,0.500,1.324,7.18,-6.34,-0.528,L,6일,1,1.81,3.0
김원중,2018,07-31,@KIA,L 1:4,4,4,24,20,5,2,0,1,3,0,1,4,95,0.313,0.375,0.875,7.18,-1.23,-0.216,L,6일,1,1.80,5.0
김원중,2018,08-07,LG,W 4:3,2,2,23,20,5,1,0,1,3,0,0,7,92,0.310,0.348,0.798,7.01,0.78,0.053,W,7일,1,1.79,5.0
김원중,2018,08-12,@두산,W 12:11,8,8,25,24,10,1,0,4,1,0,0,4,96,0.315,0.440,1.398,7.37,-5.34,-0.093,,5일,1,1.81,4.2
김원중,2018,09-07,SK,L 0:3,2,2,28,24,2,1,0,0,2,0,1,5,105,0.303,0.185,0.310,7.06,2.72,0.207,L,7+일,1,1.73,7.1
김원중,2018,09-14,KIA,L 5:9,3,3,27,22,7,1,0,1,4,0,1,5,93,0.304,0.444,0.944,6.97,0.03,0.043,,7일,1,1.75,5.1
김원중,2018,09-20,KT,W 11:10,5,5,25,22,7,2,0,2,3,0,0,4,106,0.305,0.400,1.082,7.05,-2.23,-0.151,W,6일,1,1.76,5.0
김원중,2018,09-26,NC,W 10:7,4,4,27,23,3,1,0,1,3,0,1,3,109,0.297,0.259,0.564,6.95,-0.12,-0.024,W,6일,1,1.71,7.0
김원중,2018,10-02,@SK,W 8:6,5,5,14,11,5,1,0,2,3,0,0,1,56,0.300,0.571,1.662,7.18,-3.52,-0.295,,6일,1,1.74,2.0
김원중,2018,10-07,@NC,W 8:2,2,2,25,21,6,3,0,0,3,0,1,2,97,0.300,0.400,0.829,7.05,0.78,0.120,W,5일,1,1.75,5.0
김원중,2018,10-12,@KIA,L 4:6,3,2,21,19,3,2,0,0,2,0,0,2,88,0.295,0.238,0.501,6.94,-0.23,-0.117,,5일,1,1.72,5.0
