Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±Ë¿±µø,2017,04-02,@ªÔº∫,L 3:16,4,4,15,13,4,0,0,2,2,0,0,1,75,0.308,0.400,1.169,12.00,-2.34,-0.247,L,7+¿œ,1,2.00,3.0
±Ë¿±µø,2017,04-11,@µŒªÍ,L 4:16,0,0,3,3,0,0,0,0,0,0,0,0,15,0.250,0.000,0.000,9.00,0.56,0.000,,7+¿œ,0,1.50,1.0
±Ë¿±µø,2017,04-12,@µŒªÍ,W 8:4,0,0,4,4,0,0,0,0,0,0,0,2,18,0.200,0.000,0.000,6.75,0.81,0.076,,1¿œ,0,1.13,1.1
±Ë¿±µø,2017,04-13,@µŒªÍ,W 4:3,0,0,1,1,0,0,0,0,0,0,0,0,3,0.190,0.000,0.000,6.35,0.47,0.171,SV,1¿œ,0,1.06,0.1
±Ë¿±µø,2017,04-15,≥ÿºæ,W 5:2,0,0,5,5,2,0,0,0,0,0,0,1,18,0.231,0.400,0.800,5.40,0.56,0.033,SV,2¿œ,0,1.20,1.0
±Ë¿±µø,2017,04-16,≥ÿºæ,W 7:6,1,1,4,1,1,0,0,0,1,0,1,0,18,0.259,0.750,1.750,6.43,-1.24,-0.128,,1¿œ,0,1.43,0.1
±Ë¿±µø,2017,04-21,@LG,L 2:6,0,0,4,4,2,0,0,0,0,0,0,1,20,0.290,0.500,1.000,5.87,-1.35,-0.066,,5¿œ,0,1.57,0.2
±Ë¿±µø,2017,04-23,@LG,L 1:7,0,0,9,7,4,0,0,0,1,0,0,1,34,0.342,0.556,1.127,4.82,0.02,-0.010,,2¿œ,0,1.82,1.2
±Ë¿±µø,2017,04-26,ªÔº∫,W 7:0,0,0,4,4,1,0,0,0,0,0,0,0,15,0.333,0.250,0.500,4.35,0.56,0.001,,3¿œ,0,1.74,1.0
±Ë¿±µø,2017,04-29,NC,L 6:8,0,0,14,14,1,0,0,0,0,0,0,5,54,0.268,0.071,0.143,3.07,2.76,0.355,,3¿œ,0,1.30,4.1
±Ë¿±µø,2017,05-02,@≥ÿºæ,W 9:3,0,0,6,6,1,0,0,0,0,0,0,1,17,0.258,0.167,0.333,2.76,1.53,0.063,SV,3¿œ,0,1.22,1.2
±Ë¿±µø,2017,05-03,@≥ÿºæ,W 2:1,0,0,6,6,2,0,0,0,0,0,0,2,17,0.265,0.333,0.667,2.55,0.02,0.195,SV,1¿œ,0,1.25,1.1
±Ë¿±µø,2017,05-05,@∑‘µ•,W 5:3,1,1,12,7,1,0,0,0,4,2,0,2,54,0.253,0.455,0.597,2.70,0.37,0.024,,2¿œ,0,1.35,2.1
±Ë¿±µø,2017,05-07,@∑‘µ•,W 5:3,0,0,6,6,0,0,0,0,0,0,0,1,19,0.235,0.000,0.000,2.45,1.11,0.132,W,2¿œ,0,1.23,2.0
±Ë¿±µø,2017,05-12,@SK,L 2:8,1,1,2,2,1,0,0,1,0,0,0,1,5,0.241,0.500,2.500,2.82,-2.37,-0.310,,5¿œ,0,1.25,0.1
±Ë¿±µø,2017,05-13,@SK,W 5:3,0,0,4,3,0,0,0,0,1,0,0,0,13,0.233,0.250,0.250,2.70,0.56,0.091,SV,1¿œ,0,1.24,1.0
±Ë¿±µø,2017,05-14,@SK,L 3:4,0,0,3,2,1,0,0,0,1,0,0,0,22,0.239,0.667,1.167,2.63,0.30,0.056,,1¿œ,0,1.29,0.2
±Ë¿±µø,2017,05-16,LG,W 3:2,0,0,7,6,0,0,0,0,1,0,0,3,28,0.223,0.143,0.143,2.36,1.68,0.383,,2¿œ,0,1.20,2.2
±Ë¿±µø,2017,05-19,µŒªÍ,L 6:7,0,0,5,5,2,0,0,0,0,0,0,0,15,0.232,0.400,0.800,2.28,0.56,0.023,,3¿œ,0,1.23,1.0
±Ë¿±µø,2017,05-21,µŒªÍ,L 3:7,2,2,6,5,2,1,0,1,1,0,0,1,29,0.240,0.500,1.700,2.83,-2.54,-0.117,,2¿œ,0,1.29,1.0
±Ë¿±µø,2017,05-25,@«—»≠,W 6:4,0,0,4,3,0,0,0,0,1,0,0,3,24,0.234,0.250,0.250,2.73,0.56,0.093,,4¿œ,0,1.28,1.0
±Ë¿±µø,2017,05-28,∑‘µ•,W 8:4,1,1,9,7,3,1,0,0,2,0,0,1,37,0.246,0.556,1.127,2.87,-0.14,-0.084,,3¿œ,0,1.37,1.2
±Ë¿±µø,2017,05-30,@NC,W 9:7,2,2,3,1,1,1,0,0,1,0,0,0,9,0.252,1.000,3.000,3.41,-1.17,-0.221,,2¿œ,0,1.42,0.1
±Ë¿±µø,2017,05-31,@NC,W 10:2,0,0,3,3,0,0,0,0,0,0,0,1,20,0.246,0.000,0.000,3.31,1.19,0.034,,1¿œ,0,1.38,1.0
