Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±Ë¿Á¿±,2019,03-24,@SK,L 3:6,0,0,2,2,0,0,0,0,0,0,0,0,9,0.000,0.000,0.000,0.00,0.30,0.004,,7+¿œ,0,0.00,0.2
±Ë¿Á¿±,2019,03-26,@NC,L 8:9,1,1,9,6,2,0,0,1,2,2,0,2,28,0.250,0.500,1.333,3.86,-0.01,-0.198,,2¿œ,0,1.71,1.2
±Ë¿Á¿±,2019,03-29,KIA,W 6:3,0,0,3,3,0,0,0,0,0,0,0,3,13,0.182,0.000,0.000,2.70,0.56,0.033,SV,3¿œ,0,1.20,1.0
±Ë¿Á¿±,2019,03-31,KIA,L 2:4,0,0,1,1,0,0,0,0,0,0,0,0,3,0.167,0.000,0.000,2.25,0.97,0.028,,2¿œ,0,1.00,0.2
±Ë¿Á¿±,2019,04-06,LG,W 2:1,0,0,5,4,0,0,0,0,1,0,0,0,31,0.125,0.200,0.200,1.59,0.85,0.228,SV,6¿œ,0,0.88,1.2
±Ë¿Á¿±,2019,04-07,LG,W 4:3,0,0,3,3,0,0,0,0,0,0,0,0,15,0.105,0.000,0.000,1.35,0.56,0.162,SV,1¿œ,0,0.75,1.0
±Ë¿Á¿±,2019,04-13,@ªÔº∫,W 5:3,0,0,4,4,0,0,0,0,0,0,0,2,19,0.087,0.000,0.000,1.13,0.81,0.134,SV,6¿œ,0,0.63,1.1
±Ë¿Á¿±,2019,04-16,«—»≠,W 4:2,0,0,3,3,0,0,0,0,0,0,0,1,12,0.077,0.000,0.000,1.00,0.56,0.074,SV,3¿œ,0,0.56,1.0
±Ë¿Á¿±,2019,04-18,«—»≠,W 6:5,0,0,6,5,0,0,0,0,1,0,0,3,24,0.065,0.167,0.167,0.84,1.53,0.338,W,2¿œ,0,0.56,1.2
±Ë¿Á¿±,2019,04-19,@∑‘µ•,W 6:5,0,0,3,2,0,0,0,0,1,0,0,1,11,0.061,0.333,0.333,0.77,0.56,0.200,SV,1¿œ,0,0.60,1.0
±Ë¿Á¿±,2019,04-20,@∑‘µ•,L 4:5,2,2,5,4,1,0,0,1,1,0,0,1,20,0.081,0.400,1.400,2.13,-1.45,-0.409,,1¿œ,0,0.71,1.0
±Ë¿Á¿±,2019,04-23,NC,L 3:4,2,1,7,6,3,1,0,0,1,0,0,0,25,0.140,0.571,1.238,2.63,-1.45,-0.638,L,3¿œ,0,0.95,1.0
±Ë¿Á¿±,2019,04-27,SK,L 1:2,0,0,3,3,0,0,0,0,0,0,0,2,17,0.130,0.000,0.000,2.45,0.56,0.052,,4¿œ,0,0.89,1.0
±Ë¿Á¿±,2019,05-11,≈∞øÚ,L 2:6,2,2,2,2,2,0,0,1,0,0,0,0,8,0.167,1.000,3.500,3.68,-2.00,-0.059,,7+¿œ,0,1.02,0.0
±Ë¿Á¿±,2019,07-27,LG,L 2:5,1,1,4,2,1,0,0,0,0,0,0,0,17,0.180,0.333,0.833,4.02,-0.45,-0.014,,7+¿œ,0,1.02,1.0
±Ë¿Á¿±,2019,07-28,LG,L 1:10,0,0,3,3,0,0,0,0,0,0,0,0,7,0.170,0.000,0.000,3.78,0.56,0.015,,1¿œ,0,0.96,1.0
±Ë¿Á¿±,2019,07-30,«—»≠,W 3:2,0,0,2,1,0,0,0,0,0,0,1,0,12,0.167,0.500,0.500,3.71,0.54,0.081,,2¿œ,0,0.94,0.1
±Ë¿Á¿±,2019,08-01,«—»≠,L 1:3,0,0,4,4,1,0,0,0,0,0,0,1,17,0.172,0.250,0.500,3.50,0.77,0.031,,2¿œ,0,0.94,1.0
±Ë¿Á¿±,2019,08-03,@≈∞øÚ,W 7:1,0,0,3,3,0,0,0,0,0,0,0,0,6,0.164,0.000,0.000,3.32,0.56,0.007,,2¿œ,0,0.89,1.0
±Ë¿Á¿±,2019,08-04,@≈∞øÚ,W 5:3,0,0,4,4,0,0,0,0,0,0,0,1,15,0.154,0.000,0.000,3.10,0.81,0.127,,1¿œ,0,0.84,1.1
±Ë¿Á¿±,2019,08-06,@SK,W 3:0,0,0,5,5,0,0,0,0,0,0,0,1,20,0.143,0.000,0.000,2.86,1.13,0.200,,2¿œ,0,0.77,1.2
±Ë¿Á¿±,2019,08-10,«—»≠,W 5:4,0,0,4,4,1,0,0,0,0,0,0,1,17,0.149,0.250,0.500,2.74,0.56,0.152,,4¿œ,0,0.78,1.0
±Ë¿Á¿±,2019,08-11,«—»≠,L 4:6,0,0,7,7,1,0,0,0,0,0,0,2,21,0.148,0.143,0.286,2.52,1.11,0.072,,1¿œ,0,0.76,2.0
±Ë¿Á¿±,2019,08-13,@∑‘µ•,L 5:6,2,2,6,6,3,1,0,0,0,0,0,1,22,0.172,0.500,1.167,3.12,-1.45,-0.278,L,2¿œ,0,0.85,1.0
±Ë¿Á¿±,2019,08-17,@KIA,W 4:3,0,0,7,6,1,0,0,0,0,0,0,1,19,0.172,0.167,0.333,2.89,1.11,0.090,,4¿œ,0,0.82,2.0
