Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
김종수,2020,05-16,롯데,L 1:5,0,0,3,3,1,0,0,0,0,0,0,0,7,0.333,0.333,0.667,0.00,0.30,0.002,,7+일,0,1.50,0.2
김종수,2020,05-19,@KT,L 11:13,0,0,4,4,1,0,1,0,0,0,0,1,14,0.286,0.250,1.000,0.00,0.56,0.012,,3일,0,1.20,1.0
김종수,2020,05-23,@NC,L 0:3,1,1,3,3,2,1,0,0,0,0,0,0,17,0.400,0.667,1.667,4.50,-1.17,-0.036,,4일,0,2.00,0.1
김종수,2020,05-27,LG,L 4:15,4,4,13,11,5,0,1,2,2,0,0,1,45,0.429,0.539,1.720,11.25,-3.49,-0.091,,4일,0,2.75,2.0
김종수,2020,06-28,KT,L 4:8,0,0,3,3,0,0,0,0,0,0,0,0,6,0.375,0.000,0.000,9.00,0.56,0.004,,7+일,0,2.20,1.0
김종수,2020,07-04,@두산,W 6:2,0,0,4,4,0,0,0,0,0,0,0,0,15,0.321,0.000,0.000,7.11,0.81,0.030,,6일,0,1.74,1.1
김종수,2020,07-05,@두산,L 4:7,2,2,5,5,2,1,0,0,0,0,0,0,18,0.333,0.400,1.000,8.59,-0.45,-0.059,,1일,0,1.77,1.0
김종수,2020,07-07,롯데,W 7:6,1,1,4,4,1,0,0,1,0,0,0,3,21,0.324,0.250,1.250,8.64,-0.02,0.048,,2일,0,1.68,1.0
김종수,2020,07-09,롯데,L 3:5,1,1,3,2,1,0,0,0,0,0,0,0,6,0.333,0.500,1.000,9.00,-0.05,-0.004,,2일,0,1.67,0.2
김종수,2020,07-10,SK,W 6:5,0,0,5,5,1,0,0,0,0,0,0,2,18,0.318,0.200,0.400,7.84,0.90,0.087,,1일,0,1.55,1.1
김종수,2020,07-13,SK,W 4:2,0,0,5,4,0,0,0,0,1,0,0,1,25,0.292,0.200,0.200,6.94,1.09,0.217,,3일,0,1.46,1.1
김종수,2020,07-15,@KT,W 7:3,0,0,2,2,0,0,0,0,0,0,0,1,8,0.280,0.000,0.000,6.57,0.97,0.023,,2일,0,1.38,0.2
김종수,2020,07-18,@LG,L 1:3,1,0,5,5,2,0,0,0,0,0,0,0,15,0.291,0.400,0.800,6.08,-0.45,-0.027,,3일,0,1.43,1.0
김종수,2020,07-19,@LG,L 2:6,0,0,3,2,1,0,0,0,1,0,0,0,15,0.298,0.667,1.167,5.93,-0.48,-0.007,,1일,0,1.54,0.1
김종수,2020,07-22,KIA,L 1:2,0,0,4,3,1,0,0,0,0,0,0,1,18,0.300,0.333,0.667,5.52,0.56,0.038,,3일,0,1.50,1.0
김종수,2020,07-26,SK,L 4:7,1,1,5,4,2,1,0,0,0,0,1,0,28,0.313,0.600,1.350,5.87,-2.03,-0.315,,4일,0,1.57,0.2
김종수,2020,07-29,@삼성,W 12:7,0,0,4,4,1,0,0,0,0,0,0,1,13,0.309,0.250,0.500,5.51,0.56,0.028,,3일,0,1.53,1.0
김종수,2020,07-30,@삼성,L 1:2,0,0,4,4,0,0,0,0,0,0,0,1,15,0.292,0.000,0.000,5.19,0.56,0.107,,1일,0,1.44,1.0
김종수,2020,08-01,@LG,L 6:9,0,0,1,1,0,0,0,0,0,0,0,0,6,0.288,0.000,0.000,5.09,0.34,0.002,,2일,0,1.42,0.1
김종수,2020,08-05,NC,W 8:5,1,1,3,2,1,0,1,0,1,0,0,0,12,0.293,0.667,2.167,5.50,-1.75,-0.143,W,4일,0,1.50,0.1
김종수,2020,08-09,KT,L 3:6,1,1,5,5,2,2,0,0,0,0,0,1,23,0.300,0.400,1.200,5.68,-0.45,-0.033,,4일,0,1.53,1.0
