Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
辫林茄,2019,06-28,@伙己,L 3:9,3,3,7,6,3,1,1,0,1,0,0,0,26,0.500,0.571,1.571,27.00,-2.45,-0.025,,7+老,0,4.00,1.0
辫林茄,2019,07-02,吩单,W 10:1,0,0,3,3,0,0,0,0,0,0,0,0,13,0.333,0.000,0.000,13.50,0.56,0.000,,4老,0,2.00,1.0
辫林茄,2019,07-04,吩单,W 9:7,0,0,5,3,0,0,0,0,0,0,1,2,14,0.250,0.250,0.250,8.10,1.37,0.060,W,2老,0,1.20,1.1
辫林茄,2019,07-05,@滴魂,W 8:6,0,0,3,3,0,0,0,0,0,0,0,1,10,0.200,0.000,0.000,6.23,0.56,0.051,,1老,0,0.92,1.0
辫林茄,2019,07-09,@茄拳,L 0:1,1,1,3,2,2,0,0,0,0,0,0,0,6,0.294,1.000,2.000,7.71,-1.02,-0.363,L,4老,0,1.29,0.1
辫林茄,2019,07-18,LG,L 5:12,0,0,4,4,1,0,0,0,0,0,0,2,12,0.286,0.250,0.500,6.35,0.56,0.000,,7+老,0,1.24,1.0
辫林茄,2019,07-30,KIA,L 0:2,0,0,9,7,1,1,0,0,2,1,0,2,36,0.250,0.333,0.619,4.70,1.11,0.046,,7+老,0,1.30,2.0
辫林茄,2019,08-06,KT,L 0:3,0,0,4,4,1,0,0,0,0,0,0,2,11,0.250,0.250,0.500,4.15,0.56,0.008,,7老,0,1.27,1.0
辫林茄,2019,08-17,@NC,L 0:9,0,0,5,3,0,0,0,0,2,0,0,0,26,0.229,0.400,0.400,3.72,0.56,0.000,,7+老,0,1.34,1.0
辫林茄,2019,08-22,茄拳,W 8:6,3,3,9,8,4,2,0,0,1,0,0,1,33,0.279,0.556,1.306,5.73,-1.86,-0.192,,5老,1,1.64,1.1
辫林茄,2019,09-20,虐框,L 1:5,0,0,4,2,0,0,0,0,1,0,1,0,25,0.267,0.500,0.500,5.25,0.56,0.004,,7+老,0,1.58,1.0
