Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±èÁø¿µ,2020,05-06,@SK,L 2:5,0,0,2,1,0,0,0,0,1,0,0,0,7,0.000,0.500,0.500,0.00,0.25,0.001,,7+ÀÏ,0,3.00,0.1
±èÁø¿µ,2020,05-08,@Å°¿ò,L 3:5,0,0,3,3,0,0,0,0,0,0,0,2,13,0.000,0.000,0.000,0.00,0.56,0.014,,2ÀÏ,0,0.75,1.0
±èÁø¿µ,2020,05-10,@Å°¿ò,L 3:6,0,0,3,3,0,0,0,0,0,0,0,1,13,0.000,0.000,0.000,0.00,0.56,0.006,,2ÀÏ,0,0.43,1.0
±èÁø¿µ,2020,05-13,KIA,L 3:4,0,0,3,3,0,0,0,0,0,0,0,3,15,0.000,0.000,0.000,0.00,0.56,0.055,,3ÀÏ,0,0.30,1.0
±èÁø¿µ,2020,05-14,KIA,W 4:1,0,0,3,3,0,0,0,0,0,0,0,3,16,0.000,0.000,0.000,0.00,0.56,0.042,,1ÀÏ,0,0.23,1.0
±èÁø¿µ,2020,05-16,·Ôµ¥,L 1:5,1,1,5,3,1,0,0,0,1,0,1,1,27,0.063,0.600,0.933,1.80,-0.91,-0.114,,2ÀÏ,0,0.60,0.2
±èÁø¿µ,2020,05-17,·Ôµ¥,W 5:4,1,1,7,7,1,0,0,1,0,0,0,4,26,0.087,0.143,0.714,2.57,0.11,-0.063,,1ÀÏ,0,0.57,2.0
±èÁø¿µ,2020,05-21,@KT,W 9:4,0,0,5,4,0,0,0,0,1,0,0,0,19,0.074,0.200,0.200,2.08,0.85,0.031,,4ÀÏ,0,0.58,1.2
±èÁø¿µ,2020,05-22,@NC,W 5:3,0,0,3,3,0,0,0,0,0,0,0,2,18,0.067,0.000,0.000,1.86,0.56,0.081,,1ÀÏ,0,0.52,1.0
±èÁø¿µ,2020,05-24,@NC,L 5:10,1,1,4,4,3,0,0,0,0,0,0,1,14,0.147,0.750,1.500,2.70,-1.93,-0.283,,2ÀÏ,0,0.80,0.1
±èÁø¿µ,2020,05-29,@SK,L 6:8,0,0,4,4,1,0,0,0,0,0,0,1,14,0.158,0.250,0.500,2.45,0.56,0.006,,5ÀÏ,0,0.82,1.0
±èÁø¿µ,2020,05-31,@SK,L 4:6,1,1,7,6,2,0,0,1,1,0,0,2,32,0.182,0.429,1.262,2.92,-0.98,-0.179,L,2ÀÏ,0,0.97,1.1
±èÁø¿µ,2020,06-05,NC,L 2:13,3,3,6,4,2,0,0,1,2,0,0,0,22,0.208,0.667,1.917,4.73,-2.45,-0.076,,5ÀÏ,0,1.20,1.0
±èÁø¿µ,2020,06-07,NC,L 2:8,1,1,6,6,3,0,0,0,0,0,0,1,21,0.241,0.500,1.000,5.02,-0.45,-0.011,,2ÀÏ,0,1.33,1.0
±èÁø¿µ,2020,06-10,@·Ôµ¥,L 2:12,1,1,6,5,2,0,0,0,1,0,0,2,26,0.254,0.500,0.900,5.28,-0.45,-0.013,,3ÀÏ,0,1.43,1.0
±èÁø¿µ,2020,06-12,µÎ»ê,L 2:5,0,0,7,6,1,0,0,0,1,0,0,0,25,0.246,0.286,0.452,4.76,1.53,0.045,,2ÀÏ,0,1.41,1.2
±èÁø¿µ,2020,06-13,µÎ»ê,W 7:6,0,0,3,2,0,0,0,0,1,0,0,2,13,0.239,0.333,0.333,4.58,0.97,0.094,,1ÀÏ,0,1.42,0.2
±èÁø¿µ,2020,06-18,LG,L 7:9,0,0,2,2,0,0,0,0,0,0,0,0,15,0.232,0.000,0.000,4.42,1.24,0.088,,5ÀÏ,0,1.36,0.2
±èÁø¿µ,2020,06-20,@NC,W 4:3,0,0,3,2,0,0,0,0,0,0,0,0,10,0.225,0.000,0.000,4.26,-0.03,0.046,,2ÀÏ,0,1.32,0.2
±èÁø¿µ,2020,06-21,@NC,L 7:9,1,1,4,3,2,0,0,0,1,0,0,0,18,0.243,0.750,1.417,4.66,-2.50,-0.296,,1ÀÏ,0,1.45,0.1
±èÁø¿µ,2020,06-23,@»ï¼º,L 4:11,3,0,3,3,2,0,0,0,0,0,0,0,13,0.260,0.667,1.333,4.66,-3.07,-0.217,,2ÀÏ,0,1.55,0.0
±èÁø¿µ,2020,06-25,@»ï¼º,W 9:2,0,0,3,3,0,0,0,0,0,0,0,1,10,0.250,0.000,0.000,4.43,0.56,0.003,,2ÀÏ,0,1.48,1.0
±èÁø¿µ,2020,06-26,KT,W 7:4,0,0,4,4,1,0,0,0,0,0,0,0,16,0.250,0.250,0.500,4.22,0.56,0.046,,1ÀÏ,0,1.45,1.0
±èÁø¿µ,2020,06-28,KT,L 4:8,0,0,3,3,0,0,0,0,0,0,0,2,17,0.241,0.000,0.000,4.03,0.56,0.055,,2ÀÏ,0,1.39,1.0
±èÁø¿µ,2020,07-01,@KIA,L 3:4,3,3,6,4,3,0,0,0,1,0,0,0,18,0.264,0.800,1.550,5.09,-1.28,-0.326,L,3ÀÏ,0,1.52,0.2
±èÁø¿µ,2020,07-03,@µÎ»ê,L 1:2,1,1,1,1,1,0,0,1,0,0,0,0,4,0.272,1.000,5.000,5.48,-1.00,-0.363,L,2ÀÏ,0,1.57,0.0
±èÁø¿µ,2020,07-05,@µÎ»ê,L 4:7,0,0,2,1,1,0,0,0,1,0,0,0,7,0.280,1.000,2.000,5.48,-1.12,-0.058,,2ÀÏ,0,1.65,0.0
±èÁø¿µ,2020,08-09,KT,L 3:6,0,0,5,4,1,1,0,0,1,0,0,0,23,0.278,0.400,0.900,5.25,0.56,0.020,,7+ÀÏ,0,1.67,1.0
±èÁø¿µ,2020,08-11,@Å°¿ò,W 7:5,0,0,3,3,0,0,0,0,0,0,0,2,16,0.270,0.000,0.000,5.04,0.56,0.137,,2ÀÏ,0,1.60,1.0
±èÁø¿µ,2020,08-12,@Å°¿ò,L 2:3,0,0,4,4,1,0,0,0,0,0,0,1,16,0.269,0.250,0.500,4.78,0.94,0.149,,1ÀÏ,0,1.56,1.1
±èÁø¿µ,2020,08-14,»ï¼º,L 1:10,0,0,3,3,1,1,0,0,0,0,0,0,15,0.271,0.333,1.000,4.67,-0.28,-0.003,,2ÀÏ,0,1.56,0.2
±èÁø¿µ,2020,08-19,@SK,L 6:26,2,2,6,5,2,1,0,0,1,0,0,1,18,0.277,0.500,1.100,5.14,-2.43,-0.010,,5ÀÏ,0,1.61,1.0
±èÁø¿µ,2020,08-24,@LG,W 6:3,0,0,4,4,2,0,0,0,0,0,0,1,14,0.284,0.500,1.000,4.97,0.56,0.075,W,5ÀÏ,0,1.62,1.0
±èÁø¿µ,2020,08-26,@NC,L 5:9,3,0,6,6,2,0,0,1,0,0,0,1,20,0.287,0.333,1.167,4.80,-2.45,-0.040,,2ÀÏ,0,1.63,1.0
±èÁø¿µ,2020,08-29,@·Ôµ¥,L 7:9,0,0,3,3,0,0,0,0,0,0,0,2,12,0.280,0.000,0.000,4.65,0.56,0.002,,3ÀÏ,0,1.58,1.0
±èÁø¿µ,2020,09-01,@µÎ»ê,L 0:4,0,0,3,3,0,0,0,0,0,0,0,2,13,0.273,0.000,0.000,4.50,0.56,0.006,,3ÀÏ,0,1.53,1.0
±èÁø¿µ,2020,09-04,Å°¿ò,W 7:1,0,0,3,3,1,0,0,0,0,0,0,0,12,0.275,0.333,0.667,4.36,0.56,0.002,,3ÀÏ,0,1.52,1.0
±èÁø¿µ,2020,09-05,KIA,L 4:5,0,0,3,3,1,0,0,0,0,0,0,1,18,0.276,0.333,0.667,4.24,0.56,0.055,,1ÀÏ,0,1.50,1.0
±èÁø¿µ,2020,09-10,SK,L 1:5,0,0,4,3,0,0,0,0,1,0,0,1,15,0.270,0.250,0.250,4.11,0.56,0.012,,5ÀÏ,0,1.49,1.0
±èÁø¿µ,2020,09-12,@KT,L 2:5,1,1,4,3,1,0,0,0,1,0,0,0,17,0.271,0.500,0.833,4.29,-0.70,-0.034,,2ÀÏ,0,1.51,0.2
±èÁø¿µ,2020,09-15,LG,W 6:5,0,0,4,4,1,0,0,0,0,0,0,1,12,0.271,0.250,0.500,4.17,0.56,0.012,,3ÀÏ,0,1.50,1.0
±èÁø¿µ,2020,09-17,@Å°¿ò,L 2:5,0,0,3,3,0,0,0,0,0,0,0,2,16,0.265,0.000,0.000,4.06,0.56,0.017,,2ÀÏ,0,1.46,1.0
±èÁø¿µ,2020,09-20,@KIA,W 11:3,0,0,4,4,1,0,0,0,0,0,0,1,14,0.265,0.250,0.500,3.96,0.56,0.001,,3ÀÏ,0,1.45,1.0
