Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
김진욱,2020,07-11,SK,L 3:5,2,2,20,16,5,1,0,2,2,0,1,3,81,0.313,0.421,1.171,4.15,-0.20,-0.065,,7+일,1,1.62,4.1
김진욱,2020,07-17,@LG,L 0:8,3,3,18,15,6,1,0,1,2,0,1,6,81,0.355,0.500,1.167,5.40,-0.78,-0.144,L,6일,1,1.80,4.0
김진욱,2020,07-24,SK,L 4:7,0,0,4,4,1,0,0,0,0,0,0,2,20,0.343,0.250,0.500,4.82,0.56,0.008,,7일,0,1.71,1.0
김진욱,2020,07-26,SK,L 4:7,1,1,5,4,2,0,0,0,1,0,0,0,20,0.359,0.600,1.100,5.40,-0.98,-0.065,,2일,0,1.90,0.2
김진욱,2020,07-29,@삼성,W 12:7,0,0,7,4,0,0,0,0,3,0,0,1,33,0.326,0.429,0.429,4.50,1.11,0.094,W,3일,0,1.83,2.0
김진욱,2020,08-01,@LG,L 6:9,0,0,6,6,1,0,0,0,0,0,0,2,26,0.306,0.167,0.333,3.95,1.13,0.036,,3일,0,1.68,1.2
김진욱,2020,08-06,NC,L 1:4,3,3,5,4,3,0,0,1,1,0,0,0,18,0.340,0.800,2.300,5.79,-3.02,-0.516,L,5일,0,1.93,0.1
김진욱,2020,08-11,@키움,W 7:5,0,0,1,1,0,0,0,0,0,0,0,1,4,0.333,0.000,0.000,5.65,0.25,0.045,SV,5일,0,1.88,0.1
김진욱,2020,08-13,@키움,L 3:6,2,2,6,5,3,0,1,0,0,0,0,0,20,0.356,0.600,1.600,6.46,-1.45,-0.098,,2일,0,1.96,1.0
김진욱,2020,08-14,삼성,L 1:10,1,1,15,14,3,0,0,1,1,0,0,2,57,0.329,0.267,0.695,5.59,1.22,0.001,,1일,0,1.76,4.0
김진욱,2020,08-18,@SK,L 3:9,0,0,8,7,1,0,0,0,0,0,1,0,28,0.313,0.250,0.393,5.06,1.11,0.002,,4일,0,1.64,2.0
김진욱,2020,08-25,@NC,L 3:11,1,1,4,4,1,0,0,1,0,0,0,0,19,0.310,0.250,1.250,5.24,-0.45,-0.005,,7일,0,1.61,1.0
김진욱,2020,08-26,@NC,L 5:9,1,1,6,4,2,1,0,0,1,0,1,1,27,0.318,0.667,1.417,5.48,-1.26,-0.016,,1일,0,1.70,0.2
김진욱,2020,08-29,@롯데,L 7:9,0,0,2,2,1,0,0,0,0,0,0,0,8,0.322,0.500,1.000,5.40,-0.02,-0.001,,3일,0,1.71,0.1
김진욱,2020,09-03,키움,L 5:6,0,0,2,1,0,0,0,0,1,0,0,0,10,0.319,0.500,0.500,5.32,0.47,0.006,,5일,0,1.73,0.1
김진욱,2020,09-06,KIA,L 4:8,0,0,3,3,1,0,0,0,0,0,0,2,20,0.319,0.333,0.667,5.11,0.56,0.004,,3일,0,1.70,1.0
김진욱,2020,09-09,@삼성,W 7:0,0,0,23,21,2,0,0,0,2,0,0,2,77,0.278,0.174,0.269,4.11,3.33,0.161,W,3일,1,1.50,6.0
김진욱,2020,09-16,LG,L 5:11,8,7,18,16,8,6,0,0,2,0,0,2,78,0.305,0.556,1.431,5.61,-6.34,-0.460,L,7일,1,1.66,3.0
김진욱,2020,09-23,두산,W 6:5,1,1,22,19,4,3,0,0,3,0,0,2,86,0.293,0.318,0.687,5.12,1.78,0.119,W,7일,1,1.63,5.0
김진욱,2020,09-29,두산,L 3:7,4,4,22,17,4,0,0,2,4,0,1,1,84,0.287,0.409,0.997,5.44,-1.20,-0.157,L,6일,1,1.65,4.1
김진욱,2020,10-28,@LG,W 7:6,0,0,4,2,0,0,0,0,2,0,0,1,18,0.284,0.500,0.500,5.36,0.09,0.005,,7+일,0,1.67,0.2
김진욱,2020,10-29,KT,L 1:12,2,2,5,5,2,0,0,1,0,0,0,1,22,0.287,0.400,1.400,5.64,-1.45,-0.029,,1일,0,1.68,1.0
