Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
±Ë≈¬»∆,2020,05-10,@∑‘µ•,L 0:4,2,2,22,19,2,0,0,0,3,0,0,3,85,0.105,0.227,0.333,3.00,2.31,0.217,L,7+¿œ,1,0.83,6.0
±Ë≈¬»∆,2020,05-16,NC,L 1:2,0,0,24,21,2,0,0,0,3,0,0,6,98,0.100,0.208,0.304,1.38,3.89,0.463,,6¿œ,1,0.77,7.0
±Ë≈¬»∆,2020,05-23,KIA,L 3:8,4,4,25,22,5,1,0,1,3,0,0,4,87,0.145,0.320,0.729,2.84,-0.67,-0.184,L,7¿œ,1,0.95,6.0
±Ë≈¬»∆,2020,05-29,«—»≠,W 8:6,2,2,22,19,5,1,0,0,2,0,1,3,90,0.173,0.364,0.679,3.00,0.78,0.081,W,6¿œ,1,1.04,5.0
±Ë≈¬»∆,2020,06-04,@NC,L 0:10,7,7,21,14,5,1,0,1,4,0,2,0,86,0.200,0.524,1.167,4.94,-3.43,-0.234,L,6¿œ,1,1.24,3.1
±Ë≈¬»∆,2020,06-11,@LG,L 3:4,3,3,24,18,3,2,0,0,5,0,0,3,81,0.195,0.333,0.611,4.91,-0.14,-0.124,,7¿œ,1,1.27,5.2
±Ë≈¬»∆,2020,06-17,KT,L 4:6,2,2,20,16,4,1,0,0,3,0,0,1,86,0.202,0.350,0.663,4.74,0.78,0.047,,6¿œ,1,1.29,5.0
±Ë≈¬»∆,2020,06-23,µŒªÍ,L 2:9,6,6,25,23,8,3,0,1,2,0,0,4,99,0.224,0.400,1.009,5.44,-3.23,-0.301,L,6¿œ,1,1.37,5.0
±Ë≈¬»∆,2020,06-30,@ªÔº∫,L 1:4,2,2,6,6,3,1,0,1,0,0,0,0,19,0.234,0.500,1.667,5.73,-1.45,-0.098,,7¿œ,0,1.41,1.0
±Ë≈¬»∆,2020,07-03,@∑‘µ•,W 7:4,0,0,4,2,1,1,0,0,2,0,0,0,19,0.238,0.750,1.750,5.68,-1.10,-0.146,,3¿œ,0,1.47,0.1
±Ë≈¬»∆,2020,07-04,@∑‘µ•,L 4:10,0,0,5,4,1,0,0,0,1,0,0,0,20,0.238,0.400,0.650,5.56,0.56,0.003,,1¿œ,0,1.48,1.0
±Ë≈¬»∆,2020,07-09,NC,L 2:8,2,2,2,2,2,0,0,0,0,0,0,0,12,0.247,1.000,2.000,5.96,-1.50,-0.229,L,5¿œ,0,1.52,0.0
±Ë≈¬»∆,2020,08-06,∑‘µ•,L 2:8,0,0,3,3,0,0,0,0,0,0,0,2,14,0.243,0.000,0.000,5.83,0.56,0.005,,7+¿œ,0,1.49,1.0
±Ë≈¬»∆,2020,08-12,@KT,W 11:2,0,0,3,3,0,0,0,0,0,0,0,0,7,0.238,0.000,0.000,5.70,0.56,0.055,,6¿œ,0,1.46,1.0
±Ë≈¬»∆,2020,08-13,@KT,W 10:6,0,0,5,5,1,1,0,0,0,0,0,3,21,0.237,0.200,0.600,5.59,0.56,0.007,,1¿œ,0,1.45,1.0
±Ë≈¬»∆,2020,08-14,@KIA,L 6:7,1,1,1,1,1,0,0,0,0,0,0,0,1,0.242,1.000,2.000,5.77,-1.27,-0.112,,1¿œ,0,1.47,0.0
±Ë≈¬»∆,2020,08-23,µŒªÍ,L 1:8,0,0,4,4,1,0,0,0,0,0,0,2,10,0.242,0.250,0.500,5.66,0.56,0.001,,7+¿œ,0,1.46,1.0
±Ë≈¬»∆,2020,08-25,@∑‘µ•,W 10:8,4,4,5,4,3,0,0,0,1,0,0,1,14,0.253,0.800,1.550,6.34,-2.10,-0.141,,2¿œ,0,1.53,0.1
±Ë≈¬»∆,2020,08-27,KIA,W 10:4,0,0,3,3,0,0,0,0,0,0,0,1,14,0.249,0.000,0.000,6.22,0.56,0.042,,2¿œ,0,1.50,1.0
±Ë≈¬»∆,2020,08-30,@NC,L 4:7,0,0,3,3,0,0,0,0,0,0,0,2,11,0.245,0.000,0.000,6.10,0.56,0.023,,3¿œ,0,1.47,1.0
±Ë≈¬»∆,2020,09-04,@KT,L 5:7,1,1,5,4,1,0,0,1,1,0,0,0,16,0.245,0.400,1.400,6.15,-0.84,-0.196,,5¿œ,0,1.48,1.0
±Ë≈¬»∆,2020,09-08,≈∞øÚ,L 15:16,2,2,5,5,2,0,0,1,0,0,0,1,18,0.249,0.400,1.400,6.37,-1.45,-0.137,,4¿œ,0,1.49,1.0
±Ë≈¬»∆,2020,09-10,@«—»≠,W 5:1,0,0,4,3,0,0,0,0,1,0,0,2,13,0.245,0.250,0.250,6.26,0.56,0.028,,2¿œ,0,1.48,1.0
