Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
饭老府,2019,03-23,虐框,L 4:7,5,5,21,19,6,0,0,2,2,0,0,4,81,0.316,0.381,1.013,11.25,-2.78,-0.276,L,7+老,1,2.00,4.0
饭老府,2019,03-29,@LG,L 1:2,2,2,25,21,5,1,0,1,4,0,0,6,105,0.275,0.360,0.789,6.52,0.86,-0.045,L,6老,1,1.76,5.2
饭老府,2019,04-04,@SK,L 6:7,2,2,27,25,7,2,0,0,2,0,0,2,104,0.277,0.333,0.693,5.06,1.59,0.147,,6老,1,1.63,6.1
饭老府,2019,04-10,滴魂,L 1:3,3,2,26,22,6,1,1,0,3,0,0,4,103,0.276,0.360,0.769,4.50,0.33,-0.055,L,6老,1,1.59,6.0
饭老府,2019,04-17,KIA,W 8:6,4,4,31,28,12,2,0,1,2,0,0,8,110,0.313,0.452,1.059,4.88,-1.14,-0.232,,7老,1,1.77,5.2
饭老府,2019,04-24,@茄拳,L 4:5,3,0,28,26,7,2,0,0,2,0,0,5,104,0.305,0.321,0.668,3.89,0.89,0.063,,7老,1,1.67,7.0
饭老府,2019,04-30,NC,W 6:1,1,1,26,22,2,1,0,0,3,0,1,7,98,0.276,0.231,0.367,3.46,3.25,0.304,W,6老,1,1.51,7.0
饭老府,2019,05-05,SK,L 3:4,4,3,29,27,6,0,0,2,2,0,0,4,102,0.268,0.276,0.720,3.54,-0.37,-0.265,L,5老,1,1.47,6.2
饭老府,2019,05-11,@伙己,L 2:9,3,3,25,21,4,1,0,0,3,0,0,4,101,0.261,0.292,0.530,3.64,0.33,-0.052,L,6老,1,1.44,6.0
饭老府,2019,05-17,@虐框,L 0:7,6,6,24,22,8,0,2,0,1,0,1,2,71,0.270,0.417,0.962,4.25,-3.23,-0.291,L,6老,1,1.47,5.0
饭老府,2019,05-24,LG,W 8:5,5,4,28,25,10,0,0,1,2,0,0,2,91,0.283,0.444,0.964,4.45,-2.64,-0.363,,7老,1,1.53,5.1
饭老府,2019,05-30,@NC,W 10:2,1,1,25,22,6,0,0,0,2,0,0,5,116,0.282,0.333,0.606,4.20,1.31,0.122,W,6老,1,1.51,6.0
饭老府,2019,06-05,茄拳,L 3:6,3,3,24,23,4,1,0,0,1,0,0,8,107,0.274,0.208,0.426,4.23,0.33,-0.073,,6老,1,1.46,6.0
饭老府,2019,06-11,@LG,D 1:1,1,1,30,27,5,1,0,0,0,0,1,3,90,0.267,0.214,0.437,3.92,3.02,0.252,,6老,1,1.38,8.1
饭老府,2019,06-18,@茄拳,W 11:3,2,2,22,17,4,1,0,0,5,0,0,6,100,0.265,0.409,0.703,3.90,0.78,0.151,W,7老,1,1.40,5.0
饭老府,2019,06-23,虐框,W 2:1,0,0,26,24,6,0,0,0,2,1,0,12,97,0.264,0.308,0.558,3.66,3.33,0.355,,5老,1,1.40,6.0
饭老府,2019,06-30,@滴魂,W 4:0,0,0,29,26,8,2,0,0,3,0,0,5,111,0.267,0.379,0.764,3.42,3.42,0.394,W,7老,1,1.41,6.2
饭老府,2019,07-06,@虐框,L 4:6,6,6,26,24,10,2,0,0,1,0,0,6,103,0.276,0.440,0.940,3.75,-1.64,-0.210,L,6老,1,1.44,5.1
饭老府,2019,07-12,滴魂,W 2:1,1,1,32,29,6,0,0,0,2,0,1,2,98,0.271,0.281,0.488,3.60,3.49,0.356,,6老,1,1.43,7.0
饭老府,2019,07-18,@KIA,W 6:3,3,2,25,22,5,1,0,0,2,0,1,2,108,0.269,0.320,0.593,3.57,0.33,0.001,W,6老,1,1.41,6.0
饭老府,2019,07-27,SK,L 0:4,3,3,28,25,8,1,0,0,3,0,0,5,98,0.272,0.393,0.753,3.61,0.33,-0.062,L,7+老,1,1.43,6.0
饭老府,2019,08-03,滴魂,W 2:1,1,1,28,25,3,0,0,0,3,0,0,4,95,0.264,0.214,0.334,3.49,3.49,0.374,,7老,1,1.40,7.0
饭老府,2019,08-10,@NC,L 4:7,7,7,27,24,8,2,0,0,3,0,0,3,95,0.267,0.407,0.824,3.79,-3.67,-0.328,L,7老,1,1.42,6.0
饭老府,2019,08-16,茄拳,L 1:2,2,2,29,28,7,2,0,0,0,0,1,5,92,0.267,0.276,0.597,3.71,2.44,0.122,L,6老,1,1.39,8.0
饭老府,2019,08-22,@KT,L 2:4,2,2,30,28,8,4,0,0,1,0,1,4,98,0.267,0.333,0.762,3.67,1.35,0.043,L,6老,1,1.39,6.2
饭老府,2019,08-28,LG,W 4:3,2,2,25,23,5,2,0,0,2,0,0,5,96,0.266,0.280,0.584,3.63,2.54,0.281,,6老,1,1.38,6.2
饭老府,2019,09-04,伙己,L 0:8,6,4,27,24,9,1,0,0,3,0,0,4,102,0.270,0.444,0.861,3.74,-1.69,-0.199,L,7老,1,1.41,4.2
饭老府,2019,09-11,KIA,L 0:4,4,4,30,25,7,1,1,2,4,0,1,4,104,0.270,0.400,1.040,3.82,-0.67,-0.174,L,7老,1,1.42,6.0
饭老府,2019,09-18,@KIA,L 5:6,3,3,25,24,7,1,0,0,1,0,0,5,92,0.271,0.320,0.653,3.84,0.33,0.038,,7老,1,1.42,6.0
饭老府,2019,09-26,KIA,L 1:3,3,2,13,12,2,0,0,1,1,0,0,4,61,0.269,0.231,0.647,3.88,-1.34,-0.173,L,7+老,1,1.41,3.0
