Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
류제국,2017,04-01,@넥센,W 8:3,3,3,23,21,7,2,0,0,1,0,1,7,91,0.333,0.391,0.820,5.40,-0.23,-0.041,W,7+일,1,1.60,5.0
류제국,2017,04-07,@롯데,W 6:4,4,1,28,22,5,1,0,1,4,0,1,8,98,0.279,0.370,0.780,3.27,-0.67,-0.154,W,6일,1,1.55,6.0
류제국,2017,04-14,kt,W 5:2,2,2,27,27,7,1,0,1,0,0,0,7,90,0.271,0.259,0.667,3.00,1.89,0.186,W,7일,1,1.33,7.0
류제국,2017,04-20,@한화,W 4:3,3,3,23,20,5,1,0,0,3,0,0,6,97,0.267,0.348,0.648,3.52,-0.23,-0.037,W,6일,1,1.39,5.0
류제국,2017,04-26,SK,W 9:0,0,0,21,18,1,0,0,0,3,0,0,7,94,0.231,0.191,0.246,2.79,3.33,0.256,W,6일,1,1.24,6.0
류제국,2017,05-02,NC,L 1:2,2,2,24,24,6,1,0,1,0,0,0,7,97,0.235,0.250,0.667,2.75,1.89,0.030,L,6일,1,1.17,7.0
류제국,2017,05-07,@두산,W 10:4,3,3,26,22,6,2,0,0,4,0,0,3,102,0.240,0.385,0.748,3.05,0.76,0.048,W,5일,1,1.26,5.1
류제국,2017,05-13,한화,L 0:10,6,3,21,20,6,1,0,1,0,0,0,2,82,0.247,0.300,0.800,3.33,-3.34,-0.317,L,6일,1,1.26,4.2
류제국,2017,05-24,두산,L 1:2,1,1,23,19,3,0,0,0,3,0,1,2,90,0.238,0.304,0.462,3.18,1.78,0.126,,7+일,1,1.25,5.0
류제국,2017,05-30,넥센,L 1:3,3,3,28,24,5,2,1,1,1,0,2,4,111,0.235,0.286,0.786,3.24,0.46,-0.050,L,6일,1,1.20,7.1
류제국,2017,06-04,NC,L 5:6,4,4,21,15,4,1,0,0,3,0,3,3,78,0.237,0.476,0.810,3.65,-1.25,-0.182,,5일,1,1.25,3.1
류제국,2017,06-10,SK,L 3:4,3,1,26,23,4,2,0,1,3,0,0,2,97,0.231,0.269,0.661,3.46,0.33,-0.075,,6일,1,1.24,6.0
류제국,2017,06-16,@KIA,W 9:8,4,4,24,22,6,1,0,0,1,0,1,6,86,0.235,0.333,0.652,3.70,0.36,0.210,W,6일,1,1.25,5.1
류제국,2017,06-22,삼성,L 1:5,4,4,23,21,8,2,0,1,1,0,1,2,91,0.245,0.435,1.054,3.92,-1.23,-0.210,L,6일,1,1.28,5.0
류제국,2017,06-28,@롯데,D 9:9,5,5,22,19,6,0,0,0,3,0,0,4,103,0.249,0.409,0.725,4.21,-0.91,-0.127,,6일,1,1.31,5.1
류제국,2017,07-08,한화,L 3:6,5,5,25,21,7,1,0,1,4,0,0,2,95,0.254,0.440,0.964,4.48,-2.23,-0.260,L,7+일,1,1.36,5.0
류제국,2017,07-20,kt,W 10:9,5,5,24,17,4,1,0,0,5,0,2,3,101,0.254,0.458,0.753,4.76,-2.88,-0.285,,7+일,1,1.39,4.1
류제국,2017,07-27,넥센,W 4:3,3,3,28,22,5,2,0,0,4,0,1,3,93,0.252,0.370,0.689,4.73,-0.09,-0.095,,7일,1,1.39,6.1
류제국,2017,08-02,롯데,W 5:4,1,1,22,21,7,1,0,0,0,0,1,6,94,0.256,0.364,0.745,4.57,2.03,0.224,,6일,1,1.39,5.1
류제국,2017,08-08,@삼성,W 10:8,4,4,24,21,7,1,0,1,2,0,0,5,91,0.260,0.375,0.899,4.69,-1.23,-0.080,W,6일,1,1.41,5.0
류제국,2017,08-19,삼성,W 6:4,4,4,22,19,7,1,0,0,3,0,0,1,96,0.265,0.455,0.876,4.84,-1.78,-0.233,,7+일,1,1.45,4.0
류제국,2017,08-26,@두산,L 4:5,4,3,24,19,6,1,0,0,4,0,1,4,103,0.267,0.458,0.827,4.87,-1.23,-0.231,,7일,1,1.47,5.0
류제국,2017,09-02,@NC,L 0:6,5,5,23,21,7,3,0,0,0,0,1,4,81,0.270,0.348,0.824,5.04,-2.23,-0.186,L,7일,1,1.47,5.0
류제국,2017,09-08,@넥센,W 10:9,5,5,27,24,7,2,1,1,2,0,1,6,98,0.271,0.370,0.954,5.15,-1.07,-0.234,,6일,1,1.47,6.0
류제국,2017,09-14,@kt,L 11:12,4,4,12,9,4,2,0,0,1,0,2,3,44,0.274,0.583,1.250,5.35,-3.39,-0.309,,6일,1,1.48,2.0
