Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
幅锐款,2017,05-04,吩单,L 2:3,3,3,16,15,4,0,0,2,1,0,0,2,65,0.267,0.313,0.979,7.36,-1.25,-0.171,L,7+老,1,1.36,3.2
幅锐款,2017,05-23,@伙己,W 12:3,0,0,4,4,1,0,0,0,0,0,0,1,16,0.263,0.250,0.500,5.79,0.56,0.000,,7+老,0,1.29,1.0
幅锐款,2017,05-25,@伙己,L 4:6,0,0,4,3,0,0,0,0,1,0,0,0,18,0.227,0.250,0.250,4.76,0.56,0.001,,2老,0,1.24,1.0
幅锐款,2017,05-27,@滴魂,L 4:10,5,5,17,14,7,0,0,1,3,0,0,3,63,0.333,0.588,1.303,8.31,-4.32,-0.304,,2老,0,1.96,3.0
幅锐款,2017,05-31,SK,L 2:8,5,5,20,15,3,2,0,1,5,0,0,2,96,0.294,0.400,0.933,9.00,-1.80,-0.257,L,4老,1,1.92,4.1
幅锐款,2017,06-14,@伙己,W 7:5,0,0,14,13,1,1,0,0,1,0,0,1,60,0.250,0.143,0.297,6.88,2.22,0.181,W,7+老,0,1.59,4.0
幅锐款,2017,06-18,茄拳,L 5:13,3,3,16,14,6,1,0,2,1,0,1,1,65,0.282,0.500,1.429,7.20,-1.70,-0.086,,4老,0,1.70,3.0
幅锐款,2017,06-22,吩单,W 10:3,3,3,24,20,5,2,0,1,3,0,1,3,91,0.276,0.375,0.875,6.84,-0.23,-0.040,W,4老,1,1.68,5.0
幅锐款,2017,06-29,@茄拳,L 5:8,1,1,19,14,3,0,0,0,3,0,1,2,83,0.268,0.368,0.583,6.07,0.96,0.054,,7老,1,1.62,4.2
幅锐款,2017,07-08,KIA,L 8:20,3,3,7,6,3,3,0,0,0,0,1,2,23,0.280,0.571,1.571,6.75,-2.45,0.000,,7+老,0,1.66,1.0
幅锐款,2017,07-12,伙己,L 3:11,1,1,8,7,1,1,0,0,1,0,0,2,34,0.272,0.250,0.536,6.61,0.11,-0.002,,4老,0,1.62,2.0
幅锐款,2017,07-22,@池季,W 8:3,2,1,24,18,2,0,0,1,6,0,0,4,108,0.252,0.333,0.611,5.97,0.78,0.064,W,7+老,1,1.62,5.0
幅锐款,2017,07-28,NC,L 4:5,3,3,25,22,3,1,0,2,3,0,0,3,110,0.236,0.240,0.695,5.77,0.33,0.005,,6老,1,1.53,6.0
幅锐款,2017,08-03,@KIA,L 3:9,5,5,24,21,7,2,2,1,2,0,0,1,86,0.247,0.375,1.137,6.10,-2.23,-0.227,L,6老,1,1.56,5.0
幅锐款,2017,08-09,@吩单,L 6:7,5,4,20,18,9,0,0,0,1,0,0,4,78,0.270,0.526,1.026,6.36,-4.03,-0.339,,6老,1,1.64,3.2
幅锐款,2017,08-17,伙己,L 4:6,2,2,7,6,4,0,0,0,1,0,0,0,29,0.281,0.714,1.381,6.58,-2.31,-0.111,,7+老,0,1.71,1.0
幅锐款,2017,08-19,滴魂,L 4:10,1,1,9,8,3,0,0,1,1,0,0,0,26,0.284,0.444,1.194,6.51,0.11,-0.003,,2老,0,1.72,2.0
幅锐款,2017,08-23,茄拳,L 9:10,8,8,21,16,6,1,0,2,4,0,0,3,79,0.291,0.476,1.289,7.32,-5.90,-0.627,,4老,1,1.78,3.2
幅锐款,2017,08-30,NC,W 9:5,4,4,18,17,8,2,0,2,0,0,1,1,73,0.303,0.500,1.441,7.55,-2.34,-0.270,,7老,1,1.82,3.0
幅锐款,2017,09-07,@滴魂,W 7:3,2,2,16,9,2,1,0,0,6,0,0,3,67,0.300,0.533,0.867,7.48,-0.68,-0.123,,7+老,1,1.86,3.0
幅锐款,2017,09-13,@池季,L 0:8,7,6,22,18,6,5,0,0,2,0,1,3,75,0.302,0.429,1.040,7.83,-4.78,-0.328,L,6老,1,1.87,4.0
幅锐款,2017,09-19,@LG,W 15:7,3,3,24,18,4,0,0,1,4,0,1,4,91,0.297,0.391,0.780,7.66,-0.23,-0.079,,6老,1,1.85,5.0
幅锐款,2017,09-27,滴魂,W 3:2,1,1,24,20,5,0,0,0,3,0,1,5,100,0.294,0.375,0.625,7.29,1.78,0.155,W,7+老,1,1.84,5.0
幅锐款,2017,10-03,KIA,L 2:10,5,5,12,11,6,2,0,1,1,0,0,2,49,0.303,0.583,1.583,7.67,-3.89,-0.293,,6老,0,1.88,2.0
