Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
린드블럼,2019,03-23,한화,W 5:4,2,2,27,24,9,1,0,0,2,0,1,5,93,0.375,0.444,0.861,3.18,1.08,0.048,,7+일,1,1.94,5.2
린드블럼,2019,03-29,@삼성,W 3:2,2,1,28,28,8,2,0,0,0,0,0,7,103,0.327,0.286,0.643,2.13,1.89,0.122,,6일,1,1.50,7.0
린드블럼,2019,04-04,KT,W 5:4,0,0,24,23,2,0,0,0,0,0,1,7,96,0.253,0.125,0.212,1.37,3.89,0.346,W,6일,1,1.07,7.0
린드블럼,2019,04-10,@롯데,W 3:1,1,1,25,23,4,0,0,1,2,0,0,6,99,0.235,0.240,0.544,1.40,2.33,0.264,W,6일,1,1.05,6.0
린드블럼,2019,04-16,SK,W 8:3,2,2,27,27,5,0,0,0,0,0,0,6,112,0.224,0.185,0.370,1.65,1.89,0.110,W,6일,1,0.98,7.0
린드블럼,2019,04-21,@KIA,W 9:2,1,1,23,21,3,0,0,0,2,0,0,2,92,0.212,0.217,0.360,1.63,1.33,0.258,W,5일,1,0.96,6.0
린드블럼,2019,04-27,롯데,W 7:0,0,0,26,25,4,0,0,0,1,0,0,5,98,0.205,0.192,0.352,1.38,3.89,0.342,W,6일,1,0.92,7.0
린드블럼,2019,05-03,LG,W 7:2,2,2,27,27,9,0,0,1,0,0,0,6,100,0.222,0.333,0.778,1.54,1.89,0.242,W,6일,1,0.97,7.0
린드블럼,2019,05-09,KIA,L 3:5,1,1,26,25,7,3,0,0,1,0,0,6,101,0.229,0.308,0.708,1.53,2.59,0.279,,6일,1,1.00,6.1
린드블럼,2019,05-15,삼성,W 3:1,1,1,25,25,1,0,0,1,0,0,0,11,110,0.210,0.040,0.200,1.48,3.44,0.401,W,6일,1,0.90,8.0
린드블럼,2019,05-22,@KT,L 1:3,3,3,24,20,6,0,0,0,3,0,0,5,105,0.216,0.375,0.675,1.74,-0.64,-0.170,L,7일,1,0.95,5.1
린드블럼,2019,05-28,삼성,W 4:1,0,0,22,21,3,0,0,0,1,0,0,6,96,0.211,0.182,0.325,1.61,3.33,0.338,W,6일,1,0.93,6.0
린드블럼,2019,06-02,@KT,W 7:4,4,4,29,26,6,0,0,2,3,0,0,7,105,0.213,0.310,0.772,1.91,-0.37,0.048,W,5일,1,0.96,6.2
린드블럼,2019,06-08,키움,L 4:5,4,4,30,29,8,1,0,1,0,0,1,5,100,0.218,0.300,0.714,2.15,-0.12,-0.052,,6일,1,0.98,7.0
린드블럼,2019,06-14,LG,W 7:4,1,0,26,23,4,0,0,0,2,0,1,8,108,0.215,0.269,0.443,2.02,2.33,0.209,W,6일,1,0.98,6.0
린드블럼,2019,06-20,NC,W 14:2,2,2,23,23,5,1,0,1,0,0,0,6,76,0.215,0.217,0.609,2.08,1.33,0.157,W,6일,1,0.97,6.0
린드블럼,2019,06-27,@삼성,W 9:1,0,0,24,22,2,0,0,0,1,0,1,7,93,0.209,0.167,0.258,1.95,3.89,0.292,W,7일,1,0.94,7.0
린드블럼,2019,07-03,@키움,W 3:1,1,1,27,27,3,1,0,1,0,0,0,7,104,0.203,0.111,0.370,1.89,3.44,0.420,W,6일,1,0.90,8.0
린드블럼,2019,07-09,@LG,W 11:4,3,3,25,23,7,1,0,1,0,0,0,8,87,0.208,0.292,0.770,2.02,0.33,-0.010,W,6일,1,0.91,6.0
린드블럼,2019,07-14,@롯데,W 8:2,2,1,25,23,9,2,0,0,2,0,0,6,108,0.216,0.440,0.918,2.01,0.78,0.072,W,5일,1,0.96,5.0
린드블럼,2019,07-30,@NC,W 9:1,1,1,20,18,3,1,0,0,1,0,1,6,96,0.215,0.250,0.472,2.00,1.78,0.160,W,7+일,1,0.96,5.0
린드블럼,2019,08-06,한화,W 8:3,0,0,24,24,4,0,1,0,0,0,0,7,90,0.213,0.167,0.417,1.90,3.89,0.336,W,7일,1,0.94,7.0
린드블럼,2019,08-11,@키움,W 12:7,2,2,26,24,7,0,0,2,2,0,0,3,94,0.216,0.346,0.888,1.95,1.33,0.050,W,5일,1,0.96,6.0
린드블럼,2019,08-18,롯데,W 11:3,3,3,29,27,6,2,0,0,1,0,0,10,97,0.216,0.241,0.538,2.03,0.89,0.153,W,7일,1,0.96,7.0
린드블럼,2019,08-25,@한화,W 3:2,2,2,26,24,2,0,1,0,1,0,0,9,108,0.211,0.115,0.282,2.04,2.44,0.356,W,7일,1,0.93,8.0
린드블럼,2019,08-31,삼성,W 5:3,3,3,27,26,7,1,1,0,0,0,0,5,108,0.213,0.259,0.644,2.12,0.89,0.019,,6일,1,0.94,7.0
린드블럼,2019,09-11,NC,L 0:4,2,2,25,23,5,1,0,1,2,0,0,6,97,0.214,0.280,0.671,2.15,1.33,0.045,L,7+일,1,0.94,6.0
린드블럼,2019,09-16,키움,L 3:6,6,6,32,30,9,2,0,1,1,0,0,6,108,0.217,0.313,0.779,2.36,-0.80,-0.361,L,5일,1,0.96,7.1
린드블럼,2019,09-22,LG,L 3:6,2,2,25,24,7,1,0,0,1,0,0,8,107,0.220,0.320,0.653,2.38,1.33,0.041,,6일,1,0.97,6.0
린드블럼,2019,09-28,한화,W 7:6,4,4,26,25,10,2,0,0,0,0,0,3,91,0.226,0.385,0.865,2.50,-1.64,-0.078,,6일,1,1.00,5.1
린드블럼,2019,10-22,키움,W 7:6,1,1,20,18,4,1,0,0,2,0,0,5,90,0.222,0.300,0.578,1.80,1.78,0.132,,7+일,1,1.20,5.0
