Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¹®±¤Àº,2019,05-18,NC,L 3:9,1,1,9,9,3,0,0,0,0,0,0,2,34,0.333,0.333,0.667,4.50,-0.49,-0.019,,7+ÀÏ,0,1.50,2.0
¹®±¤Àº,2019,05-22,SK,L 0:2,0,0,3,2,0,0,0,0,1,0,0,0,14,0.273,0.333,0.333,3.38,0.57,0.036,,4ÀÏ,0,1.50,0.2
¹®±¤Àº,2019,05-24,@·Ôµ¥,L 5:8,1,1,7,6,2,0,0,0,1,0,0,1,26,0.294,0.429,0.762,4.50,0.02,-0.007,,2ÀÏ,0,1.75,1.1
¹®±¤Àº,2019,05-30,@Å°¿ò,W 6:3,0,0,2,2,0,0,0,0,0,0,0,1,9,0.263,0.000,0.000,3.60,2.42,0.325,W,6ÀÏ,0,1.40,1.0
¹®±¤Àº,2019,05-31,NC,W 3:2,0,0,4,4,1,0,0,0,0,0,0,0,14,0.261,0.250,0.500,3.00,0.56,0.120,,1ÀÏ,0,1.33,1.0
¹®±¤Àº,2019,06-04,KT,W 8:4,0,0,1,1,0,0,0,0,0,0,0,1,7,0.250,0.000,0.000,2.84,0.47,0.005,,4ÀÏ,0,1.26,0.1
¹®±¤Àº,2019,06-06,KT,W 8:7,0,0,4,4,1,0,0,0,0,0,0,0,12,0.250,0.250,0.500,2.45,0.69,0.021,,2ÀÏ,0,1.23,1.0
¹®±¤Àº,2019,06-09,@ÇÑÈ­,W 3:1,0,0,4,2,0,0,0,0,2,0,0,2,22,0.233,0.500,0.500,2.25,0.30,0.061,,3ÀÏ,0,1.38,0.2
¹®±¤Àº,2019,06-11,·Ôµ¥,D 1:1,0,0,8,8,1,0,0,0,0,0,0,3,25,0.211,0.125,0.250,1.69,1.55,0.378,,2ÀÏ,0,1.13,2.2
¹®±¤Àº,2019,06-13,·Ôµ¥,W 4:3,0,0,3,3,0,0,0,0,0,0,0,1,12,0.195,0.000,0.000,1.54,1.57,0.274,,2ÀÏ,0,1.03,1.0
¹®±¤Àº,2019,06-16,@µÎ»ê,L 3:5,0,0,4,4,1,1,0,0,0,0,0,1,18,0.200,0.250,0.750,1.42,0.68,0.031,,3ÀÏ,0,1.03,1.0
¹®±¤Àº,2019,06-18,@»ï¼º,L 5:12,3,3,4,3,2,1,0,1,1,0,0,1,21,0.229,0.750,2.750,3.46,-2.74,-0.178,,2ÀÏ,0,1.23,0.1
¹®±¤Àº,2019,06-21,KIA,W 9:8,0,0,6,4,2,0,0,0,1,0,0,1,16,0.250,0.600,1.100,3.14,0.94,0.097,,3ÀÏ,0,1.33,1.1
¹®±¤Àº,2019,06-23,KIA,L 0:7,1,1,4,4,4,2,0,0,0,0,0,0,17,0.304,1.000,2.500,3.60,-0.83,-0.032,,2ÀÏ,0,1.53,0.2
¹®±¤Àº,2019,07-02,ÇÑÈ­,W 9:2,0,0,3,3,0,0,0,0,0,0,0,0,11,0.288,0.000,0.000,3.38,0.56,0.001,,7+ÀÏ,0,1.44,1.0
¹®±¤Àº,2019,07-04,ÇÑÈ­,W 4:3,0,0,2,2,0,0,0,0,0,0,0,1,7,0.279,0.000,0.000,3.24,0.38,0.076,,2ÀÏ,0,1.38,0.2
¹®±¤Àº,2019,07-07,@KIA,W 10:9,0,0,3,3,1,0,0,0,0,0,0,1,13,0.281,0.333,0.667,3.12,0.30,0.073,,3ÀÏ,0,1.38,0.2
¹®±¤Àº,2019,07-12,»ï¼º,L 3:6,0,0,5,3,2,0,0,0,0,0,1,1,13,0.299,0.750,1.417,2.95,0.56,0.075,,5ÀÏ,0,1.42,1.0
¹®±¤Àº,2019,07-16,@SK,L 4:10,1,1,4,3,1,0,0,1,1,0,0,1,21,0.300,0.500,1.833,3.26,-0.45,-0.075,,4ÀÏ,0,1.45,1.0
¹®±¤Àº,2019,07-27,@KT,W 5:2,0,0,2,0,0,0,0,0,1,0,0,0,10,0.300,0.500,0.000,3.20,-0.68,-0.011,,7+ÀÏ,0,1.47,0.1
