Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
冠辟全,2019,03-30,@LG,W 7:1,0,0,2,1,0,0,0,0,0,0,0,0,10,0.000,0.000,0.000,0.00,-0.40,0.001,,7+老,0,0.00,0.1
冠辟全,2019,04-16,KIA,W 10:9,0,0,10,8,2,0,0,0,2,0,0,1,43,0.222,0.400,0.650,0.00,0.68,-0.020,W,7+老,0,1.33,2.2
冠辟全,2019,04-18,KIA,W 10:9,1,1,3,3,2,0,0,1,0,0,0,0,10,0.333,0.667,2.333,2.70,-2.60,-0.092,,2老,0,1.80,0.1
冠辟全,2019,04-21,KT,L 3:6,1,1,2,2,1,0,0,1,0,0,0,0,7,0.357,0.500,2.500,4.91,-0.74,-0.138,,3老,0,1.91,0.1
冠辟全,2019,04-26,@滴魂,L 8:11,1,1,2,2,1,0,0,0,0,0,0,1,9,0.375,0.500,1.000,6.75,-0.02,-0.001,,5老,0,2.00,0.1
冠辟全,2019,04-27,@滴魂,L 0:7,0,0,3,3,0,0,0,0,0,0,0,2,15,0.316,0.000,0.000,5.40,0.69,0.023,,1老,0,1.60,1.0
冠辟全,2019,04-28,@滴魂,L 2:9,0,0,7,5,1,0,0,0,2,0,0,1,24,0.292,0.429,0.629,4.26,0.14,0.002,,1老,0,1.74,1.1
冠辟全,2019,05-01,NC,L 5:9,1,1,1,1,1,0,0,1,0,0,0,0,4,0.320,1.000,5.000,5.68,-2.33,-0.249,,3老,0,1.89,0.0
冠辟全,2019,05-02,NC,L 6:7,0,0,2,1,0,0,0,0,1,0,0,1,11,0.308,0.500,0.500,5.40,0.26,0.029,,1老,0,1.95,0.1
冠辟全,2019,05-04,SK,L 4:10,1,1,5,3,0,0,0,0,1,0,1,0,17,0.276,0.400,0.400,5.87,0.21,0.002,,2老,0,1.83,1.0
冠辟全,2019,05-07,@KT,L 2:7,0,0,4,4,1,0,0,0,0,0,0,0,14,0.273,0.250,0.500,5.19,0.56,0.008,,3老,0,1.73,1.0
冠辟全,2019,05-09,@KT,W 13:6,2,2,2,1,1,0,0,0,1,0,0,0,8,0.294,1.000,2.000,7.27,-1.35,-0.006,,2老,0,1.96,0.0
冠辟全,2019,05-11,@伙己,L 2:9,0,0,3,3,0,0,0,0,0,0,0,1,16,0.270,0.000,0.000,6.52,0.56,0.012,,2老,0,1.76,1.0
冠辟全,2019,05-15,LG,W 8:4,2,2,3,2,1,0,0,1,1,0,0,0,11,0.282,0.667,2.667,8.10,-1.74,-0.180,,4老,0,1.90,0.1
冠辟全,2019,05-17,@虐框,L 0:7,0,0,4,2,0,0,0,0,2,0,0,0,20,0.268,0.500,0.500,7.36,0.56,0.000,,2老,0,1.91,1.0
冠辟全,2019,05-18,@虐框,L 1:13,0,0,5,5,1,0,0,0,0,0,0,0,24,0.261,0.200,0.400,6.57,0.54,0.000,,1老,0,1.78,1.1
冠辟全,2019,05-19,@虐框,L 3:9,1,1,4,3,0,0,0,0,1,0,0,2,20,0.245,0.250,0.250,6.75,0.16,0.007,,1老,0,1.73,1.0
冠辟全,2019,06-21,虐框,L 4:7,1,0,6,3,1,0,0,0,2,1,0,0,23,0.250,0.600,0.933,6.28,-0.80,-0.012,,7+老,0,1.81,1.0
冠辟全,2019,09-01,@KIA,L 2:4,0,0,1,1,0,0,0,0,0,0,0,0,1,0.245,0.000,0.000,6.00,0.79,0.030,,7+老,0,1.73,0.2
冠辟全,2019,09-04,伙己,L 0:8,0,0,3,1,0,0,0,0,2,0,0,0,12,0.241,0.667,0.667,5.87,-0.90,-0.002,,3老,0,1.83,0.1
冠辟全,2019,09-07,@茄拳,L 1:5,0,0,6,5,2,0,0,0,1,0,0,1,25,0.254,0.500,0.900,5.51,0.56,0.003,,3老,0,1.90,1.0
冠辟全,2019,09-11,KIA,L 0:4,0,0,2,2,0,0,0,0,0,0,0,1,9,0.246,0.000,0.000,5.19,0.95,0.006,,4老,0,1.79,1.0
冠辟全,2019,09-13,SK,W 1:0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.242,0.000,0.000,5.09,0.26,0.073,,2老,0,1.75,0.1
冠辟全,2019,09-20,KT,L 0:7,2,2,2,1,1,0,0,1,1,0,0,0,7,0.254,1.000,5.000,6.11,-2.87,-0.096,,7老,0,1.87,0.0
