Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
冠技旷,2020,05-07,@KT,W 7:3,3,3,21,19,6,1,0,0,2,0,0,2,87,0.316,0.381,0.749,5.79,-0.57,-0.129,,7+老,1,1.71,4.2
冠技旷,2020,05-14,滴魂,L 4:7,3,1,23,21,5,3,0,0,2,0,0,5,85,0.275,0.304,0.685,3.72,-0.23,-0.075,L,7老,1,1.55,5.0
冠技旷,2020,05-21,@KIA,L 1:6,5,5,20,17,6,1,0,0,3,0,0,2,76,0.298,0.450,0.862,5.93,-2.78,-0.330,L,7老,1,1.76,4.0
冠技旷,2020,05-27,伙己,L 1:11,4,4,23,16,5,1,0,2,4,0,2,3,90,0.301,0.478,1.228,6.50,-1.80,-0.221,L,6老,1,1.83,4.1
冠技旷,2020,06-02,@KIA,L 2:7,4,4,27,27,9,1,0,2,0,0,0,5,99,0.310,0.333,0.926,6.38,-0.67,-0.282,L,6老,1,1.75,6.0
冠技旷,2020,06-07,KT,W 5:2,1,1,22,21,3,0,0,1,1,0,0,7,92,0.281,0.182,0.468,5.40,2.33,0.210,W,5老,1,1.53,6.0
冠技旷,2020,06-13,@LG,W 7:6,5,5,23,21,7,1,0,1,1,0,0,7,107,0.289,0.348,0.872,5.91,-2.23,-0.316,,6老,1,1.54,5.0
冠技旷,2020,06-19,@KT,L 8:9,4,4,26,23,9,2,0,1,3,0,0,3,75,0.303,0.462,1.070,6.08,-1.23,-0.003,,6老,1,1.65,5.0
冠技旷,2020,06-28,伙己,W 7:3,3,3,22,22,4,0,0,1,0,0,0,2,68,0.289,0.182,0.500,5.87,0.33,0.024,W,7+老,1,1.52,6.0
冠技旷,2020,07-05,SK,L 3:6,3,3,23,22,5,1,0,2,1,0,0,5,97,0.282,0.261,0.806,5.71,0.33,-0.010,L,7老,1,1.46,6.0
冠技旷,2020,07-11,滴魂,W 5:4,2,0,24,21,5,1,0,0,3,0,0,4,95,0.278,0.333,0.619,5.21,-0.76,-0.084,W,6老,1,1.47,5.0
冠技旷,2020,07-18,@伙己,L 2:5,2,2,22,16,5,0,0,0,4,0,1,2,91,0.280,0.455,0.767,5.19,-0.60,-0.092,,7老,1,1.53,3.2
冠技旷,2020,07-24,@虐框,W 4:2,2,2,23,20,5,1,0,1,2,0,0,7,96,0.278,0.304,0.754,5.05,0.76,0.043,W,6老,1,1.52,5.1
冠技旷,2020,08-01,KIA,W 7:3,3,3,25,24,8,1,0,1,1,0,0,4,91,0.283,0.360,0.860,5.00,0.33,0.039,W,7+老,1,1.51,6.0
冠技旷,2020,08-07,@滴魂,W 8:4,4,4,26,23,8,1,0,0,1,0,0,2,84,0.288,0.346,0.738,5.08,-0.07,-0.050,,6老,1,1.51,6.0
冠技旷,2020,08-14,虐框,W 5:1,1,0,21,20,3,1,0,0,1,0,0,4,85,0.279,0.191,0.391,4.75,0.86,0.149,W,7老,1,1.46,5.1
冠技旷,2020,08-20,@滴魂,W 6:5,1,1,23,20,6,1,0,0,3,0,0,4,102,0.280,0.391,0.741,4.58,1.78,0.186,,6老,1,1.48,5.0
冠技旷,2020,08-26,SK,W 3:1,1,1,24,22,3,0,0,1,2,0,0,6,99,0.272,0.208,0.481,4.34,2.89,0.289,,6老,1,1.43,7.0
冠技旷,2020,09-01,@KT,L 2:11,5,2,20,17,6,0,0,0,2,0,0,2,89,0.276,0.421,0.774,4.35,-2.78,-0.326,L,6老,1,1.45,4.0
冠技旷,2020,09-07,LG,W 12:6,4,4,25,23,10,2,0,1,2,0,0,7,104,0.284,0.480,1.132,4.49,-1.23,0.042,W,6老,1,1.50,5.0
冠技旷,2020,09-13,@SK,L 1:3,3,3,26,24,4,0,0,2,1,0,1,5,91,0.278,0.231,0.647,4.45,0.89,-0.082,L,6老,1,1.45,7.0
冠技旷,2020,09-19,NC,W 5:1,0,0,25,23,5,0,0,0,1,0,1,4,92,0.275,0.280,0.497,4.18,3.89,0.322,W,6老,1,1.41,7.0
冠技旷,2020,09-24,@茄拳,L 4:7,4,4,25,23,10,3,0,1,1,0,1,3,87,0.282,0.480,1.176,4.31,-1.23,-0.162,,5老,1,1.44,5.0
冠技旷,2020,09-30,@LG,L 3:5,2,2,25,23,6,0,0,1,1,0,1,3,104,0.281,0.320,0.711,4.24,1.33,0.168,,6老,1,1.43,6.0
冠技旷,2020,10-06,KT,W 10:9,3,3,24,21,8,0,0,0,1,0,1,3,92,0.285,0.435,0.816,4.29,-0.23,-0.036,,6老,1,1.44,5.0
冠技旷,2020,10-11,@伙己,L 4:8,7,7,21,20,10,2,0,1,1,0,0,1,71,0.293,0.524,1.274,4.65,-5.97,-0.540,L,5老,1,1.49,3.0
冠技旷,2020,10-17,@NC,L 3:4,4,4,25,24,10,2,0,1,1,0,0,5,93,0.298,0.440,1.065,4.75,-1.92,-0.491,L,6老,1,1.52,4.2
冠技旷,2020,10-24,@滴魂,L 1:2,2,2,24,20,6,1,2,0,2,0,0,1,86,0.298,0.348,0.898,4.70,0.76,-0.012,L,7老,1,1.52,5.1
