Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
박정배,2018,03-24,롯데,W 6:5,0,0,3,3,0,0,0,0,0,0,0,1,13,0.000,0.000,0.000,0.00,0.56,0.162,SV,7+일,0,0.00,1.0
박정배,2018,03-27,KT,W 8:5,0,0,3,3,0,0,0,0,0,0,0,2,12,0.000,0.000,0.000,0.00,0.56,0.033,SV,3일,0,0.00,1.0
박정배,2018,03-31,@한화,W 12:1,0,0,4,4,1,1,0,0,0,0,0,1,13,0.100,0.250,0.750,0.00,0.56,0.000,,4일,0,0.33,1.0
박정배,2018,04-04,KIA,L 6:9,0,0,4,4,1,0,0,0,0,0,0,0,19,0.143,0.250,0.500,0.00,0.56,0.137,,4일,0,0.50,1.0
박정배,2018,04-07,삼성,W 4:3,0,0,4,4,0,0,0,0,0,0,0,1,12,0.111,0.000,0.000,0.00,1.02,0.252,,3일,0,0.38,1.1
박정배,2018,04-12,@LG,L 4:5,3,3,6,6,4,1,0,0,0,0,0,0,17,0.250,0.667,1.500,4.50,-2.70,-0.909,L,5일,0,1.00,0.2
박정배,2018,04-15,NC,W 3:2,0,0,4,4,1,0,0,0,0,0,0,1,22,0.250,0.250,0.500,3.86,0.56,0.162,SV,3일,0,1.00,1.0
박정배,2018,04-17,@KT,W 9:5,0,0,3,3,0,0,0,0,0,0,0,0,10,0.226,0.000,0.000,3.38,0.56,0.018,,2일,0,0.88,1.0
박정배,2018,04-19,@KT,W 6:5,0,0,5,4,1,0,0,0,1,1,0,1,23,0.229,0.400,0.650,3.00,0.56,0.200,SV,2일,0,1.00,1.0
박정배,2018,04-22,@롯데,W 10:4,0,0,4,3,0,0,0,0,1,0,0,2,20,0.211,0.250,0.250,2.70,0.56,0.003,,3일,0,1.00,1.0
박정배,2018,04-25,두산,W 7:6,3,3,6,6,3,1,0,2,0,0,0,1,16,0.250,0.500,2.167,4.91,-2.45,-0.726,,3일,0,1.18,1.0
박정배,2018,04-26,두산,W 5:4,0,0,3,3,0,0,0,0,0,0,0,1,12,0.234,0.000,0.000,4.50,0.56,0.162,SV,1일,0,1.08,1.0
박정배,2018,04-28,@넥센,W 6:4,0,0,3,3,0,0,0,0,0,0,0,2,14,0.220,0.000,0.000,4.15,0.56,0.091,SV,2일,0,1.00,1.0
박정배,2018,05-02,@삼성,W 7:4,0,0,3,3,0,0,0,0,0,0,0,0,8,0.208,0.000,0.000,3.86,0.56,0.041,SV,4일,0,0.93,1.0
박정배,2018,05-04,롯데,W 5:4,1,1,4,4,1,0,0,1,0,0,0,1,12,0.211,0.250,1.250,4.20,-0.45,0.074,SV,2일,0,0.93,1.0
박정배,2018,05-05,롯데,L 1:8,3,3,4,2,1,1,0,0,1,0,0,0,14,0.220,0.667,1.667,5.87,-2.89,-0.282,,1일,0,1.04,0.1
박정배,2018,05-09,@NC,W 6:5,1,1,5,4,1,0,0,1,1,0,0,1,18,0.222,0.400,1.400,6.06,-0.95,0.104,SV,4일,0,1.10,1.0
박정배,2018,05-15,@두산,L 4:6,3,3,5,5,3,1,0,1,0,0,0,1,17,0.250,0.600,2.000,7.41,-2.56,-0.800,L,6일,0,1.24,0.2
박정배,2018,05-20,@KIA,L 3:8,0,0,3,2,0,0,0,0,1,0,0,0,12,0.243,0.333,0.333,7.00,0.56,0.006,,5일,0,1.22,1.0
박정배,2018,05-22,넥센,L 4:10,1,1,5,5,2,1,0,0,0,0,0,1,13,0.253,0.400,1.000,7.11,-0.45,-0.003,,2일,0,1.26,1.0
박정배,2018,05-26,한화,W 7:2,0,0,4,4,1,0,0,0,0,0,0,2,13,0.253,0.250,0.500,6.75,0.56,0.012,,4일,0,1.25,1.0
박정배,2018,05-27,한화,L 5:7,0,0,1,1,0,0,0,0,0,0,0,1,6,0.250,0.000,0.000,6.64,0.34,0.078,,1일,0,1.23,0.1
박정배,2018,06-01,KT,W 8:1,0,0,5,4,1,0,0,0,1,0,0,1,22,0.250,0.400,0.650,6.33,0.56,0.001,,5일,0,1.27,1.0
박정배,2018,06-03,KT,L 3:6,0,0,3,3,0,0,0,0,0,0,0,0,4,0.241,0.000,0.000,6.04,0.56,0.008,,2일,0,1.21,1.0
박정배,2018,06-06,삼성,W 7:2,0,0,4,4,1,1,0,0,0,0,0,0,16,0.242,0.250,0.750,5.79,0.56,0.017,,3일,0,1.20,1.0
박정배,2018,06-09,@한화,W 4:2,0,0,3,3,0,0,0,0,0,0,0,0,11,0.234,0.000,0.000,5.55,0.56,0.088,,3일,0,1.15,1.0
박정배,2018,06-10,@한화,L 3:4,0,0,4,3,0,0,0,0,0,0,1,2,13,0.227,0.250,0.250,5.33,0.56,0.031,,1일,0,1.11,1.0
박정배,2018,06-12,@KIA,L 0:4,0,0,4,3,0,0,0,0,1,0,0,1,16,0.220,0.250,0.250,5.13,0.56,0.043,,2일,0,1.10,1.0
박정배,2018,06-17,롯데,L 7:13,1,1,5,5,2,0,0,1,0,0,0,1,17,0.229,0.400,1.400,5.27,-0.45,-0.002,,5일,0,1.13,1.0
박정배,2018,06-20,@삼성,L 4:6,0,0,2,2,0,0,0,0,0,0,0,0,7,0.224,0.000,0.000,5.14,0.30,0.008,,3일,0,1.11,0.2
박정배,2018,06-21,@삼성,W 5:1,0,0,4,4,1,0,0,0,0,0,0,2,19,0.225,0.250,0.500,4.97,0.56,0.055,,1일,0,1.10,1.0
박정배,2018,06-22,@KT,W 13:9,0,0,4,4,1,1,0,0,0,0,0,2,13,0.226,0.250,0.750,4.80,0.56,0.089,,1일,0,1.10,1.0
박정배,2018,06-27,KIA,W 3:2,1,1,4,4,1,0,0,1,0,0,0,1,14,0.227,0.250,1.250,4.94,-0.45,-0.141,W,5일,0,1.10,1.0
박정배,2018,08-04,@LG,W 9:2,0,0,3,3,1,0,0,0,0,0,0,0,12,0.230,0.333,0.667,4.78,0.56,0.011,,7+일,0,1.09,1.0
박정배,2018,08-07,삼성,L 8:10,0,0,3,2,0,0,0,0,1,0,0,0,11,0.226,0.333,0.333,4.64,0.56,0.028,,3일,0,1.09,1.0
박정배,2018,08-09,@NC,L 3:6,0,0,4,3,1,1,0,0,1,1,0,2,11,0.228,0.500,1.167,4.54,0.24,-0.008,,2일,0,1.13,0.2
박정배,2018,08-11,KIA,L 4:18,5,5,9,8,5,3,0,2,0,0,1,1,28,0.252,0.667,2.417,5.71,-4.45,0.000,,2일,0,1.24,1.0
박정배,2018,08-14,@두산,L 3:6,0,0,3,3,0,0,0,0,0,0,0,1,15,0.246,0.000,0.000,5.55,0.56,0.006,,3일,0,1.21,1.0
박정배,2018,09-04,넥센,L 3:7,0,0,3,3,0,0,0,0,0,0,0,0,7,0.241,0.000,0.000,5.40,0.56,0.015,,7+일,0,1.17,1.0
박정배,2018,09-06,@롯데,L 0:10,2,2,3,3,3,2,0,0,0,0,0,0,6,0.257,1.000,2.667,5.89,-3.48,-0.019,,2일,0,1.25,0.0
박정배,2018,09-11,KT,W 4:3,0,0,1,1,0,0,0,0,0,0,0,1,5,0.255,0.000,0.000,5.84,0.47,0.015,,5일,0,1.24,0.1
박정배,2018,09-15,@KIA,L 2:4,1,0,3,3,2,0,0,0,0,0,0,1,12,0.264,0.667,1.333,5.79,-3.19,-0.699,,4일,0,1.29,0.1
박정배,2018,09-18,@KT,L 5:9,1,1,5,5,2,0,0,0,0,0,0,0,16,0.268,0.400,0.800,5.87,-0.23,-0.116,,3일,0,1.30,1.0
박정배,2018,09-22,@넥센,L 2:8,0,0,4,4,1,0,0,0,0,0,0,2,21,0.268,0.250,0.500,5.72,0.56,0.001,,4일,0,1.30,1.0
박정배,2018,09-28,NC,W 6:2,0,0,4,3,1,0,0,0,1,0,0,1,14,0.269,0.500,0.833,5.58,0.56,0.009,,6일,0,1.31,1.0
박정배,2018,09-29,@삼성,L 3:9,1,1,4,3,2,1,0,0,1,0,0,1,25,0.276,0.750,1.750,5.75,-1.69,-0.231,L,1일,0,1.38,0.1
박정배,2018,10-04,KIA,L 3:7,0,0,6,6,0,0,0,0,0,0,0,2,23,0.266,0.000,0.000,5.48,1.11,0.051,,5일,0,1.31,2.0
박정배,2018,10-06,KIA,L 4:8,0,0,10,8,3,0,0,0,1,0,0,2,30,0.271,0.400,0.775,5.28,0.21,-0.044,,2일,0,1.35,1.2
