Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
冠林全,2018,03-24,@池季,L 3:6,0,0,2,2,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.00,0.97,0.016,,7+老,0,0.00,0.2
冠林全,2018,03-25,@池季,W 4:1,0,0,1,1,0,0,0,0,0,0,0,1,6,0.000,0.000,0.000,0.00,0.18,0.016,,1老,0,0.00,0.1
冠林全,2018,03-28,@NC,W 6:2,0,0,3,2,0,0,0,0,1,0,0,1,17,0.000,0.333,0.333,0.00,0.73,0.035,,3老,0,0.60,0.2
冠林全,2018,03-29,@NC,L 1:4,1,1,1,0,0,0,0,0,1,0,0,0,4,0.000,1.000,0.000,5.40,-0.41,-0.065,,1老,0,1.20,0.0
冠林全,2018,03-31,SK,L 1:12,0,0,3,1,0,0,0,0,1,0,1,0,15,0.000,0.667,0.667,4.50,0.39,0.001,,2老,0,1.50,0.1
冠林全,2018,04-03,吩单,W 17:11,1,1,5,4,2,0,0,1,1,0,0,1,17,0.200,0.600,1.850,6.75,-0.91,-0.006,,3老,0,2.25,0.2
冠林全,2018,04-07,@KT,L 2:10,2,2,3,2,1,0,0,0,1,0,0,0,14,0.250,0.667,1.167,12.00,-0.55,-0.023,,4老,0,2.67,0.1
冠林全,2018,04-12,KIA,W 15:4,0,0,3,3,0,0,0,0,0,0,0,1,14,0.200,0.000,0.000,9.00,0.56,0.000,,5老,0,2.00,1.0
冠林全,2018,04-14,伙己,W 14:2,0,0,5,3,0,0,0,0,2,0,0,2,22,0.167,0.400,0.400,7.20,0.21,0.004,,2老,0,2.00,1.0
冠林全,2018,04-15,伙己,W 7:4,0,0,2,2,1,0,0,0,0,0,0,0,8,0.200,0.500,1.000,6.75,-0.02,-0.003,,1老,0,2.06,0.1
冠林全,2018,04-18,@滴魂,L 4:5,1,1,2,2,1,0,0,0,0,0,0,1,8,0.227,0.500,1.000,7.94,-0.02,-0.008,,3老,0,2.12,0.1
冠林全,2018,04-19,@滴魂,L 2:5,1,1,1,1,1,0,0,0,0,0,0,0,5,0.261,1.000,2.000,9.53,-0.40,-0.027,,1老,0,2.29,0.0
冠林全,2018,04-21,池季,L 3:4,0,0,1,1,0,0,0,0,0,0,0,0,5,0.250,0.000,0.000,9.00,0.32,0.021,,2老,0,2.17,0.1
冠林全,2018,04-22,池季,L 1:10,0,0,8,8,2,0,0,0,0,0,0,3,31,0.250,0.250,0.500,6.75,1.11,0.000,,1老,0,1.88,2.0
冠林全,2018,05-02,LG,W 4:3,0,0,3,3,0,0,0,0,0,0,0,0,11,0.229,0.000,0.000,6.00,0.69,0.053,,7+老,0,1.67,1.0
冠林全,2018,05-04,@伙己,W 9:6,0,0,3,3,0,0,0,0,0,0,0,2,23,0.211,0.000,0.000,5.40,0.56,0.031,W,2老,0,1.50,1.0
冠林全,2018,05-08,@池季,W 10:9,0,0,4,2,0,0,0,0,1,0,1,1,21,0.200,0.500,0.500,5.06,0.51,0.031,,4老,0,1.50,0.2
冠林全,2018,05-11,NC,L 2:4,2,2,5,4,2,0,0,1,0,0,0,1,14,0.227,0.500,1.750,6.17,-1.45,-0.409,L,3老,0,1.54,1.0
冠林全,2018,05-18,@LG,W 4:3,0,0,3,3,1,0,0,0,0,0,0,2,19,0.234,0.333,0.667,5.68,0.56,0.088,,7老,0,1.50,1.0
冠林全,2018,05-20,@LG,L 2:6,2,2,6,6,2,0,0,2,0,0,0,0,30,0.245,0.333,1.667,6.59,-1.45,-0.040,,2老,0,1.54,1.0
冠林全,2018,08-09,池季,L 5:16,8,8,23,21,12,2,0,0,2,0,0,0,72,0.338,0.609,1.275,9.72,-6.34,-0.005,,7+老,0,2.10,3.0
冠林全,2018,09-14,SK,L 5:7,0,0,7,7,1,0,0,0,0,0,0,2,35,0.321,0.143,0.286,8.68,1.11,0.008,,7+老,0,1.93,2.0
冠林全,2018,10-23,@池季,L 2:5,3,2,17,11,2,0,0,0,3,0,2,2,63,0.182,0.438,0.619,4.91,-1.32,-0.224,L,7+老,1,1.36,3.2
