Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
박준표,2019,05-23,롯데,W 3:1,0,0,2,2,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000,0.00,0.57,0.082,,7+일,0,0.00,0.2
박준표,2019,05-24,KT,W 7:5,1,0,5,5,1,0,0,0,0,0,0,1,16,0.143,0.200,0.400,0.00,-0.33,0.016,,1일,0,0.50,1.1
박준표,2019,05-26,KT,W 17:5,0,0,4,4,1,0,0,0,0,0,0,1,13,0.182,0.250,0.500,0.00,0.56,0.003,,2일,0,0.67,1.0
박준표,2019,05-31,키움,W 3:2,0,0,2,2,1,0,0,0,0,0,0,0,6,0.231,0.500,1.000,0.00,-0.02,-0.005,,5일,0,0.90,0.1
박준표,2019,06-01,키움,L 0:4,0,0,2,1,0,0,0,0,0,0,1,0,10,0.214,0.500,0.500,0.00,-0.02,-0.001,,1일,0,0.82,0.1
박준표,2019,06-02,키움,L 5:6,0,0,6,6,0,0,0,0,0,0,0,2,27,0.150,0.000,0.000,0.00,1.11,0.035,,1일,0,0.53,2.0
박준표,2019,06-04,두산,L 2:7,1,1,4,3,1,0,0,0,1,0,0,0,19,0.174,0.500,0.833,1.42,0.22,0.011,,2일,0,0.79,0.2
박준표,2019,06-06,두산,W 12:3,1,1,5,5,2,1,0,1,0,0,0,1,16,0.214,0.400,1.600,2.45,-0.45,0.000,,2일,0,0.95,1.0
박준표,2019,06-08,@NC,L 4:5,0,0,5,4,1,1,0,0,1,0,0,0,24,0.219,0.400,0.900,2.16,0.56,0.014,,2일,0,1.08,1.0
박준표,2019,06-09,@NC,L 3:4,0,0,4,2,0,0,0,0,1,0,0,1,16,0.206,0.333,0.333,1.93,0.68,0.052,,1일,0,1.07,1.0
박준표,2019,06-12,삼성,W 7:3,0,0,3,3,0,0,0,0,0,0,0,1,10,0.189,0.000,0.000,1.74,0.56,0.028,,3일,0,0.97,1.0
박준표,2019,06-13,삼성,W 3:2,0,0,5,4,1,0,0,0,0,0,1,1,17,0.195,0.400,0.650,1.54,1.19,0.097,W,1일,0,0.94,1.1
박준표,2019,06-16,@롯데,L 5:10,0,0,2,2,0,0,0,0,0,0,0,1,9,0.186,0.000,0.000,1.46,0.73,0.009,,3일,0,0.89,0.2
