Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
박지훈,2017,04-01,@삼성,W 9:7,0,0,3,3,0,0,0,0,0,0,0,2,12,0.000,0.000,0.000,0.00,0.56,0.003,,7+일,0,0.00,1.0
박지훈,2017,04-04,SK,W 6:1,0,0,3,3,0,0,0,0,0,0,0,0,14,0.000,0.000,0.000,0.00,0.56,0.006,,3일,0,0.00,1.0
박지훈,2017,04-08,한화,L 3:4,0,0,1,0,0,0,0,0,1,0,0,0,4,0.000,1.000,0.000,0.00,-0.12,-0.017,,4일,0,0.50,0.0
박지훈,2017,04-11,@두산,L 4:16,1,1,4,3,1,0,1,0,0,0,0,0,11,0.111,0.250,1.250,3.00,-0.45,0.000,,3일,0,0.67,1.0
박지훈,2017,04-12,@두산,W 8:4,1,1,3,3,2,1,0,0,0,0,0,0,9,0.250,0.667,1.667,4.91,-0.30,-0.032,,1일,0,1.09,0.2
박지훈,2017,04-16,넥센,W 7:6,0,0,7,6,1,0,0,0,1,0,0,2,23,0.222,0.286,0.452,3.38,0.80,0.049,W,4일,0,1.13,1.2
박지훈,2017,04-19,@kt,L 1:3,0,0,4,4,0,0,0,0,0,0,0,1,21,0.182,0.000,0.000,2.70,1.02,0.057,,3일,0,0.90,1.1
박지훈,2017,04-22,@LG,W 5:4,0,0,4,4,1,0,0,0,0,0,0,1,18,0.192,0.250,0.500,2.35,0.56,0.051,,3일,0,0.91,1.0
박지훈,2017,04-25,삼성,W 11:3,0,0,4,4,2,0,0,0,0,0,0,1,13,0.233,0.500,1.000,2.08,0.56,0.046,,3일,0,1.04,1.0
박지훈,2017,04-28,NC,W 9:3,0,0,2,1,0,0,0,0,1,0,0,0,7,0.226,0.500,0.500,2.00,0.25,0.007,,3일,0,1.11,0.1
박지훈,2017,05-03,@넥센,W 2:1,0,0,2,2,1,0,0,0,0,0,0,0,10,0.242,0.500,1.000,1.93,0.11,0.015,,5일,0,1.18,0.1
박지훈,2017,05-04,@넥센,L 1:9,3,2,7,5,2,0,0,0,1,0,1,1,22,0.263,0.571,0.971,3.60,-3.76,-0.075,,1일,0,1.40,0.2
박지훈,2017,05-10,kt,L 0:3,0,0,7,6,1,0,0,0,1,0,0,1,29,0.250,0.286,0.452,3.00,1.11,0.063,,6일,0,1.33,2.0
박지훈,2017,05-14,@SK,L 3:4,1,1,1,1,1,0,0,1,0,0,0,0,1,0.267,1.000,5.000,3.75,-1.00,-0.363,L,4일,0,1.42,0.0
박지훈,2017,05-17,LG,W 8:3,0,0,3,3,0,0,0,0,0,0,0,0,11,0.250,0.000,0.000,3.46,0.56,0.028,,3일,0,1.31,1.0
박지훈,2017,05-18,LG,W 9:4,0,0,1,1,1,0,0,0,0,0,0,0,8,0.265,1.000,2.000,3.46,-0.40,-0.007,,1일,0,1.38,0.0
박지훈,2017,05-23,@한화,W 13:8,4,4,5,4,3,0,0,0,1,0,0,1,16,0.302,0.800,1.550,6.08,-2.91,-0.005,,5일,0,1.65,0.1
박지훈,2017,05-27,롯데,W 15:7,2,2,5,2,0,0,0,0,3,0,0,0,27,0.291,0.600,0.600,7.07,-1.08,-0.002,,4일,0,1.79,0.2
