Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
박진우,2020,05-06,@삼성,W 4:3,0,0,3,3,0,0,0,0,0,0,0,1,16,0.000,0.000,0.000,0.00,0.56,0.074,,7+일,0,0.00,1.0
박진우,2020,05-08,LG,W 13:5,0,0,3,3,1,1,0,0,0,0,0,0,9,0.167,0.333,1.000,0.00,-0.53,0.000,,2일,0,0.60,0.2
박진우,2020,05-10,LG,L 8:10,0,0,2,2,0,0,0,0,0,0,0,1,13,0.125,0.000,0.000,0.00,0.65,0.045,,2일,0,0.43,0.2
박진우,2020,05-12,KT,W 7:6,0,0,2,2,0,0,0,0,0,0,0,1,6,0.100,0.000,0.000,0.00,0.30,0.021,,2일,0,0.33,0.2
박진우,2020,05-13,KT,W 5:4,1,1,5,4,1,0,0,1,0,0,0,0,27,0.143,0.250,1.250,1.93,0.01,-0.141,,1일,0,0.43,1.2
박진우,2020,05-15,@SK,W 6:2,0,0,3,1,0,0,0,0,1,0,0,0,14,0.133,0.500,0.500,1.69,0.08,-0.004,,2일,0,0.56,0.2
박진우,2020,05-16,@SK,W 2:1,0,0,2,1,0,0,0,0,0,0,1,1,10,0.125,0.500,0.500,1.59,0.26,0.075,,1일,0,0.53,0.1
박진우,2020,05-19,@두산,W 5:4,0,0,3,3,0,0,0,0,0,0,0,0,12,0.105,0.000,0.000,1.35,0.56,0.037,,3일,0,0.45,1.0
박진우,2020,05-20,@두산,L 1:2,0,0,2,0,0,0,0,0,1,1,0,0,1,0.105,1.000,0.000,1.29,-0.02,0.003,,1일,0,0.57,0.1
박진우,2020,05-24,한화,W 10:5,0,0,4,2,0,0,0,0,1,0,0,1,24,0.095,0.250,0.250,1.13,0.90,0.169,,4일,0,0.63,1.0
박진우,2020,05-26,키움,W 7:2,1,1,5,3,2,0,0,0,2,0,0,0,22,0.167,0.800,1.467,2.16,-2.10,-0.249,,2일,0,1.08,0.1
박진우,2020,05-28,키움,W 9:6,1,1,4,4,2,1,0,0,0,0,0,0,14,0.214,0.500,1.250,3.00,-1.05,-0.012,,2일,0,1.22,0.2
박진우,2020,05-31,@삼성,W 18:7,1,0,8,7,2,0,0,0,0,0,0,0,26,0.229,0.250,0.536,2.45,0.46,0.026,,3일,0,1.18,2.0
박진우,2020,06-03,SK,W 8:6,0,0,11,11,3,1,0,0,0,0,0,2,37,0.239,0.273,0.636,1.98,0.45,0.050,W,3일,0,1.17,2.2
박진우,2020,06-07,@한화,W 8:2,1,1,5,5,3,0,0,0,0,0,0,0,15,0.275,0.600,1.200,2.51,-0.70,-0.001,,4일,0,1.33,0.2
박진우,2020,06-09,두산,W 12:8,2,2,4,3,1,1,0,0,1,0,0,1,12,0.278,0.500,1.167,3.60,-0.79,-0.035,,2일,0,1.40,0.2
박진우,2020,06-11,두산,W 7:5,0,0,2,2,2,0,0,0,0,0,0,0,6,0.304,1.000,2.000,3.60,-1.02,-0.047,,2일,0,1.53,0.0
박진우,2020,06-13,키움,L 5:18,4,4,9,9,6,0,0,0,0,0,0,1,30,0.354,0.667,1.333,5.63,-3.45,0.000,,2일,0,1.81,1.0
박진우,2020,06-17,@KIA,L 6:7,0,0,3,3,0,0,0,0,0,0,0,0,10,0.338,0.000,0.000,5.29,0.56,0.031,,4일,0,1.71,1.0
박진우,2020,06-20,한화,L 3:4,0,0,3,3,0,0,0,0,0,0,0,0,16,0.324,0.000,0.000,5.00,0.56,0.038,,3일,0,1.61,1.0
박진우,2020,06-21,한화,W 9:7,1,1,2,2,1,0,0,0,0,0,0,0,4,0.329,0.500,1.000,5.40,-0.02,-0.001,,1일,0,1.64,0.1
박진우,2020,06-25,@KT,L 6:19,0,0,3,3,0,0,0,0,0,0,0,0,6,0.316,0.000,0.000,5.12,0.56,0.010,,4일,0,1.55,1.0
