Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
박진형,2019,05-23,@KIA,L 1:3,1,1,5,5,1,0,0,1,0,0,0,1,20,0.200,0.200,1.000,6.75,-0.33,-0.089,,7+일,0,0.75,1.1
박진형,2019,05-25,LG,L 5:6,2,2,3,2,1,0,0,0,1,0,0,1,13,0.286,0.667,1.167,16.20,-0.17,-0.020,,2일,0,1.80,0.1
박진형,2019,05-28,@NC,W 9:4,0,0,1,1,0,0,0,0,0,0,0,0,5,0.250,0.000,0.000,13.50,0.51,0.060,,3일,0,1.50,0.1
박진형,2019,05-31,삼성,W 6:1,0,0,4,4,1,0,0,0,0,0,0,1,14,0.250,0.250,0.500,9.00,0.56,0.006,,3일,0,1.33,1.0
박진형,2019,06-01,삼성,W 5:2,0,0,2,2,0,0,0,0,0,0,0,1,5,0.214,0.000,0.000,7.36,1.65,0.165,SV,1일,0,1.09,0.2
박진형,2019,06-04,한화,W 3:2,0,0,2,2,1,1,0,0,0,0,0,0,8,0.250,0.500,1.500,6.75,-0.17,-0.058,,3일,0,1.25,0.1
박진형,2019,06-06,한화,L 3:4,0,0,6,5,1,0,0,0,0,0,0,1,21,0.238,0.200,0.400,4.76,0.99,0.057,,2일,0,1.06,1.2
박진형,2019,06-09,@KT,L 0:2,0,0,3,2,1,0,0,0,0,0,0,0,11,0.261,0.333,0.833,4.05,-0.05,-0.038,,3일,0,1.05,1.0
박진형,2019,06-12,@LG,L 3:4,0,0,9,6,2,0,0,0,2,2,0,0,26,0.276,0.500,0.833,3.24,0.86,0.180,,3일,0,1.32,1.2
박진형,2019,06-15,KIA,W 7:0,0,0,4,4,1,0,0,0,0,0,0,0,9,0.273,0.250,0.500,2.89,0.69,0.087,,3일,0,1.29,1.0
박진형,2019,06-19,@한화,W 7:5,0,0,4,4,0,0,0,0,0,0,0,2,19,0.243,0.000,0.000,2.53,0.67,0.126,W,4일,0,1.13,1.1
박진형,2019,06-20,@한화,L 7:10,2,2,2,1,1,0,0,1,1,1,0,0,5,0.263,1.000,5.000,4.22,-3.58,-0.800,,1일,0,1.31,0.0
박진형,2019,06-23,키움,W 2:1,1,1,3,3,1,0,0,1,0,0,0,1,11,0.268,0.333,1.667,4.76,-0.70,0.035,SV,3일,0,1.32,0.2
박진형,2019,06-25,KT,D 8:8,2,2,6,5,1,0,0,1,1,0,0,2,27,0.261,0.333,1.133,5.68,-0.59,-0.172,,2일,0,1.34,1.1
박진형,2019,06-29,@두산,W 4:0,0,0,4,4,0,0,0,0,0,0,0,2,19,0.240,0.000,0.000,5.14,1.19,0.052,SV,4일,0,1.21,1.1
박진형,2019,06-30,@두산,W 4:0,0,0,3,3,0,0,0,0,0,0,0,1,5,0.226,0.000,0.000,4.80,0.56,0.018,,1일,0,1.13,1.0
박진형,2019,07-04,@SK,L 7:9,0,0,3,3,0,0,0,0,0,0,0,1,10,0.214,0.000,0.000,4.50,0.56,0.014,,4일,0,1.06,1.0
박진형,2019,07-09,NC,W 4:1,0,0,6,6,2,0,0,0,0,0,0,1,28,0.226,0.333,0.667,4.15,-0.19,-0.171,W,5일,0,1.10,1.1
박진형,2019,07-12,두산,W 2:1,0,0,1,1,0,0,0,0,0,0,0,1,8,0.222,0.000,0.000,4.08,0.25,0.079,SV,3일,0,1.08,0.1
박진형,2019,07-17,@KIA,L 1:3,0,0,5,5,2,0,0,0,0,0,0,3,18,0.235,0.400,0.800,3.86,0.56,0.014,,5일,0,1.13,1.0
박진형,2019,07-18,@KIA,W 6:3,0,0,3,3,1,0,0,0,0,0,0,0,17,0.239,0.333,0.667,3.66,0.56,0.041,SV,1일,0,1.12,1.0
박진형,2019,07-26,SK,L 6:8,0,0,1,1,0,0,0,0,0,0,0,1,6,0.236,0.000,0.000,3.54,0.24,-0.005,,7+일,0,1.08,0.2
박진형,2019,07-28,SK,L 0:3,0,0,5,5,1,0,0,0,0,0,0,2,22,0.234,0.200,0.400,3.32,1.19,0.038,,2일,0,1.06,1.1
박진형,2019,07-31,@삼성,W 8:4,1,1,6,6,2,0,0,1,0,0,0,2,20,0.241,0.333,1.167,3.52,0.01,0.018,,3일,0,1.09,1.1
박진형,2019,08-04,두산,W 9:4,0,0,4,4,1,0,0,0,0,0,0,2,16,0.241,0.250,0.500,3.38,0.56,0.006,,4일,0,1.08,1.0
박진형,2019,08-09,@삼성,W 6:3,2,1,9,7,2,1,0,0,0,0,0,2,29,0.245,0.250,0.679,3.46,-0.89,0.005,,5일,0,1.08,2.0
박진형,2019,08-13,KT,W 6:5,0,0,4,4,1,0,0,0,0,0,0,2,13,0.245,0.250,0.500,3.33,0.56,0.074,,4일,0,1.07,1.0
박진형,2019,08-16,한화,L 1:2,0,0,3,3,0,0,0,0,0,0,0,1,13,0.238,0.000,0.000,3.21,0.56,0.038,,3일,0,1.04,1.0
박진형,2019,08-18,@두산,L 3:11,0,0,3,3,0,0,0,0,0,0,0,0,5,0.231,0.000,0.000,3.10,0.56,0.000,,2일,0,1.00,1.0
박진형,2019,08-21,@SK,L 4:5,3,3,7,7,4,1,0,0,0,0,0,1,31,0.252,0.571,1.286,3.90,-2.16,-0.157,,3일,0,1.10,1.0
박진형,2019,08-23,@KT,D 3:3,3,3,6,6,3,0,0,1,0,0,0,1,16,0.265,0.500,1.500,4.65,-2.45,-0.416,,2일,0,1.16,1.0
박진형,2019,08-25,NC,W 5:4,0,0,8,6,1,0,0,0,2,0,0,1,35,0.260,0.375,0.542,4.36,1.11,0.055,,2일,0,1.18,2.0
박진형,2019,08-28,LG,W 4:3,0,0,2,2,1,0,0,0,0,0,0,1,7,0.264,0.500,1.000,4.32,-0.66,-0.056,,3일,0,1.20,0.1
박진형,2019,08-29,@키움,L 0:4,0,0,6,5,1,0,0,0,1,0,0,0,25,0.262,0.333,0.533,4.15,1.37,0.063,,1일,0,1.21,1.1
박진형,2019,08-31,@KIA,L 2:4,0,0,4,3,0,0,0,0,1,0,0,2,21,0.256,0.250,0.250,4.04,0.56,0.014,,2일,0,1.21,1.0
