Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
박치국,2020,05-07,@LG,W 9:3,0,0,3,3,0,0,0,0,0,0,0,0,8,0.000,0.000,0.000,0.00,0.56,0.003,,7+일,0,0.00,1.0
박치국,2020,05-10,KT,W 13:12,0,0,3,1,1,0,0,0,1,0,0,0,12,0.250,0.667,1.667,0.00,-1.23,-0.066,,3일,0,1.50,0.1
박치국,2020,05-12,@롯데,W 11:6,1,1,6,4,1,0,0,0,2,0,0,0,26,0.250,0.500,0.750,3.86,-0.45,0.003,,2일,0,2.14,1.0
박치국,2020,05-15,@KIA,W 13:4,2,0,6,6,2,0,0,0,0,0,0,0,24,0.286,0.333,0.667,2.70,-1.45,-0.002,,3일,0,2.10,1.0
박치국,2020,05-16,@KIA,L 4:13,2,2,11,9,4,1,0,0,2,0,0,1,40,0.348,0.546,1.101,5.06,-0.89,-0.008,,1일,0,2.44,2.0
박치국,2020,05-19,NC,L 4:5,0,0,8,7,1,0,0,0,1,1,0,2,32,0.300,0.250,0.393,3.68,1.11,0.053,,3일,0,2.05,2.0
박치국,2020,05-21,NC,L 6:12,0,0,1,0,0,0,0,0,1,0,0,0,5,0.300,1.000,0.000,3.68,-0.12,-0.023,,2일,0,2.18,0.0
박치국,2020,05-22,@삼성,W 12:7,2,2,4,2,0,0,0,0,2,0,0,0,24,0.281,0.500,0.500,5.63,-0.72,-0.029,,1일,0,2.25,0.2
박치국,2020,05-24,@삼성,L 0:13,0,0,4,4,1,0,0,0,0,0,0,1,14,0.278,0.250,0.500,5.00,0.56,0.003,,2일,0,2.11,1.0
박치국,2020,05-26,SK,W 6:4,0,0,3,3,1,0,0,0,0,0,0,2,12,0.282,0.333,0.667,4.66,0.30,0.015,,2일,0,2.07,0.2
박치국,2020,05-27,SK,W 4:2,1,1,2,1,1,0,0,0,1,0,0,0,5,0.300,1.000,2.000,5.59,-1.02,-0.117,,1일,0,2.28,0.0
박치국,2020,05-31,롯데,L 3:8,1,0,15,11,2,0,0,0,3,0,1,2,63,0.275,0.400,0.582,4.26,0.53,0.106,,4일,0,2.13,3.0
박치국,2020,06-04,@KT,W 14:8,0,0,4,4,1,0,0,0,0,0,0,0,8,0.273,0.250,0.500,3.95,0.56,0.001,,4일,0,2.05,1.0
박치국,2020,06-05,KIA,W 5:1,0,0,4,3,1,1,0,0,0,0,0,1,17,0.276,0.333,1.000,3.68,0.56,0.088,W,1일,0,1.98,1.0
박치국,2020,06-06,KIA,W 4:3,0,0,3,2,0,0,0,0,1,0,0,0,10,0.267,0.333,0.333,3.45,0.56,0.137,W,1일,0,1.91,1.0
박치국,2020,06-10,@NC,W 9:1,0,0,3,3,0,0,0,0,0,0,0,1,11,0.254,0.000,0.000,3.24,0.95,0.007,,4일,0,1.80,1.0
박치국,2020,06-12,@한화,W 5:2,0,0,4,4,1,0,0,0,0,0,0,0,13,0.254,0.250,0.500,3.06,0.56,0.034,,2일,0,1.75,1.0
박치국,2020,06-13,@한화,L 6:7,2,2,6,4,0,0,0,0,1,0,1,2,23,0.239,0.333,0.333,3.79,0.14,0.008,,1일,0,1.68,1.1
박치국,2020,06-16,삼성,L 3:4,0,0,5,4,0,0,0,0,0,0,0,3,21,0.227,0.000,0.000,3.48,0.80,-0.015,,3일,0,1.55,1.2
박치국,2020,06-18,삼성,W 7:3,0,0,2,2,0,0,0,0,0,0,0,0,7,0.221,0.000,0.000,3.32,1.57,0.160,,2일,0,1.48,1.0
박치국,2020,06-20,@LG,W 8:2,0,0,4,3,1,0,0,0,1,0,0,0,20,0.225,0.500,0.833,3.22,-0.10,-0.022,,2일,0,1.52,0.2
박치국,2020,06-26,NC,L 3:9,2,1,2,0,0,0,0,0,0,0,1,0,8,0.225,1.000,0.000,3.63,-1.63,-0.381,L,6일,0,1.52,0.0
박치국,2020,07-08,LG,L 5:8,0,0,7,7,1,1,0,0,0,0,0,3,32,0.218,0.143,0.429,3.33,1.11,0.020,,7+일,0,1.44,2.0
박치국,2020,07-11,@롯데,L 4:5,0,0,5,4,1,0,0,0,1,1,0,1,18,0.220,0.400,0.650,3.20,0.56,0.012,,3일,0,1.46,1.0
박치국,2020,07-16,SK,W 4:2,1,0,17,16,4,0,0,0,1,0,0,2,56,0.224,0.294,0.544,2.76,1.22,0.142,W,5일,0,1.43,4.0
박치국,2020,07-24,LG,L 1:8,2,2,10,9,5,0,1,0,1,0,0,0,40,0.250,0.600,1.378,3.19,-1.28,-0.013,,7+일,0,1.55,1.2
박치국,2020,07-30,키움,L 5:8,0,0,6,6,0,0,0,0,0,0,0,1,18,0.238,0.000,0.000,3.00,1.11,0.063,,6일,0,1.45,2.0
박치국,2020,08-01,@NC,W 12:10,2,2,8,7,2,1,0,1,1,0,0,3,32,0.240,0.375,1.232,3.38,-1.23,0.004,,2일,0,1.47,1.2
박치국,2020,08-04,삼성,L 3:6,1,1,16,15,3,1,0,0,1,1,0,4,51,0.236,0.250,0.517,3.26,1.62,0.083,,3일,0,1.42,4.0
박치국,2020,08-07,롯데,L 4:8,3,1,7,6,2,1,0,0,1,0,0,2,29,0.240,0.429,0.929,3.40,-1.94,-0.146,,3일,0,1.46,1.0
박치국,2020,08-11,@삼성,W 6:1,0,0,3,3,0,0,0,0,0,0,0,1,20,0.235,0.000,0.000,3.32,0.56,0.051,,4일,0,1.43,1.0
박치국,2020,08-13,@삼성,L 2:3,0,0,4,3,0,0,0,0,0,0,1,3,28,0.231,0.250,0.250,3.24,0.56,0.043,,2일,0,1.39,1.0
박치국,2020,08-14,KT,L 3:5,2,1,5,4,1,1,0,0,1,0,0,0,15,0.231,0.400,0.900,3.38,-1.45,-0.409,L,1일,0,1.41,1.0
박치국,2020,08-16,KT,L 1:4,0,0,2,2,1,1,0,0,0,0,0,1,4,0.235,0.500,1.500,3.35,0.25,0.010,,2일,0,1.42,0.1
박치국,2020,08-20,롯데,L 5:6,0,0,5,3,1,0,0,0,2,1,0,1,18,0.236,0.600,0.933,3.27,0.57,0.006,,4일,0,1.45,1.0
