Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
박희수,2020,05-16,NC,L 1:2,0,0,3,3,0,0,0,0,0,0,0,1,10,0.000,0.000,0.000,0.00,0.56,0.038,,7+일,0,0.00,1.0
박희수,2020,05-17,NC,L 5:11,3,3,5,5,4,1,0,2,0,0,0,0,18,0.500,0.800,3.000,20.25,-3.66,-0.071,,1일,0,3.00,0.1
박희수,2020,05-19,@키움,L 6:11,1,1,4,4,1,0,0,1,0,0,0,1,13,0.417,0.250,1.250,15.43,-0.45,-0.005,,2일,0,2.14,1.0
박희수,2020,05-22,KIA,L 1:2,1,1,5,4,1,0,0,0,1,0,0,3,21,0.375,0.400,0.650,13.50,0.16,0.014,L,3일,0,2.10,1.0
박희수,2020,05-23,KIA,L 3:8,0,0,3,2,0,0,0,0,0,0,0,1,11,0.333,0.000,0.000,10.38,1.42,0.002,,1일,0,1.62,1.0
박희수,2020,05-27,@두산,L 2:4,0,0,4,4,0,0,0,0,0,0,0,2,19,0.273,0.000,0.000,7.94,0.90,0.025,,4일,0,1.24,1.1
박희수,2020,06-12,KIA,L 3:6,2,2,6,6,2,0,0,1,0,0,0,2,28,0.286,0.333,1.167,9.00,-0.98,-0.120,,7+일,0,1.29,1.1
박희수,2020,06-16,KT,L 5:6,0,0,4,3,0,0,0,0,1,0,0,1,20,0.258,0.250,0.250,7.88,0.56,0.034,,4일,0,1.25,1.0
박희수,2020,06-18,KT,L 3:5,0,0,3,3,0,0,0,0,0,0,0,2,14,0.235,0.000,0.000,7.00,0.56,0.020,,2일,0,1.11,1.0
박희수,2020,06-21,@키움,L 2:7,0,0,5,5,2,0,0,0,0,0,0,1,19,0.256,0.400,0.800,6.30,0.56,0.013,,3일,0,1.20,1.0
박희수,2020,06-26,LG,W 7:0,0,0,3,3,1,0,0,0,0,0,0,0,14,0.262,0.333,0.667,5.73,0.56,0.001,,5일,0,1.18,1.0
박희수,2020,06-27,LG,L 0:3,0,0,5,4,1,1,0,0,0,0,0,1,16,0.261,0.250,0.750,5.11,0.81,0.047,,1일,0,1.14,1.1
박희수,2020,07-01,@삼성,L 1:7,0,0,3,3,1,0,0,0,0,0,0,1,14,0.265,0.333,0.667,4.73,0.56,0.000,,4일,0,1.13,1.0
박희수,2020,07-04,@롯데,L 4:10,3,3,9,7,4,1,0,0,2,0,0,0,35,0.304,0.667,1.381,6.28,-2.45,-0.031,,3일,0,1.47,1.0
박희수,2020,07-09,NC,L 2:8,0,0,5,5,1,0,0,0,0,0,0,1,24,0.295,0.200,0.400,5.74,0.81,0.003,,5일,0,1.40,1.1
박희수,2020,07-10,@한화,L 5:6,0,0,1,1,0,0,0,0,0,0,0,1,5,0.290,0.000,0.000,5.63,0.54,0.017,,1일,0,1.38,0.1
박희수,2020,07-13,@한화,L 2:4,0,0,1,1,1,0,0,0,0,0,0,0,3,0.302,1.000,2.000,5.63,-0.29,-0.016,,3일,0,1.44,0.0
박희수,2020,07-15,@두산,L 2:7,2,2,5,4,2,1,0,0,1,0,0,1,21,0.313,0.600,1.350,6.48,-1.79,-0.060,,2일,0,1.56,0.2
박희수,2020,07-30,LG,L 1:9,1,1,4,3,2,1,0,0,1,0,0,0,12,0.329,0.750,1.750,6.88,-3.19,-0.086,,7+일,0,1.71,0.1
박희수,2020,08-01,@KT,L 0:11,0,0,5,5,1,0,0,0,0,0,0,0,18,0.320,0.200,0.400,6.50,0.56,0.000,,2일,0,1.67,1.0
박희수,2020,08-06,롯데,L 2:8,0,0,3,3,0,0,0,0,0,0,0,0,14,0.308,0.000,0.000,6.16,0.56,0.001,,5일,0,1.58,1.0
박희수,2020,09-01,LG,L 5:13,2,2,5,4,1,1,0,0,1,1,0,2,21,0.305,0.400,0.900,6.75,0.43,0.011,,7+일,0,1.60,1.0
박희수,2020,09-03,@KT,L 2:6,0,0,4,4,1,0,0,0,0,0,0,1,11,0.302,0.250,0.500,6.43,0.56,0.003,,2일,0,1.57,1.0
박희수,2020,09-05,@두산,L 1:5,0,0,2,1,0,0,0,0,1,0,0,0,8,0.299,0.500,0.500,6.33,-0.19,-0.026,,2일,0,1.59,0.1
박희수,2020,09-06,@두산,L 0:10,0,0,5,4,0,0,0,0,1,0,0,1,23,0.286,0.200,0.200,5.96,0.37,-0.002,,1일,0,1.54,1.1
박희수,2020,09-09,키움,L 4:13,1,0,5,3,0,0,0,0,1,0,0,2,22,0.277,0.200,0.200,5.70,-0.45,-0.020,,3일,0,1.52,1.0
박희수,2020,09-17,NC,L 0:3,0,0,3,3,1,0,0,0,0,0,0,1,10,0.278,0.333,0.667,5.55,0.30,0.005,,7+일,0,1.52,0.2
박희수,2020,09-19,KT,L 0:5,0,0,2,2,1,0,0,0,0,0,0,0,6,0.283,0.500,1.000,5.47,-0.53,-0.007,,2일,0,1.54,0.1
