Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
硅力己,2017,04-20,KIA,L 2:9,0,0,6,6,0,0,0,0,0,0,0,2,23,0.000,0.000,0.000,0.00,1.11,0.001,,7+老,0,0.00,2.0
硅力己,2017,04-23,茄拳,L 1:14,2,2,12,9,3,1,0,1,3,0,0,1,44,0.200,0.500,1.278,4.50,-0.89,-0.016,,3老,0,1.50,2.0
硅力己,2017,04-26,@NC,L 4:11,4,4,6,5,3,0,0,1,1,0,0,1,24,0.300,0.667,1.867,11.57,-3.56,-0.013,,3老,0,2.14,0.2
硅力己,2017,05-02,吩单,L 0:9,2,2,6,5,2,0,0,0,1,0,0,0,23,0.320,0.500,0.900,12.71,-1.45,-0.001,,6老,0,2.29,1.0
硅力己,2017,05-05,@茄拳,L 1:13,1,0,13,11,3,0,0,0,2,0,0,0,50,0.306,0.385,0.657,8.31,0.67,0.000,,3老,0,2.08,3.0
硅力己,2017,05-09,@KIA,L 4:9,0,0,7,7,1,1,0,0,0,0,0,2,27,0.279,0.143,0.429,6.75,1.11,0.006,,4老,0,1.78,2.0
硅力己,2017,05-12,NC,L 5:8,0,0,3,2,0,0,0,0,1,0,0,0,7,0.267,0.333,0.333,6.17,0.56,0.004,,3老,0,1.71,1.0
硅力己,2017,05-16,@吩单,L 0:6,1,1,5,5,2,1,0,0,0,0,0,1,13,0.280,0.400,1.000,6.39,-0.45,-0.002,,4老,0,1.74,1.0
硅力己,2017,05-17,@吩单,L 4:9,0,0,3,3,1,0,0,0,0,0,0,0,10,0.283,0.333,0.667,5.93,0.56,0.001,,1老,0,1.68,1.0
硅力己,2017,05-20,池季,L 3:11,0,0,3,2,0,0,0,0,1,0,0,0,14,0.273,0.333,0.333,5.52,0.56,0.000,,3老,0,1.64,1.0
硅力己,2017,05-25,@伙己,L 4:6,0,0,8,7,0,0,0,0,1,0,0,2,28,0.242,0.125,0.125,4.86,1.11,0.004,,5老,0,1.50,2.0
硅力己,2017,05-27,@滴魂,L 4:10,1,1,17,14,2,0,0,0,3,0,0,2,63,0.224,0.294,0.437,4.35,1.22,0.001,,2老,0,1.45,4.0
硅力己,2017,05-31,SK,L 2:8,1,1,12,12,5,0,0,1,0,0,0,2,36,0.250,0.417,1.083,4.24,-0.65,-0.065,,4老,0,1.50,2.2
硅力己,2017,06-03,@吩单,W 10:1,1,1,5,5,3,1,0,0,0,0,0,0,16,0.269,0.600,1.400,4.44,-0.45,0.001,,3老,0,1.56,1.0
硅力己,2017,06-11,@NC,L 0:5,0,0,12,11,2,1,0,0,0,0,1,3,44,0.260,0.250,0.523,3.95,1.67,0.010,,7+老,0,1.46,3.0
硅力己,2017,06-16,茄拳,L 14:15,3,3,4,2,2,0,0,0,0,0,1,0,9,0.274,1.000,2.000,4.88,-1.69,-0.173,,5老,0,1.52,0.1
硅力己,2017,06-17,茄拳,L 1:9,3,3,7,6,4,0,0,0,1,0,0,2,33,0.295,0.714,1.381,5.72,-2.91,-0.049,,1老,0,1.66,0.2
硅力己,2017,06-24,@SK,L 1:2,1,1,15,12,3,1,0,1,3,0,0,3,63,0.290,0.400,0.983,5.46,0.03,-0.027,,7老,1,1.69,3.0
硅力己,2017,07-08,KIA,L 8:20,4,4,8,5,3,0,0,0,3,0,0,0,36,0.302,0.750,1.350,6.47,-4.05,-0.006,,7+老,0,1.84,0.2
硅力己,2017,07-12,伙己,L 3:11,4,4,5,3,3,0,0,0,2,0,0,0,19,0.318,1.000,2.000,7.59,-3.86,-0.007,,4老,0,2.00,0.0
硅力己,2017,09-28,LG,L 6:15,4,4,5,4,4,1,0,0,1,0,0,0,14,0.338,1.000,2.250,8.72,-4.35,-0.126,,7+老,0,2.16,0.0
