Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¹é½Â°Ç,2019,05-18,µÎ»ê,L 5:10,0,0,4,3,0,0,0,0,1,0,0,1,16,0.000,0.250,0.250,0.00,0.56,0.028,,7+ÀÏ,0,1.00,1.0
¹é½Â°Ç,2019,05-23,@LG,L 1:2,0,0,1,0,0,0,0,0,0,0,1,0,4,0.000,1.000,0.000,0.00,-1.00,-0.388,,5ÀÏ,0,1.00,0.0
¹é½Â°Ç,2019,05-30,KT,W 3:2,1,1,10,7,2,0,0,1,2,0,0,3,42,0.200,0.444,1.159,2.70,-0.06,-0.060,,7ÀÏ,0,1.50,2.1
¹é½Â°Ç,2019,06-18,@KIA,L 2:4,0,0,3,3,2,0,0,0,0,0,0,0,10,0.308,0.667,1.333,2.08,0.56,0.014,,7+ÀÏ,0,1.62,1.0
¹é½Â°Ç,2019,06-20,@KIA,L 5:8,0,0,3,2,0,0,0,0,1,0,0,1,20,0.267,0.333,0.333,1.69,0.56,0.012,,2ÀÏ,0,1.50,1.0
¹é½Â°Ç,2019,06-28,@»ï¼º,L 3:9,0,0,6,6,0,0,0,0,0,0,0,1,16,0.190,0.000,0.000,1.23,1.11,0.014,,7+ÀÏ,0,1.09,2.0
¹é½Â°Ç,2019,06-30,@»ï¼º,W 14:7,0,0,3,3,1,1,0,0,0,0,0,1,10,0.208,0.333,1.000,1.13,-0.28,0.000,,2ÀÏ,0,1.13,0.2
¹é½Â°Ç,2019,07-04,·Ôµ¥,W 9:7,1,1,6,4,2,0,0,0,2,0,0,1,28,0.250,0.667,1.167,2.08,-1.26,-0.029,,4ÀÏ,0,1.50,0.2
¹é½Â°Ç,2019,07-07,@µÎ»ê,L 4:5,0,0,6,6,0,0,0,0,0,0,0,0,20,0.206,0.000,0.000,1.69,1.11,0.105,,3ÀÏ,0,1.22,2.0
¹é½Â°Ç,2019,07-12,Å°¿ò,L 2:6,0,0,4,3,0,0,0,0,1,0,0,0,19,0.189,0.250,0.250,1.54,0.56,0.008,,5ÀÏ,0,1.20,1.0
¹é½Â°Ç,2019,07-18,LG,L 5:12,2,2,15,14,4,2,0,0,1,0,0,4,46,0.216,0.333,0.762,2.40,-1.94,-0.201,,6ÀÏ,0,1.27,3.1
¹é½Â°Ç,2019,07-31,KIA,L 2:6,1,1,6,4,2,0,0,0,2,0,0,1,28,0.236,0.667,1.167,2.81,-0.45,-0.027,,7+ÀÏ,0,1.44,1.0
¹é½Â°Ç,2019,08-29,@»ï¼º,L 4:5,0,0,6,5,1,1,0,0,1,0,0,0,27,0.233,0.333,0.733,2.60,0.39,0.000,,7+ÀÏ,0,1.44,1.1
¹é½Â°Ç,2019,09-18,NC,L 0:6,0,0,5,4,2,0,0,0,1,0,0,0,15,0.250,0.600,1.100,2.45,0.56,0.003,,7+ÀÏ,0,1.53,1.0
¹é½Â°Ç,2019,09-20,Å°¿ò,L 1:5,0,0,3,3,0,0,0,0,0,0,0,1,16,0.239,0.000,0.000,2.33,0.56,0.008,,2ÀÏ,0,1.45,1.0
