Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
백정현,2020,05-05,NC,L 0:4,4,4,25,24,6,2,0,3,1,0,0,5,97,0.250,0.280,0.988,6.00,-0.67,-0.124,L,7+일,1,1.17,6.0
백정현,2020,05-10,KIA,L 3:12,8,4,22,21,8,3,0,2,1,0,0,4,80,0.311,0.409,1.219,7.20,-5.78,-0.511,L,5일,1,1.60,4.0
백정현,2020,06-04,@LG,L 0:11,11,8,27,25,14,5,0,1,0,0,0,3,80,0.400,0.519,1.399,10.29,-8.78,-0.330,L,7+일,1,2.14,4.0
백정현,2020,06-10,키움,W 4:1,0,0,20,18,2,1,0,0,2,0,0,4,92,0.341,0.200,0.367,7.20,3.33,0.368,W,6일,1,1.70,6.0
백정현,2020,06-16,@두산,W 4:3,3,2,24,20,6,1,0,0,3,0,0,3,98,0.333,0.375,0.725,6.48,-0.23,-0.104,,6일,1,1.72,5.0
백정현,2020,06-21,@KIA,W 12:5,1,1,24,24,4,0,0,1,0,0,0,5,106,0.303,0.167,0.458,5.34,2.89,0.103,W,5일,1,1.47,7.0
백정현,2020,06-27,@롯데,W 6:1,0,0,22,19,3,0,0,0,3,0,0,6,100,0.285,0.273,0.431,4.50,3.33,0.324,W,6일,1,1.39,6.0
백정현,2020,07-03,LG,W 9:7,6,6,22,21,6,1,0,3,1,0,0,6,104,0.285,0.318,1.080,5.23,-3.23,-0.232,W,6일,1,1.40,5.0
백정현,2020,07-09,@키움,L 2:4,4,4,23,19,6,1,2,0,3,0,0,2,95,0.288,0.391,0.970,5.44,-1.23,-0.265,L,6일,1,1.44,5.0
백정현,2020,07-15,KIA,L 2:5,1,0,23,20,3,0,0,0,2,0,0,4,96,0.275,0.227,0.377,4.86,2.08,0.217,,6일,1,1.38,5.2
백정현,2020,07-21,@NC,L 5:6,5,5,26,24,9,1,0,3,1,0,1,4,99,0.285,0.423,1.215,5.19,-1.97,-0.314,,6일,1,1.42,5.1
