Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¼­´ö¿ø,2020,07-02,ÇÑÈ­,W 7:1,0,0,5,3,1,0,0,0,2,0,0,0,29,0.333,0.600,0.933,0.00,-0.26,-0.012,,7+ÀÏ,0,4.50,0.2
¼­´ö¿ø,2020,07-07,KT,L 2:8,0,0,7,7,1,0,0,0,0,0,0,0,31,0.200,0.143,0.286,0.00,1.11,0.002,,5ÀÏ,0,1.50,2.0
¼­´ö¿ø,2020,07-21,@ÇÑÈ­,W 10:2,2,2,6,5,2,0,0,1,0,0,1,2,17,0.267,0.500,1.500,4.91,-1.45,0.000,,7+ÀÏ,0,1.64,1.0
¼­´ö¿ø,2020,08-19,@LG,L 1:10,0,0,2,2,0,0,0,0,0,0,0,0,8,0.235,0.000,0.000,4.15,1.47,0.000,,7+ÀÏ,0,1.38,0.2
¼­´ö¿ø,2020,08-20,NC,L 2:14,1,1,11,11,2,1,0,1,0,0,0,1,39,0.214,0.182,0.727,3.68,0.67,0.000,,1ÀÏ,0,1.09,3.0
¼­´ö¿ø,2020,09-17,@»ï¼º,W 12:2,0,0,3,3,0,0,0,0,0,0,0,0,11,0.194,0.000,0.000,3.24,0.56,0.000,,7+ÀÏ,0,0.96,1.0
¼­´ö¿ø,2020,09-23,Å°¿ò,L 1:13,3,3,6,5,3,0,0,1,0,0,0,1,17,0.250,0.500,1.700,5.79,-2.45,-0.002,,6ÀÏ,0,1.18,1.0
¼­´ö¿ø,2020,10-13,@NC,W 11:9,4,4,5,4,3,1,0,1,1,0,0,0,17,0.300,0.800,2.550,9.31,-3.74,-0.006,,7+ÀÏ,0,1.55,0.1
¼­´ö¿ø,2020,10-17,@LG,L 8:11,0,0,3,3,0,0,0,0,0,0,0,0,17,0.279,0.000,0.000,8.44,0.56,0.001,,4ÀÏ,0,1.41,1.0
¼­´ö¿ø,2020,10-20,NC,L 3:13,0,0,4,4,1,0,0,0,0,0,0,1,14,0.277,0.250,0.500,7.71,0.56,0.000,,3ÀÏ,0,1.37,1.0
¼­´ö¿ø,2020,10-24,»ï¼º,L 7:11,2,2,7,4,1,0,0,1,1,0,2,1,30,0.275,0.571,1.571,8.53,-1.45,-0.011,,4ÀÏ,0,1.42,1.0
