Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
서준원,2019,03-30,@LG,W 7:1,0,0,7,6,0,0,0,0,1,0,0,2,20,0.000,0.143,0.143,0.00,1.11,0.010,,7+일,0,0.50,2.0
서준원,2019,03-31,@LG,L 5:6,1,1,3,2,1,0,0,0,1,0,0,0,10,0.125,0.667,1.167,3.86,-0.42,-0.071,L,1일,0,1.29,0.1
서준원,2019,04-02,@SK,W 5:0,0,0,4,4,1,0,0,0,0,0,0,1,15,0.167,0.250,0.500,2.70,0.56,0.008,,2일,0,1.20,1.0
서준원,2019,04-04,@SK,L 6:7,2,2,2,2,2,0,0,1,0,0,0,0,7,0.286,1.000,3.500,8.10,-2.00,-0.125,,2일,0,1.80,0.0
서준원,2019,04-06,한화,W 9:7,1,1,5,4,1,1,0,0,1,0,0,2,25,0.278,0.400,0.900,8.31,-0.08,-0.033,,2일,0,1.85,1.0
서준원,2019,04-10,두산,L 1:3,0,0,2,2,0,0,0,0,0,0,0,0,10,0.250,0.000,0.000,7.71,-0.02,0.000,,4일,0,1.71,0.1
서준원,2019,04-13,@NC,L 5:7,0,0,2,2,0,0,0,0,0,0,0,1,9,0.227,0.000,0.000,6.35,1.57,0.036,,3일,0,1.41,1.0
서준원,2019,04-14,@NC,L 1:8,2,1,10,6,1,1,0,0,2,0,1,1,41,0.214,0.400,0.733,6.14,-1.87,-0.021,,1일,0,1.50,1.2
서준원,2019,04-17,KIA,W 8:6,0,0,5,4,0,0,0,0,1,0,0,2,25,0.188,0.200,0.200,5.19,1.02,0.153,,3일,0,1.38,1.1
서준원,2019,04-19,KT,L 5:6,1,1,7,6,2,0,0,0,1,0,0,1,27,0.211,0.429,0.762,5.23,0.97,0.175,L,2일,0,1.45,1.2
서준원,2019,05-08,@KT,L 4:5,0,0,5,5,2,0,0,0,0,0,0,2,22,0.233,0.400,0.800,4.76,0.43,0.017,,7+일,0,1.50,1.0
서준원,2019,05-09,@KT,W 13:6,0,0,7,7,2,0,0,0,0,0,0,2,26,0.240,0.286,0.571,4.05,2.46,0.042,,1일,0,1.43,2.0
서준원,2019,05-12,@삼성,W 10:9,2,2,9,7,4,2,0,0,0,0,2,1,28,0.281,0.667,1.524,5.02,-2.45,-0.105,,3일,0,1.60,1.0
서준원,2019,05-15,LG,W 8:4,0,0,5,4,2,0,0,0,1,0,0,0,24,0.295,0.600,1.100,4.80,0.30,0.016,,3일,0,1.73,0.2
서준원,2019,05-18,@키움,L 1:13,3,3,6,6,4,0,0,1,0,0,0,2,19,0.328,0.667,1.833,6.32,-2.03,0.000,,3일,0,1.91,0.2
서준원,2019,05-21,@KIA,L 6:10,1,1,3,3,2,0,0,0,0,0,0,1,20,0.343,0.667,1.333,6.75,-1.53,-0.128,,3일,0,2.00,0.1
서준원,2019,05-26,LG,L 2:11,4,4,17,15,5,0,0,0,2,0,0,1,80,0.341,0.412,0.745,7.45,-0.75,-0.108,L,5일,1,2.02,3.1
서준원,2019,06-01,삼성,W 5:2,0,0,22,21,3,2,0,0,0,0,1,3,87,0.302,0.182,0.420,5.68,3.33,0.355,W,6일,1,1.66,6.0
서준원,2019,06-07,@KT,L 1:2,1,1,24,21,4,0,0,1,2,0,0,3,101,0.283,0.261,0.594,4.83,2.16,0.165,,6일,1,1.52,6.1
서준원,2019,06-15,KIA,W 7:0,0,0,23,19,2,2,0,0,4,0,0,4,79,0.260,0.261,0.471,4.10,3.08,0.300,W,7+일,1,1.45,5.2
서준원,2019,06-21,키움,L 4:7,5,5,26,25,11,0,0,1,1,0,0,4,101,0.287,0.462,1.022,4.64,-1.97,-0.220,L,6일,1,1.55,5.1
서준원,2019,07-03,@SK,L 5:8,8,8,16,14,8,0,0,2,1,0,1,0,59,0.308,0.625,1.625,6.00,-6.31,-0.602,L,7+일,1,1.67,2.1
서준원,2019,07-09,NC,W 4:1,0,0,19,16,3,1,0,0,2,0,0,2,85,0.299,0.278,0.528,5.36,2.61,0.251,,6일,1,1.59,5.1
서준원,2019,07-30,@삼성,L 2:5,5,5,25,22,9,3,1,1,2,0,1,3,99,0.309,0.480,1.253,5.69,-2.23,-0.282,L,7+일,1,1.64,5.0
서준원,2019,08-08,@삼성,W 8:0,0,0,25,20,3,1,0,0,3,0,2,4,96,0.296,0.320,0.520,5.14,3.33,0.237,W,7+일,1,1.58,6.0
서준원,2019,08-14,KT,L 0:6,5,5,24,22,8,3,0,1,1,0,0,2,78,0.302,0.391,1.028,5.40,-1.97,-0.149,L,6일,1,1.59,5.1
서준원,2019,08-20,@SK,L 0:5,0,0,13,11,2,0,0,0,2,0,0,0,45,0.297,0.308,0.490,5.14,1.92,0.046,,6일,0,1.57,3.1
서준원,2019,08-25,NC,W 5:4,4,4,17,16,7,3,0,0,1,0,0,1,80,0.305,0.471,1.096,5.42,-2.34,-0.269,,5일,1,1.62,3.0
서준원,2019,09-01,@KIA,L 2:4,4,4,23,22,9,1,0,1,1,0,0,4,92,0.312,0.435,1.026,5.54,-1.57,-0.224,L,7일,1,1.64,5.0
서준원,2019,09-08,@한화,W 12:0,0,0,19,17,2,1,0,0,1,0,1,5,88,0.302,0.211,0.387,5.20,2.78,0.268,W,7일,1,1.58,5.0
서준원,2019,09-14,@한화,L 2:5,3,2,25,24,8,0,0,0,1,0,0,2,98,0.304,0.360,0.693,5.11,-0.23,-0.123,L,6일,1,1.59,5.0
