Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
서진용,2019,03-24,KT,W 6:3,0,0,3,3,0,0,0,0,0,0,0,1,7,0.000,0.000,0.000,0.00,0.56,0.055,,7+일,0,0.00,1.0
서진용,2019,03-27,LG,W 2:1,0,0,5,5,2,0,0,0,0,0,0,3,22,0.250,0.400,0.800,0.00,0.56,0.137,,3일,0,1.00,1.0
서진용,2019,03-29,@키움,W 5:2,0,0,5,5,2,0,0,0,0,0,0,1,21,0.308,0.400,0.800,0.00,0.56,0.041,SV,2일,0,1.33,1.0
서진용,2019,03-31,@키움,W 8:7,2,2,3,2,2,1,0,0,0,0,0,0,14,0.400,0.667,2.167,5.40,-1.17,-0.023,,2일,0,1.80,0.1
서진용,2019,04-03,롯데,L 1:3,0,0,3,2,0,0,0,0,1,0,0,2,17,0.353,0.333,0.333,4.15,0.56,0.015,,3일,0,1.62,1.0
서진용,2019,04-04,롯데,W 7:6,0,0,4,4,1,0,0,0,0,0,0,3,20,0.333,0.250,0.500,3.38,0.42,-0.015,,1일,0,1.50,1.0
서진용,2019,04-06,삼성,W 2:1,0,0,3,3,0,0,0,0,0,0,0,1,9,0.292,0.000,0.000,2.84,0.56,0.052,,2일,0,1.26,1.0
서진용,2019,04-07,삼성,W 3:2,0,0,5,4,1,0,0,0,1,0,0,1,24,0.286,0.400,0.650,2.45,0.56,0.055,,1일,0,1.36,1.0
서진용,2019,04-13,KIA,L 4:6,0,0,3,3,0,0,0,0,0,0,0,2,9,0.258,0.000,0.000,2.16,0.56,0.042,,6일,0,1.20,1.0
서진용,2019,04-16,@두산,L 3:8,0,0,4,2,1,0,0,0,2,0,0,1,20,0.273,0.750,1.250,2.08,-1.53,-0.079,,3일,0,1.50,0.1
서진용,2019,04-18,@두산,W 4:3,0,0,4,4,1,1,0,0,0,0,0,1,15,0.270,0.250,0.750,1.86,0.56,0.081,,2일,0,1.45,1.0
서진용,2019,04-20,NC,W 10:4,0,0,5,5,2,0,0,0,0,0,0,2,22,0.286,0.400,0.800,1.69,0.56,0.047,,2일,0,1.50,1.0
서진용,2019,04-21,NC,W 4:1,0,0,5,5,1,0,0,0,0,0,0,2,17,0.277,0.200,0.400,1.50,0.90,0.111,,1일,0,1.42,1.1
서진용,2019,04-24,@삼성,W 9:8,0,0,3,3,0,0,0,0,0,0,0,0,11,0.260,0.000,0.000,1.38,0.56,0.107,,3일,0,1.31,1.0
서진용,2019,04-25,@삼성,W 4:3,0,0,6,4,1,0,0,0,2,1,0,2,24,0.259,0.500,0.750,1.29,0.56,0.137,W,1일,0,1.43,1.0
서진용,2019,04-27,@KT,W 2:1,0,0,3,3,0,0,0,0,0,0,0,0,14,0.246,0.000,0.000,1.20,0.56,0.200,SV,2일,0,1.33,1.0
서진용,2019,04-30,키움,L 5:15,5,5,5,4,4,0,0,0,1,0,0,0,12,0.295,1.000,2.000,4.20,-4.02,-0.407,L,3일,0,1.67,0.0
서진용,2019,05-03,@롯데,W 11:7,3,3,7,7,4,1,0,0,0,0,0,3,29,0.324,0.571,1.286,5.63,-2.45,-0.010,,3일,0,1.81,1.0
서진용,2019,05-05,@롯데,W 4:3,0,0,4,4,0,0,0,0,0,0,0,3,12,0.306,0.000,0.000,5.19,0.81,0.193,,2일,0,1.67,1.1
서진용,2019,05-09,한화,L 1:6,0,0,3,3,0,0,0,0,0,0,0,0,12,0.293,0.000,0.000,4.91,0.56,0.055,,4일,0,1.58,1.0
서진용,2019,05-10,@KIA,W 4:1,0,0,5,5,2,0,0,0,0,0,0,0,26,0.300,0.400,0.800,4.66,0.56,0.051,,1일,0,1.60,1.0
서진용,2019,05-12,@KIA,W 4:3,0,0,3,3,0,0,0,0,0,0,0,2,10,0.289,0.000,0.000,4.43,0.56,0.141,,2일,0,1.52,1.0
서진용,2019,05-15,@NC,W 7:3,0,0,3,3,0,0,0,0,0,0,0,1,18,0.279,0.000,0.000,4.22,0.56,0.028,,3일,0,1.45,1.0
서진용,2019,05-18,두산,L 5:10,0,0,4,4,1,1,0,0,0,0,0,2,11,0.278,0.250,0.750,4.03,0.56,0.012,,3일,0,1.43,1.0
