Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
家荤,2018,03-27,@池季,L 4:5,3,2,26,23,7,1,0,0,2,1,0,4,92,0.304,0.360,0.708,3.00,0.33,-0.125,,7+老,1,1.50,6.0
家荤,2018,04-03,@滴魂,L 4:5,2,0,29,28,6,2,0,0,1,0,0,5,98,0.255,0.241,0.527,1.38,1.89,0.103,,7老,1,1.23,7.0
家荤,2018,04-08,@吩单,W 4:2,2,2,29,29,4,1,0,1,0,0,0,7,99,0.213,0.138,0.414,1.80,1.89,0.091,,5老,1,1.00,7.0
家荤,2018,04-14,KT,W 8:0,0,0,25,22,4,1,0,0,3,0,0,7,96,0.206,0.280,0.507,1.33,3.89,0.299,W,6老,1,1.00,7.0
家荤,2018,04-20,@NC,W 9:4,1,0,26,24,4,1,0,0,2,0,0,2,93,0.198,0.231,0.439,1.06,2.89,0.126,W,6老,1,0.97,7.0
家荤,2018,04-26,池季,W 11:1,0,0,26,22,3,2,0,0,2,0,2,5,98,0.189,0.269,0.497,0.88,3.89,0.195,W,6老,1,0.93,7.0
家荤,2018,05-02,@茄拳,L 3:4,2,2,30,30,6,2,0,1,0,0,0,10,117,0.191,0.200,0.567,1.10,2.44,0.264,,6老,1,0.90,8.0
家荤,2018,05-08,吩单,L 2:4,4,3,34,33,11,3,0,0,0,0,0,7,96,0.213,0.333,0.758,1.42,0.44,-0.166,L,6老,1,0.96,8.0
家荤,2018,05-13,@SK,L 0:10,3,3,29,27,10,3,0,0,2,0,0,5,105,0.231,0.414,0.895,1.71,0.33,-0.084,L,5老,1,1.06,6.0
家荤,2018,05-19,茄拳,L 1:2,2,2,27,25,5,2,0,0,1,0,1,5,100,0.228,0.259,0.539,1.80,1.89,0.107,L,6老,1,1.04,7.0
家荤,2018,05-24,NC,W 4:0,0,0,32,31,4,0,0,0,1,0,0,14,116,0.218,0.156,0.285,1.59,5.00,0.320,W SHO,5老,1,0.99,9.0
家荤,2018,05-30,@吩单,W 15:5,4,4,28,28,8,3,0,1,0,0,0,9,96,0.224,0.286,0.786,1.88,-0.12,0.173,W,6老,1,1.00,7.0
家荤,2018,06-05,茄拳,W 7:3,2,2,26,26,5,1,0,1,0,0,0,10,98,0.221,0.192,0.539,1.94,1.89,0.196,W,6老,1,0.98,7.0
家荤,2018,06-10,@伙己,L 3:12,7,7,30,28,11,4,0,0,1,0,0,5,109,0.234,0.400,0.936,2.45,-3.67,-0.380,L,5老,1,1.04,6.0
家荤,2018,06-16,KIA,W 4:3,3,3,32,31,8,1,0,2,1,0,0,8,116,0.236,0.281,0.765,2.52,1.44,0.070,,6老,1,1.05,8.0
家荤,2018,06-22,吩单,W 2:1,1,1,30,28,5,0,0,0,2,0,0,11,115,0.232,0.233,0.412,2.45,2.89,0.328,W,6老,1,1.04,7.0
家荤,2018,06-29,@SK,L 1:10,7,3,21,20,7,0,0,2,0,0,1,3,73,0.237,0.381,1.031,2.59,-4.78,-0.363,L,7老,1,1.07,4.0
家荤,2018,07-05,NC,L 3:5,3,3,29,28,9,4,0,0,1,0,0,6,99,0.242,0.345,0.809,2.68,1.16,0.097,,6老,1,1.09,6.1
家荤,2018,07-11,SK,W 3:1,1,1,29,28,5,0,0,1,1,0,0,8,94,0.239,0.207,0.493,2.58,3.44,0.394,W,6老,1,1.07,8.0
家荤,2018,07-20,滴魂,L 4:5,3,3,28,27,10,0,0,0,1,0,0,2,104,0.245,0.393,0.763,2.67,0.33,0.039,,7+老,1,1.11,6.0
家荤,2018,07-26,伙己,W 7:5,5,4,31,31,12,1,0,1,0,0,0,9,111,0.253,0.387,0.903,2.79,-1.12,-0.112,,6老,1,1.14,7.0
家荤,2018,08-01,@滴魂,L 8:14,7,6,28,24,10,2,0,0,2,0,0,4,113,0.260,0.429,0.929,3.05,-4.23,-0.631,,6老,1,1.18,5.0
家荤,2018,08-07,@吩单,L 3:4,4,4,27,25,7,2,1,2,1,0,0,8,106,0.261,0.296,0.976,3.17,-0.67,-0.183,L,6老,1,1.18,6.0
家荤,2018,08-12,@池季,L 3:11,4,4,29,29,9,2,0,1,0,0,0,5,114,0.263,0.310,0.793,3.25,-0.12,-0.142,L,5老,1,1.19,7.0
家荤,2018,09-08,茄拳,W 5:1,1,1,25,25,4,2,0,0,0,0,0,10,96,0.259,0.160,0.400,3.17,2.89,0.267,W,7+老,1,1.16,7.0
家荤,2018,09-14,@伙己,L 1:6,6,5,26,25,8,1,0,3,1,0,0,8,90,0.261,0.346,1.066,3.32,-2.67,-0.274,L,6老,1,1.17,6.0
家荤,2018,09-20,滴魂,L 3:9,6,6,28,23,10,3,0,0,3,0,0,4,107,0.267,0.464,1.030,3.52,-3.23,-0.446,L,6老,1,1.21,5.0
