Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
소이현,2020,09-06,@삼성,D :,0,0,3,3,0,0,0,0,0,0,0,0,17,0.000,0.000,0.000,0.00,0.56,0.001,,7+일,0,0.00,1.0
소이현,2020,09-08,롯데,W 14:2,0,0,4,3,0,0,0,0,1,0,0,0,11,0.000,0.250,0.250,0.00,0.56,0.000,,2일,0,0.50,1.0
소이현,2020,09-10,KT,W 13:8,0,0,3,3,0,0,0,0,0,0,0,1,12,0.000,0.000,0.000,0.00,0.56,0.006,,2일,0,0.33,1.0
소이현,2020,09-12,KIA,L 3:11,2,2,6,5,2,1,0,0,0,0,1,0,19,0.143,0.500,1.100,4.50,-1.45,-0.025,,2일,0,0.75,1.0
소이현,2020,09-15,@두산,L 3:7,0,0,3,3,0,0,0,0,0,0,0,2,13,0.118,0.000,0.000,3.60,0.56,0.003,,3일,0,0.60,1.0
소이현,2020,09-18,@SK,W 9:5,0,0,4,3,0,0,0,0,1,0,0,0,15,0.100,0.250,0.250,3.00,0.56,0.018,,3일,0,0.67,1.0
소이현,2020,09-20,@롯데,W 6:2,0,0,3,2,1,0,0,0,1,0,0,0,13,0.136,0.667,1.167,2.84,-0.42,-0.056,,2일,0,0.95,0.1
소이현,2020,09-24,LG,W 12:8,2,2,5,4,1,0,0,1,1,0,0,0,28,0.154,0.400,1.400,4.91,-1.45,-0.049,,4일,0,1.09,1.0
소이현,2020,09-26,@한화,W 13:1,0,0,4,4,1,1,0,0,0,0,0,0,17,0.167,0.250,0.750,4.32,0.56,0.002,,2일,0,1.08,1.0
소이현,2020,09-30,SK,W 12:3,0,0,5,3,0,0,0,0,2,0,0,1,20,0.152,0.400,0.400,3.86,0.56,0.005,,4일,0,1.18,1.0
소이현,2020,10-02,삼성,L 2:8,3,3,6,2,0,0,0,0,4,0,0,2,35,0.143,0.667,0.667,6.30,-1.26,-0.019,,2일,0,1.50,0.2
소이현,2020,10-08,@키움,L 7:10,0,0,8,7,2,0,0,0,1,0,0,2,29,0.167,0.375,0.661,5.25,1.11,0.044,,6일,0,1.50,2.0
소이현,2020,10-10,@LG,L 5:9,2,2,5,2,1,0,0,0,3,0,0,0,20,0.182,0.800,1.300,6.57,-2.10,-0.031,,2일,0,1.78,0.1
