Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
价铰霖,2018,03-29,@滴魂,L 1:4,4,3,24,22,7,1,0,0,2,0,0,5,89,0.318,0.375,0.739,5.40,-1.62,-0.193,L,7+老,1,1.80,5.0
价铰霖,2018,04-04,@茄拳,L 6:7,3,3,23,19,5,1,0,0,3,0,1,6,101,0.293,0.391,0.707,5.40,-0.23,-0.064,,6老,1,1.70,5.0
价铰霖,2018,04-11,池季,W 12:0,0,0,4,4,0,0,0,0,0,0,0,0,16,0.267,0.000,0.000,4.76,0.81,0.071,,7老,1,1.50,1.1
价铰霖,2018,06-01,茄拳,L 6:13,5,3,26,24,8,2,0,1,2,0,0,7,100,0.290,0.385,0.926,4.76,-3.01,-0.064,,7+老,1,1.59,5.2
价铰霖,2018,06-07,@NC,L 4:5,3,3,21,16,6,2,0,0,1,0,1,3,72,0.306,0.421,0.921,5.06,-1.47,-0.160,,6老,1,1.59,4.1
价铰霖,2018,06-14,伙己,L 9:11,0,0,7,7,1,0,0,0,0,0,0,3,32,0.293,0.143,0.286,4.63,1.11,0.046,,7老,0,1.50,2.0
价铰霖,2018,06-15,@SK,W 14:6,1,1,13,12,1,0,0,1,0,0,0,3,38,0.269,0.077,0.410,4.28,2.08,0.183,W,1老,0,1.32,4.0
价铰霖,2018,06-19,@KT,W 9:7,1,1,6,6,2,1,0,0,0,0,0,3,31,0.273,0.333,0.833,4.40,-0.33,-0.121,W,4老,0,1.33,1.1
价铰霖,2018,06-21,@KT,D 5:5,1,1,4,2,1,0,0,1,2,0,0,0,16,0.277,0.750,2.750,4.66,-1.42,-0.282,,2老,0,1.41,0.1
价铰霖,2018,06-23,@LG,L 8:18,3,3,7,5,3,2,0,0,2,0,0,0,26,0.291,0.714,1.714,5.46,-3.28,-0.317,,2老,0,1.55,0.2
价铰霖,2018,06-26,池季,L 3:9,1,1,14,13,4,1,0,1,1,0,0,5,63,0.292,0.357,0.973,5.23,0.67,-0.008,,3老,0,1.56,3.0
价铰霖,2018,06-29,@茄拳,L 2:5,1,1,5,4,1,0,0,0,1,0,0,2,25,0.291,0.400,0.650,5.35,-0.54,-0.112,,3老,0,1.57,1.0
价铰霖,2018,07-08,KT,W 10:5,5,5,21,20,7,2,0,2,1,0,0,5,90,0.299,0.381,1.131,5.87,-1.69,-0.161,,7+老,1,1.59,4.2
价铰霖,2018,07-21,SK,L 3:4,3,3,25,21,8,1,1,0,3,0,0,5,97,0.309,0.458,0.982,5.82,-0.23,-0.096,L,7+老,1,1.66,5.0
价铰霖,2018,07-27,@池季,W 9:2,2,2,25,23,7,3,0,0,2,0,0,4,110,0.308,0.360,0.795,5.51,1.08,0.102,W,6老,1,1.65,5.2
价铰霖,2018,08-05,伙己,L 2:8,5,5,21,16,6,0,0,1,2,0,1,3,86,0.313,0.450,1.013,5.94,-2.78,-0.266,L,7+老,1,1.68,4.0
价铰霖,2018,09-08,@NC,L 1:7,3,3,21,18,6,3,0,0,3,0,0,1,79,0.315,0.429,0.929,5.97,-0.47,-0.126,L,7+老,1,1.71,4.1
价铰霖,2018,09-15,池季,L 5:6,4,4,15,15,6,1,0,1,0,0,0,3,70,0.320,0.400,1.067,6.27,-1.73,-0.213,,7老,1,1.72,3.0
价铰霖,2018,09-27,@池季,W 8:6,3,3,23,20,4,0,0,0,2,0,1,5,92,0.311,0.304,0.504,6.14,0.08,-0.047,,7+老,1,1.67,5.2
价铰霖,2018,10-03,@茄拳,L 6:7,2,1,21,18,3,0,0,0,3,0,0,2,77,0.302,0.286,0.452,5.83,0.78,0.003,,6老,1,1.63,5.0
价铰霖,2018,10-09,KIA,W 11:10,8,8,18,14,6,3,1,0,4,0,0,3,64,0.308,0.556,1.341,6.60,-5.72,-0.560,,6老,1,1.71,2.2
价铰霖,2018,10-14,滴魂,L 1:5,0,0,17,16,1,0,0,0,1,0,0,0,64,0.295,0.118,0.180,6.15,3.03,0.320,,5老,1,1.62,5.1
