Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
송은범,2017,04-02,@두산,L 4:5,0,0,23,20,3,0,0,0,3,0,0,1,91,0.150,0.261,0.411,0.00,3.59,0.363,,7+일,1,0.95,6.1
송은범,2017,04-08,@KIA,W 4:3,2,2,22,17,2,0,0,0,4,0,0,2,81,0.135,0.286,0.403,1.46,0.93,0.005,,6일,1,0.97,6.0
송은범,2017,04-14,SK,L 2:6,2,2,15,12,5,1,0,0,1,0,2,0,44,0.204,0.533,1.033,2.45,-1.31,-0.144,L,6일,1,1.23,2.1
송은범,2017,04-22,@kt,L 9:11,4,4,15,15,6,2,0,1,0,0,0,1,56,0.250,0.400,1.133,4.08,-2.34,-0.229,,7+일,1,1.36,3.0
송은범,2017,04-28,넥센,L 2:13,7,7,23,17,6,0,0,1,5,0,1,0,91,0.272,0.522,1.051,6.14,-3.47,-0.236,L,6일,1,1.59,4.1
송은범,2017,05-03,@SK,W 9:8,0,0,3,3,0,0,0,0,0,0,0,1,15,0.262,0.000,0.000,5.87,0.56,0.200,SV,5일,0,1.52,1.0
송은범,2017,05-07,kt,L 0:10,4,4,26,19,5,0,0,0,5,0,0,5,104,0.262,0.400,0.663,6.04,-0.91,-0.113,L,4일,1,1.59,5.1
송은범,2017,05-26,@NC,L 3:5,4,3,12,9,4,0,0,0,3,1,0,0,37,0.277,0.583,1.028,6.53,-2.89,-0.500,L,7+일,0,1.71,2.0
송은범,2017,05-30,두산,W 5:2,1,1,5,4,3,0,0,0,1,0,0,1,11,0.293,0.800,1.550,6.75,-2.10,-0.113,,4일,0,1.83,0.1
송은범,2017,06-01,두산,L 6:8,2,2,7,6,3,0,0,1,1,0,0,0,34,0.303,0.571,1.571,7.11,-1.46,-0.022,,2일,0,1.89,1.0
송은범,2017,06-07,@KIA,L 0:7,2,2,11,11,5,1,0,0,0,0,0,2,39,0.316,0.455,1.000,7.22,-0.89,-0.001,,6일,0,1.93,2.0
송은범,2017,07-18,NC,L 4:7,0,0,10,10,2,0,0,0,0,0,0,0,22,0.308,0.200,0.400,6.69,1.68,0.028,,7+일,0,1.84,2.2
송은범,2017,07-20,NC,L 4:7,2,0,5,5,1,0,0,1,0,0,0,2,18,0.304,0.200,1.000,6.51,-1.45,-0.067,,2일,0,1.82,1.0
