Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
Ω≈πŒ«ı,2020,07-28,@∑‘µ•,L 9:11,1,1,9,9,2,0,0,1,0,0,0,2,36,0.222,0.222,0.778,3.38,0.35,-0.030,,7+¿œ,0,0.75,2.2
Ω≈πŒ«ı,2020,08-02,µŒªÍ,L 4:7,0,0,4,4,1,0,0,0,0,0,0,1,18,0.231,0.250,0.500,2.45,0.56,0.137,,5¿œ,0,0.82,1.0
Ω≈πŒ«ı,2020,08-13,@∑‘µ•,W 9:2,2,2,27,27,6,1,0,0,0,0,0,5,92,0.225,0.222,0.482,2.53,1.89,0.126,W,7+¿œ,1,0.84,7.0
Ω≈πŒ«ı,2020,08-19,≈∞øÚ,L 4:6,5,5,13,11,6,2,0,1,2,0,0,0,50,0.294,0.615,1.615,5.68,-2.91,-0.246,L,6¿œ,1,1.34,2.0
Ω≈πŒ«ı,2020,08-25,«—»≠,W 11:3,2,2,21,17,4,1,0,0,2,0,2,1,86,0.279,0.381,0.675,5.29,-0.20,0.007,,6¿œ,1,1.35,4.1
Ω≈πŒ«ı,2020,08-30,SK,W 7:4,4,4,22,20,5,0,0,3,2,0,0,2,72,0.273,0.318,1.018,5.73,-1.23,-0.064,W,5¿œ,1,1.36,5.0
Ω≈πŒ«ı,2020,09-06,@ªÔº∫,D :,5,5,24,22,8,0,0,3,2,0,0,2,89,0.291,0.417,1.189,6.41,-2.48,-0.178,L,7¿œ,1,1.50,4.2
Ω≈πŒ«ı,2020,09-12,KIA,L 3:11,3,3,12,11,5,1,0,1,1,0,0,1,43,0.306,0.500,1.318,6.91,-3.39,-0.273,L,6¿œ,1,1.60,2.0
Ω≈πŒ«ı,2020,09-24,LG,W 12:8,0,0,3,3,0,0,0,0,0,0,0,2,11,0.298,0.000,0.000,6.67,0.56,0.003,,7+¿œ,0,1.55,1.0
Ω≈πŒ«ı,2020,09-30,SK,W 12:3,0,0,4,4,1,0,0,0,0,0,0,1,13,0.297,0.250,0.500,6.46,0.56,0.000,,6¿œ,0,1.53,1.0
Ω≈πŒ«ı,2020,10-02,ªÔº∫,L 2:8,0,0,8,7,3,0,0,0,1,0,0,2,35,0.304,0.500,0.929,6.19,-0.63,-0.011,,2¿œ,0,1.59,1.1
Ω≈πŒ«ı,2020,10-03,ªÔº∫,D 6:6,0,0,2,2,1,0,0,0,0,0,0,0,6,0.307,0.500,1.000,6.12,0.42,-0.025,,1¿œ,0,1.61,0.1
Ω≈πŒ«ı,2020,10-08,@≈∞øÚ,L 7:10,0,0,5,3,0,0,0,0,1,0,1,1,19,0.300,0.400,0.400,5.94,0.56,0.006,,5¿œ,0,1.59,1.0
Ω≈πŒ«ı,2020,10-09,@LG,L 0:4,1,1,9,9,4,1,0,0,0,0,0,2,28,0.309,0.444,1.000,5.91,0.18,0.020,,1¿œ,0,1.63,1.2
Ω≈πŒ«ı,2020,10-23,@«—»≠,L 6:11,1,1,6,6,3,1,0,0,0,0,0,1,14,0.316,0.500,1.167,6.00,-0.45,-0.005,,7+¿œ,0,1.67,1.0
Ω≈πŒ«ı,2020,10-27,ªÔº∫,L 2:12,0,0,4,4,1,0,0,0,0,0,0,0,10,0.314,0.250,0.500,5.84,0.56,0.000,,4¿œ,0,1.65,1.0
Ω≈πŒ«ı,2020,10-31,@KIA,L 3:4,3,3,23,21,7,0,0,1,2,0,0,3,93,0.317,0.391,0.868,5.79,-0.23,-0.161,,4¿œ,1,1.67,5.0
