Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
½Åº´·ü,2018,04-03,@³Ø¼¾,W 7:1,0,0,8,7,1,0,0,0,0,0,1,2,37,0.143,0.250,0.393,0.00,1.11,0.010,,7+ÀÏ,0,0.50,2.0
½Åº´·ü,2018,04-07,ÇÑÈ­,W 10:2,0,0,4,4,1,0,1,0,0,0,0,1,16,0.182,0.250,1.000,0.00,0.56,0.001,,4ÀÏ,0,0.67,1.0
½Åº´·ü,2018,04-14,@LG,L 0:8,1,1,5,5,2,2,0,0,0,0,0,0,14,0.250,0.400,1.200,2.25,-0.45,0.000,,7ÀÏ,0,1.00,1.0
½Åº´·ü,2018,04-18,SK,L 3:8,1,1,13,13,4,2,0,0,0,0,0,1,46,0.276,0.308,0.769,2.35,1.10,0.007,,4ÀÏ,0,1.04,3.2
½Åº´·ü,2018,04-21,@»ï¼º,L 1:4,0,0,7,7,1,0,0,0,0,0,0,1,27,0.250,0.143,0.286,1.86,1.11,0.019,,3ÀÏ,0,0.93,2.0
½Åº´·ü,2018,04-24,·Ôµ¥,L 8:14,8,8,15,14,7,0,0,3,1,0,0,0,50,0.320,0.533,1.676,7.50,-6.08,-0.025,,3ÀÏ,0,1.42,2.1
½Åº´·ü,2018,05-01,@µÎ»ê,L 2:4,0,0,4,4,0,0,0,0,0,0,0,0,18,0.296,0.000,0.000,6.75,0.67,0.030,,7ÀÏ,0,1.28,1.1
½Åº´·ü,2018,05-03,@µÎ»ê,W 3:2,0,0,1,1,1,0,0,0,0,0,0,0,1,0.309,1.000,2.000,6.75,-0.68,-0.126,,2ÀÏ,0,1.35,0.0
½Åº´·ü,2018,05-08,»ï¼º,L 4:9,2,2,6,4,3,1,0,0,0,0,0,0,17,0.339,0.600,1.600,7.53,-1.45,-0.038,,5ÀÏ,0,1.47,1.0
½Åº´·ü,2018,05-11,@·Ôµ¥,L 2:6,0,0,4,3,0,0,0,0,1,0,0,1,13,0.323,0.250,0.250,7.04,0.56,0.001,,3ÀÏ,0,1.43,1.0
½Åº´·ü,2018,06-08,³Ø¼¾,L 5:11,2,0,5,5,1,0,0,1,0,0,0,1,22,0.313,0.200,1.000,6.61,-1.45,-0.011,,7+ÀÏ,0,1.41,1.0
½Åº´·ü,2018,06-10,³Ø¼¾,L 1:6,0,0,3,3,0,0,0,0,0,0,0,0,7,0.300,0.000,0.000,6.23,0.56,0.002,,2ÀÏ,0,1.33,1.0
½Åº´·ü,2018,06-13,@µÎ»ê,L 4:6,0,0,4,2,1,0,0,0,2,0,0,0,18,0.306,0.750,1.250,6.11,-1.10,-0.147,,3ÀÏ,0,1.47,0.1
½Åº´·ü,2018,06-17,@NC,W 5:4,0,0,3,3,1,0,0,0,0,0,0,1,14,0.307,0.333,0.667,5.79,0.56,0.200,SV,4ÀÏ,0,1.45,1.0
½Åº´·ü,2018,06-19,·Ôµ¥,L 7:9,0,0,4,3,1,0,0,0,0,0,1,0,11,0.308,0.500,0.833,5.59,-0.43,-0.070,,2ÀÏ,0,1.45,0.2
½Åº´·ü,2018,06-21,·Ôµ¥,D 5:5,0,0,3,3,0,0,0,0,0,0,0,1,13,0.296,0.000,0.000,5.31,0.56,0.137,,2ÀÏ,0,1.38,1.0
½Åº´·ü,2018,06-22,SK,L 9:13,3,3,10,9,4,1,0,2,1,0,0,1,32,0.311,0.500,1.722,6.04,-1.89,-0.145,,1ÀÏ,0,1.48,2.0
½Åº´·ü,2018,06-27,@LG,L 2:7,0,0,7,7,0,0,0,0,0,0,0,3,25,0.289,0.000,0.000,5.55,1.74,0.008,,5ÀÏ,0,1.36,2.0
½Åº´·ü,2018,07-06,@·Ôµ¥,L 9:11,1,1,5,3,2,1,0,0,1,0,0,0,17,0.300,0.750,1.750,5.76,-0.98,-0.139,,7+ÀÏ,0,1.44,0.2
½Åº´·ü,2018,09-08,@³Ø¼¾,W 12:6,4,4,8,7,5,3,0,0,1,0,0,1,39,0.327,0.750,1.893,7.01,-3.98,-0.387,,7+ÀÏ,1,1.64,0.2
½Åº´·ü,2018,09-11,@SK,L 3:4,0,0,1,0,0,0,0,0,0,0,1,0,3,0.327,1.000,0.000,7.01,-0.68,-0.126,,3ÀÏ,0,1.64,0.0
