Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
신재영,2018,03-28,LG,L 3:9,7,7,20,19,9,2,0,1,1,0,0,1,70,0.474,0.500,1.237,17.18,-3.41,-0.355,L,7+일,1,2.73,3.2
신재영,2018,04-03,KT,L 1:7,5,5,21,18,7,2,0,0,1,0,1,4,73,0.432,0.450,0.950,14.09,-2.78,-0.271,L,6일,1,2.35,4.0
신재영,2018,04-08,@KIA,L 3:4,2,2,21,21,5,1,0,2,0,0,0,6,83,0.362,0.238,0.810,9.22,1.33,0.029,,5일,1,1.68,6.0
신재영,2018,04-14,두산,W 7:6,6,6,23,23,8,2,0,2,0,0,0,4,83,0.358,0.348,1.044,9.64,-3.23,-0.140,W,6일,1,1.66,5.0
신재영,2018,04-20,@한화,W 6:1,1,1,26,25,7,3,0,0,0,0,1,3,86,0.340,0.308,0.708,7.66,2.33,0.181,W,6일,1,1.54,6.0
신재영,2018,04-26,@LG,L 1:11,6,6,21,16,6,2,0,1,4,2,1,2,71,0.344,0.524,1.211,8.68,-3.02,-0.245,L,6일,1,1.71,3.1
신재영,2018,05-02,@NC,L 8:13,5,5,15,14,6,2,0,3,0,0,1,1,63,0.353,0.467,1.681,9.39,-3.45,-0.376,,6일,1,1.76,2.2
신재영,2018,05-09,한화,L 1:4,2,2,24,23,5,0,0,1,1,0,0,1,84,0.333,0.250,0.598,8.35,1.33,0.039,L,7일,1,1.64,6.0
신재영,2018,05-16,KIA,W 8:7,1,1,19,19,5,1,1,0,0,0,0,4,71,0.326,0.263,0.684,7.56,1.78,0.070,,7일,1,1.56,5.0
신재영,2018,05-22,@SK,W 10:4,3,3,25,22,5,0,0,1,1,0,1,2,99,0.315,0.292,0.655,7.17,0.33,0.078,W,6일,1,1.49,6.0
신재영,2018,05-27,롯데,L 4:6,6,6,22,22,7,0,0,3,0,0,0,5,87,0.315,0.318,1.046,7.47,-2.97,-0.540,L,5일,1,1.47,5.1
신재영,2018,06-02,@LG,L 6:10,2,2,5,4,1,0,0,1,1,0,0,1,23,0.314,0.400,1.400,7.67,-1.45,-0.045,,6일,0,1.48,1.0
신재영,2018,06-08,@KT,W 11:5,5,5,18,17,6,1,0,4,1,0,0,4,65,0.317,0.389,1.507,7.91,-2.78,-0.318,,6일,1,1.50,4.0
신재영,2018,06-26,@롯데,W 9:3,2,2,19,18,4,1,0,1,0,0,1,3,73,0.310,0.263,0.708,7.57,0.38,0.029,W,7+일,1,1.44,5.0
신재영,2018,07-06,NC,W 6:2,1,1,23,21,4,3,1,0,1,0,1,2,90,0.301,0.261,0.689,7.08,1.86,0.160,W,7+일,1,1.40,5.2
신재영,2018,07-12,@한화,L 1:4,2,2,21,19,7,1,0,1,2,0,0,2,77,0.306,0.429,1.008,6.90,0.20,-0.026,L,6일,1,1.44,4.1
신재영,2018,07-21,@NC,W 6:3,2,2,24,24,6,1,0,2,0,0,0,2,96,0.302,0.250,0.792,6.53,1.89,0.115,W,7+일,1,1.39,7.0
신재영,2018,07-27,롯데,L 2:9,4,2,11,10,5,2,0,0,1,0,0,0,39,0.307,0.546,1.246,6.61,-3.43,-0.299,L,6일,1,1.43,1.2
신재영,2018,08-02,@SK,W 4:3,3,3,22,18,5,1,0,2,3,0,1,3,92,0.306,0.409,1.076,6.57,-0.48,-0.155,,6일,1,1.45,4.2
신재영,2018,08-09,@한화,W 16:5,3,3,27,26,8,1,0,1,1,0,0,2,98,0.306,0.333,0.795,6.36,0.87,0.205,W,7일,1,1.44,7.0
신재영,2018,09-08,KT,L 6:12,5,5,16,15,7,1,0,3,1,0,0,1,59,0.312,0.500,1.633,6.63,-3.34,-0.375,L,7+일,1,1.47,3.0
신재영,2018,09-14,@NC,L 3:7,3,3,10,7,3,0,0,0,3,0,0,0,44,0.314,0.600,1.029,6.82,-0.54,-0.053,L,6일,1,1.52,1.1
신재영,2018,09-19,두산,W 5:4,0,0,3,3,0,0,0,0,0,0,0,0,11,0.312,0.000,0.000,6.75,0.56,0.137,W,5일,0,1.50,1.0
신재영,2018,09-20,삼성,W 3:2,1,1,7,7,3,0,0,1,0,0,0,0,31,0.314,0.429,1.286,6.75,-0.46,-0.064,,1일,0,1.51,1.1
신재영,2018,09-27,롯데,L 6:8,1,1,4,3,1,0,0,1,1,0,0,0,13,0.314,0.500,1.833,6.79,-0.70,-0.067,,7일,0,1.52,0.2
신재영,2018,10-13,@삼성,L 5:12,2,0,5,4,3,0,0,0,0,0,0,0,14,0.318,0.600,1.350,6.75,-1.70,-0.021,,7+일,0,1.54,0.2
신재영,2018,10-27,@SK,L 8:10,0,0,4,4,1,0,0,0,0,0,0,0,15,0.250,0.250,0.500,0.00,0.56,0.005,,7+일,0,1.00,1.0
신재영,2018,10-28,@SK,L 1:5,0,0,4,4,1,1,0,0,0,0,0,1,16,0.250,0.250,0.750,0.00,0.56,0.015,,1일,0,1.00,1.0
신재영,2018,11-02,@SK,L 10:11,2,2,8,6,3,0,0,2,1,0,0,2,35,0.357,0.571,2.071,5.40,-1.19,-0.662,L,5일,0,1.80,1.1
