Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
신정락,2020,05-08,@키움,L 3:5,1,1,5,5,2,0,0,1,0,0,0,0,16,0.400,0.400,1.400,9.00,-0.52,-0.103,,7+일,0,2.00,1.0
신정락,2020,05-09,@키움,L 3:5,2,2,4,2,0,0,0,0,2,0,0,2,22,0.286,0.500,0.500,16.20,0.09,0.007,,1일,0,2.40,0.2
신정락,2020,05-13,KIA,L 3:4,0,0,5,4,1,0,0,0,1,0,0,2,23,0.273,0.400,0.650,9.00,0.54,0.051,,4일,0,2.00,1.1
신정락,2020,05-15,롯데,W 2:1,0,0,2,0,0,0,0,0,2,0,0,0,16,0.273,1.000,0.000,9.00,-1.02,-0.175,,2일,0,2.67,0.0
신정락,2020,05-16,롯데,L 1:5,1,1,2,1,0,0,0,0,0,0,1,1,11,0.250,0.500,0.500,10.80,0.07,0.013,,1일,0,2.40,0.1
신정락,2020,05-19,@KT,L 11:13,0,0,3,3,0,0,0,0,0,0,0,2,13,0.200,0.000,0.000,8.31,0.56,0.006,,3일,0,1.85,1.0
신정락,2020,05-21,@KT,W 9:4,0,0,4,4,1,1,0,0,0,0,0,1,16,0.211,0.250,0.750,6.75,0.56,0.014,,2일,0,1.69,1.0
신정락,2020,05-23,@NC,L 0:3,0,0,1,1,0,0,0,0,0,0,0,0,3,0.200,0.000,0.000,6.35,0.34,0.004,,2일,0,1.59,0.1
신정락,2020,05-26,LG,L 0:3,1,1,3,3,1,0,1,0,0,0,0,2,12,0.217,0.333,1.333,7.11,-0.18,-0.007,,3일,0,1.58,0.2
신정락,2020,05-27,LG,L 4:15,4,4,9,7,4,2,0,0,1,0,1,0,36,0.300,0.667,1.524,10.57,-1.54,-0.004,,1일,0,1.96,1.1
신정락,2020,06-16,LG,L 5:9,1,1,5,5,2,0,0,1,0,0,0,0,27,0.314,0.400,1.400,10.38,-0.45,-0.014,,7+일,0,1.96,1.0
신정락,2020,06-18,LG,L 7:9,0,0,2,2,1,0,0,0,0,0,0,1,14,0.324,0.500,1.000,9.64,0.24,-0.002,,2일,0,1.93,0.2
신정락,2020,06-19,@NC,L 1:3,0,0,2,2,0,0,0,0,0,0,0,1,8,0.308,0.000,0.000,9.00,0.57,0.033,,1일,0,1.80,0.2
신정락,2020,06-21,@NC,L 7:9,2,2,3,2,1,0,0,0,1,0,0,1,10,0.317,0.667,1.167,10.45,-0.42,-0.057,L,2일,0,1.94,0.1
신정락,2020,06-25,@삼성,W 9:2,0,0,4,4,1,0,0,0,0,0,0,0,7,0.311,0.250,0.500,9.53,0.56,0.001,,4일,0,1.85,1.0
신정락,2020,06-27,KT,L 2:7,0,0,3,3,1,0,0,0,0,0,0,1,9,0.313,0.333,0.667,9.00,0.30,0.001,,2일,0,1.83,0.2
